# Atom Manipulation               
# 
# Sample                          Ag(111)
# Data set                        -
# Creation Comment                
# Gap voltage                     -1.000e-004 V
# Gap voltage range in Volt       -1;1
# Feedback loop enabled           No
# Regulator setpoint              1.000e-009 A
# Pre-amplifier range             0;3.33e-007
# Loop gain                       7.000e+000 %
# Z-axis offset                   -8.000e-010 m
# Parameter mode                  V before Z
# Raster time                     1.000e-003 seconds
# Channel name and data unit      I(r) [A]
# Manipulation vector: start      4.960e+000, 4.960e+000 [nm]
#                      end        -7.874e+000, 4.774e+000 [nm]
# 
# 
#            Position                              I(r)
# -------------------             ---------------------
   0.00000000000e+000             -2.5160689885097e-008
   1.28353477553e-011             -2.5059463319326e-008
   2.56706955106e-011             -2.5519283288623e-008
   3.85060432660e-011             -2.5231111817519e-008
   5.13413910213e-011             -2.5206420474810e-008
   6.41767387766e-011             -2.5261413574408e-008
   7.70120865319e-011             -2.5345861774876e-008
   8.98474342872e-011             -2.5371426444820e-008
   1.02682782043e-010             -2.5247149281273e-008
   1.15518129798e-010             -2.5344617841802e-008
   1.28353477553e-010             -2.5333979128223e-008
   1.41188825309e-010             -2.5462464141171e-008
   1.54024173064e-010             -2.5250854254214e-008
   1.66859520819e-010             -2.5467545317806e-008
   1.79694868574e-010             -2.5418903689001e-008
   1.92530216330e-010             -2.5323393446944e-008
   2.05365564085e-010             -2.5335461241452e-008
   2.18200911840e-010             -2.5078755911861e-008
   2.31036259596e-010             -2.5107549194436e-008
   2.43871607351e-010             -2.5273798942455e-008
   2.56706955106e-010             -2.5062983144412e-008
   2.69542302862e-010             -2.5043531765107e-008
   2.82377650617e-010             -2.5428324985656e-008
   2.95212998372e-010             -2.5075844872769e-008
   3.08048346128e-010             -2.5243814759106e-008
   3.20883693883e-010             -2.5306138566267e-008
   3.33719041638e-010             -2.5359014560623e-008
   3.46554389394e-010             -2.5390613127820e-008
   3.59389737149e-010             -2.5285893253113e-008
   3.72225084904e-010             -2.5234922699995e-008
   3.85060432660e-010             -2.5243047341407e-008
   3.97895780415e-010             -2.5317915303385e-008
   4.10731128170e-010             -2.5073674735226e-008
   4.23566475926e-010             -2.5166353331576e-008
   4.36401823681e-010             -2.5321091038782e-008
   4.49237171436e-010             -2.5124936345733e-008
   4.62072519192e-010             -2.5181993828405e-008
   4.74907866947e-010             -2.4860662283490e-008
   4.87743214702e-010             -2.4940770208873e-008
   5.00578562457e-010             -2.5115964893238e-008
   5.13413910213e-010             -2.5104849819349e-008
   5.26249257968e-010             -2.5055784707469e-008
   5.39084605723e-010             -2.5580469227310e-008
   5.51919953479e-010             -2.5205626540960e-008
   5.64755301234e-010             -2.5242385678178e-008
   5.77590648989e-010             -2.5184296236567e-008
   5.90425996745e-010             -2.5458600381460e-008
   6.03261344500e-010             -2.5278906635240e-008
   6.16096692255e-010             -2.5330009458977e-008
   6.28932040011e-010             -2.5206685171114e-008
   6.41767387766e-010             -2.5307594163346e-008
   6.54602735521e-010             -2.5396197180915e-008
   6.67438083277e-010             -2.5125280435423e-008
   6.80273431032e-010             -2.5465110639024e-008
   6.93108778787e-010             -2.5329983097893e-008
   7.05944126543e-010             -2.5309790661973e-008
   7.18779474298e-010             -2.5104082401650e-008
   7.31614822053e-010             -2.5086404192963e-008
   7.44450169809e-010             -2.5088706601126e-008
   7.57285517564e-010             -2.5284861139109e-008
   7.70120865319e-010             -2.5220499620090e-008
   7.82956213075e-010             -2.5185910465351e-008
   7.95791560830e-010             -2.5407973762967e-008
   8.08626908585e-010             -2.5249001845276e-008
   8.21462256340e-010             -2.5177706585619e-008
   8.34297604096e-010             -2.5190568313976e-008
   8.47132951851e-010             -2.5509412147808e-008
   8.59968299606e-010             -2.5468153948735e-008
   8.72803647362e-010             -2.5470932717208e-008
   8.85638995117e-010             -2.5323340414644e-008
   8.98474342872e-010             -2.5382938485633e-008
   9.11309690628e-010             -2.5479692505699e-008
   9.24145038383e-010             -2.5224178076881e-008
   9.36980386138e-010             -2.5474267239374e-008
   9.49815733894e-010             -2.5484985346338e-008
   9.62651081649e-010             -2.5448490905426e-008
   9.75486429404e-010             -2.5220340833320e-008
   9.88321777160e-010             -2.5249742746825e-008
   1.00115712491e-009             -2.5211369380825e-008
   1.01399247267e-009             -2.5457727054226e-008
   1.02682782043e-009             -2.5280388593404e-008
   1.03966316818e-009             -2.5259481772085e-008
   1.05249851594e-009             -2.5494353765759e-008
   1.06533386369e-009             -2.5381773945944e-008
   1.07816921145e-009             -2.5248260788662e-008
   1.09100455920e-009             -2.5310002325978e-008
   1.10383990696e-009             -2.5473023461366e-008
   1.11667525471e-009             -2.5684289258633e-008
   1.12951060247e-009             -2.5407814976197e-008
   1.14234595022e-009             -2.5472679371676e-008
   1.15518129798e-009             -2.5342209679170e-008
   1.16801664573e-009             -2.5514202111988e-008
   1.18085199349e-009             -2.5305556296423e-008
   1.19368734124e-009             -2.5485938066957e-008
   1.20652268900e-009             -2.5582956783327e-008
   1.21935803676e-009             -2.5490304703128e-008
   1.23219338451e-009             -2.5298569678550e-008
   1.24502873227e-009             -2.5357400176774e-008
   1.25786408002e-009             -2.5197184326009e-008
   1.27069942778e-009             -2.5362296205554e-008
   1.28353477553e-009             -2.5437746282312e-008
   1.29637012329e-009             -2.5270252756284e-008
   1.30920547104e-009             -2.5513593481059e-008
   1.32204081880e-009             -2.5371902805130e-008
   1.33487616655e-009             -2.5402601528943e-008
   1.34771151431e-009             -2.5433988432136e-008
   1.36054686206e-009             -2.5506024593342e-008
   1.37338220982e-009             -2.5635277023989e-008
   1.38621755757e-009             -2.5507586099955e-008
   1.39905290533e-009             -2.5372140985284e-008
   1.41188825309e-009             -2.5462305354402e-008
   1.42472360084e-009             -2.5555116221371e-008
   1.43755894860e-009             -2.5303121617640e-008
   1.45039429635e-009             -2.5619954100699e-008
   1.46322964411e-009             -2.5470324086278e-008
   1.47606499186e-009             -2.5487287754501e-008
   1.48890033962e-009             -2.5313548667215e-008
   1.50173568737e-009             -2.5258237839011e-008
   1.51457103513e-009             -2.5093205507916e-008
   1.52740638288e-009             -2.5366398145420e-008
   1.54024173064e-009             -2.5364254524027e-008
   1.55307707839e-009             -2.5418374296392e-008
   1.56591242615e-009             -2.5537755586224e-008
   1.57874777390e-009             -2.5303545100715e-008
   1.59158312166e-009             -2.5316962582766e-008
   1.60441846942e-009             -2.5378518817163e-008
   1.61725381717e-009             -2.5542439795934e-008
   1.63008916493e-009             -2.5518436477539e-008
   1.64292451268e-009             -2.5536538169300e-008
   1.65575986044e-009             -2.5380318503931e-008
   1.66859520819e-009             -2.5559853308316e-008
   1.68143055595e-009             -2.5469847725969e-008
   1.69426590370e-009             -2.5253368481446e-008
   1.70710125146e-009             -2.5421126703779e-008
   1.71993659921e-009             -2.5381721068709e-008
   1.73277194697e-009             -2.5353959900138e-008
   1.74560729472e-009             -2.5225554280575e-008
   1.75844264248e-009             -2.5271284870288e-008
   1.77127799023e-009             -2.5104902851649e-008
   1.78411333799e-009             -2.5370685388206e-008
   1.79694868574e-009             -2.5225342616570e-008
   1.80978403350e-009             -2.5086986307742e-008
   1.82261938126e-009             -2.5333476406829e-008
   1.83545472901e-009             -2.5285099319264e-008
   1.84829007677e-009             -2.5075447905844e-008
   1.86112542452e-009             -2.5353668687683e-008
   1.87396077228e-009             -2.5463575648560e-008
   1.88679612003e-009             -2.5500308269627e-008
