# Atom Manipulation               
# 
# Sample                          Ag(111)
# Data set                        -
# Creation Comment                
# Gap voltage                     -1.000e-004 V
# Gap voltage range in Volt       -1;1
# Feedback loop enabled           No
# Regulator setpoint              9.901e-012 A
# Pre-amplifier range             0;3.29703e-009
# Loop gain                       7.000e+000 %
# Z-axis offset                   -7.000e-010 m
# Parameter mode                  V before Z
# Raster time                     1.000e-002 seconds
# Channel name and data unit      I(r) [A]
# Manipulation vector: start      -7.679e+000, -5.568e+000 [nm]
#                      end        -6.513e+000, -7.438e+000 [nm]
# 
# 
#             Position                                I(r)
# --------------------             -----------------------
   0.000000000000e+000             -3.297029623134746e-009
   2.203300080501e-011             -3.290465912599417e-009
   4.406600161002e-011             -3.289933638233491e-009
   6.609900241504e-011             -3.297029623134746e-009
   8.813200322005e-011             -3.297029623134746e-009
   1.101650040251e-010             -3.296926799550894e-009
   1.321980048301e-010             -3.297029623134746e-009
   1.542310056351e-010             -3.297029623134746e-009
   1.762640064401e-010             -3.296994983717386e-009
   1.982970072451e-010             -3.296558611807156e-009
   2.203300080501e-010             -3.297029623134746e-009
   2.423630088551e-010             -3.297029623134746e-009
   2.643960096601e-010             -3.297029623134746e-009
   2.864290104652e-010             -3.297029623134746e-009
   3.084620112702e-010             -3.297029623134746e-009
   3.304950120752e-010             -3.297029623134746e-009
   3.525280128802e-010             -3.297029623134746e-009
   3.745610136852e-010             -3.297029623134746e-009
   3.965940144902e-010             -3.297029623134746e-009
   4.186270152952e-010             -3.297029623134746e-009
   4.406600161002e-010             -3.297029623134746e-009
   4.626930169052e-010             -3.297029623134746e-009
   4.847260177103e-010             -3.297029623134746e-009
   5.067590185153e-010             -3.297029623134746e-009
   5.287920193203e-010             -3.297029623134746e-009
   5.508250201253e-010             -3.297029623134746e-009
   5.728580209303e-010             -3.297029623134746e-009
   5.948910217353e-010             -3.297029623134746e-009
   6.169240225403e-010             -3.297029623134746e-009
   6.389570233453e-010             -3.297029623134746e-009
   6.609900241504e-010             -3.297029623134746e-009
   6.830230249554e-010             -3.297029623134746e-009
   7.050560257604e-010             -3.297029623134746e-009
   7.270890265654e-010             -3.297029623134746e-009
   7.491220273704e-010             -3.297029623134746e-009
   7.711550281754e-010             -3.297029623134746e-009
   7.931880289804e-010             -3.297029623134746e-009
   8.152210297854e-010             -3.297029623134746e-009
   8.372540305904e-010             -3.297029623134746e-009
   8.592870313955e-010             -3.297029623134746e-009
   8.813200322005e-010             -3.297029623134746e-009
   9.033530330055e-010             -3.297029623134746e-009
   9.253860338105e-010             -3.297029623134746e-009
   9.474190346155e-010             -3.297029623134746e-009
   9.694520354205e-010             -3.297029623134746e-009
   9.914850362255e-010             -3.297029623134746e-009
   1.013518037031e-009             -3.297029623134746e-009
   1.035551037836e-009             -3.297029623134746e-009
   1.057584038641e-009             -3.297029623134746e-009
   1.079617039446e-009             -3.297029623134746e-009
   1.101650040251e-009             -3.297029623134746e-009
   1.123683041056e-009             -3.297029623134746e-009
   1.145716041861e-009             -3.297029623134746e-009
   1.167749042666e-009             -3.297029623134746e-009
   1.189782043471e-009             -3.297029623134746e-009
   1.211815044276e-009             -3.297029623134746e-009
   1.233848045081e-009             -3.297029623134746e-009
   1.255881045886e-009             -3.297029623134746e-009
   1.277914046691e-009             -3.297029623134746e-009
   1.299947047496e-009             -3.297029623134746e-009
   1.321980048301e-009             -3.297029623134746e-009
   1.344013049106e-009             -3.297029623134746e-009
   1.366046049911e-009             -3.297029623134746e-009
   1.388079050716e-009             -3.297029623134746e-009
   1.410112051521e-009             -3.297029623134746e-009
   1.432145052326e-009             -3.297029623134746e-009
   1.454178053131e-009             -3.297029623134746e-009
   1.476211053936e-009             -3.297029623134746e-009
   1.498244054741e-009             -3.297029623134746e-009
   1.520277055546e-009             -3.297029623134746e-009
   1.542310056351e-009             -3.297029623134746e-009
   1.564343057156e-009             -3.297029623134746e-009
   1.586376057961e-009             -3.297029623134746e-009
   1.608409058766e-009             -3.297029623134746e-009
   1.630442059571e-009             -3.297029623134746e-009
   1.652475060376e-009             -3.297029623134746e-009
   1.674508061181e-009             -3.297029623134746e-009
   1.696541061986e-009             -3.297029623134746e-009
   1.718574062791e-009             -3.297029623134746e-009
   1.740607063596e-009             -3.297029623134746e-009
   1.762640064401e-009             -3.297029623134746e-009
   1.784673065206e-009             -3.297029623134746e-009
   1.806706066011e-009             -3.297029623134746e-009
   1.828739066816e-009             -3.297029623134746e-009
   1.850772067621e-009             -3.297029623134746e-009
   1.872805068426e-009             -3.297029623134746e-009
   1.894838069231e-009             -3.297029623134746e-009
   1.916871070036e-009             -3.297029623134746e-009
   1.938904070841e-009             -3.297029623134746e-009
   1.960937071646e-009             -3.297029623134746e-009
   1.982970072451e-009             -3.297029623134746e-009
   2.005003073256e-009             -3.297029623134746e-009
   2.027036074061e-009             -3.297029623134746e-009
   2.049069074866e-009             -3.297029623134746e-009
   2.071102075671e-009             -3.297029623134746e-009
   2.093135076476e-009             -3.297029623134746e-009
   2.115168077281e-009             -3.297029623134746e-009
   2.137201078086e-009             -3.297029623134746e-009
   2.159234078891e-009             -3.297029623134746e-009
   2.181267079696e-009             -3.297029623134746e-009
