# Atom Manipulation               
# 
# Sample                          Ag(111)
# Data set                        -
# Creation Comment                
# Gap voltage                     -1.000e-004 V
# Gap voltage range in Volt       -1;1
# Feedback loop enabled           No
# Regulator setpoint              9.901e-012 A
# Pre-amplifier range             0;3.29703e-009
# Loop gain                       7.000e+000 %
# Z-axis offset                   -7.000e-010 m
# Parameter mode                  V before Z
# Raster time                     1.000e-002 seconds
# Channel name and data unit      I(r) [A]
# Manipulation vector: start      -3.618e-001, -4.644e+000 [nm]
#                      end        -5.428e-001, -4.885e+000 [nm]
# 
# 
#              Position                              I(r)
# ---------------------             ---------------------
   0.0000000000000e+000             -1.8209114226096e-009
   3.0153600097214e-012             -1.7400817301101e-009
   6.0307200194428e-012             -1.8364248289178e-009
   9.0460800291641e-012             -1.8912502339412e-009
   1.2061440038886e-011             -1.8190058293770e-009
   1.5076800048607e-011             -1.7893938961729e-009
   1.8092160058328e-011             -1.9241240911605e-009
   2.1107520068050e-011             -1.9007470872690e-009
   2.4122880077771e-011             -1.8257798021890e-009
   2.7138240087492e-011             -1.8419491726964e-009
   3.0153600097214e-011             -1.9646051325969e-009
   3.3168960106935e-011             -1.8732423382052e-009
   3.6184320116657e-011             -1.8244244340389e-009
   3.9199680126378e-011             -1.9105188389639e-009
   4.2215040136099e-011             -1.9844041834443e-009
   4.5230400145821e-011             -1.8567162670616e-009
   4.8245760155542e-011             -1.8372571790200e-009
   5.1261120165263e-011             -1.9355343216872e-009
   5.4276480174985e-011             -1.9673145992048e-009
   5.7291840184706e-011             -1.8426747688492e-009
   6.0307200194428e-011             -1.9146179062850e-009
   6.3322560204149e-011             -1.9786802277585e-009
   6.6337920213870e-011             -1.9527328415361e-009
   6.9353280223592e-011             -1.8261192076813e-009
   7.2368640233313e-011             -1.9447593979110e-009
   7.5384000243034e-011             -1.9877843485166e-009
   7.8399360252756e-011             -1.9151329868368e-009
   8.1414720262477e-011             -1.8513088439828e-009
   8.4430080272199e-011             -1.9683490975282e-009
   8.7445440281920e-011             -1.9653863879464e-009
   9.0460800291641e-011             -1.8950207226990e-009
   9.3476160301363e-011             -1.8969585188294e-009
   9.6491520311084e-011             -2.0255031551163e-009
   9.9506880320806e-011             -1.9235306059564e-009
   1.0252224033053e-010             -1.8890161634750e-009
   1.0553760034025e-010             -1.9441617029169e-009
   1.0855296034997e-010             -2.0187091497222e-009
   1.1156832035969e-010             -1.9026931003200e-009
   1.1458368036941e-010             -1.9117563452759e-009
   1.1759904037913e-010             -1.9784322094074e-009
   1.2061440038886e-010             -2.0055181841588e-009
   1.2362976039858e-010             -1.8698948842147e-009
   1.2664512040830e-010             -1.9593231772277e-009
   1.2966048041802e-010             -2.0146445682885e-009
   1.3267584042774e-010             -1.9598198480085e-009
   1.3569120043746e-010             -1.8840489674423e-009
   1.3870656044718e-010             -1.9974347148620e-009
   1.4172192045690e-010             -2.0294788841876e-009
   1.4473728046663e-010             -1.9342212003613e-009
   1.4775264047635e-010             -1.8723899555209e-009
   1.5076800048607e-010             -2.0299167775792e-009
   1.5378336049579e-010             -1.9801824641519e-009
   1.5679872050551e-010             -1.9186975996674e-009
   1.5981408051523e-010             -1.9504410069781e-009
   1.6282944052495e-010             -2.0544437296774e-009
   1.6584480053468e-010             -1.9851925134519e-009
   1.6886016054440e-010             -1.9136046319358e-009
   1.7187552055412e-010             -1.9961878248021e-009
   1.7489088056384e-010             -2.0535005432656e-009
   1.7790624057356e-010             -1.9465528360121e-009
   1.8092160058328e-010             -1.9361380765067e-009
   1.8393696059300e-010             -2.0312922781059e-009
   1.8695232060273e-010             -2.0192133526801e-009
   1.8996768061245e-010             -1.9183067693331e-009
   1.9298304062217e-010             -1.9729564486322e-009
   1.9599840063189e-010             -2.0329518058878e-009
   1.9901376064161e-010             -1.9896072781773e-009
   2.0202912065133e-010             -1.9453125646265e-009
   2.0504448066105e-010             -2.0500004636603e-009
   2.0805984067078e-010             -2.0739483592950e-009
   2.1107520068050e-010             -1.9617426596201e-009
   2.1409056069022e-010             -1.9704331800235e-009
   2.1710592069994e-010             -2.0747196735831e-009
   2.2012128070966e-010             -2.0380107698158e-009
   2.2313664071938e-010             -1.9445556529788e-009
   2.2615200072910e-010             -1.9910938944381e-009
   2.2916736073882e-010             -2.0716089043661e-009
   2.3218272074855e-010             -1.9954380891422e-009
   2.3519808075827e-010             -1.9523112775853e-009
   2.3821344076799e-010             -2.0891815934838e-009
   2.4122880077771e-010             -2.1176848580670e-009
   2.4424416078743e-010             -1.9882330949372e-009
   2.4725952079715e-010             -1.9805049567898e-009
   2.5027488080687e-010             -2.0804355674135e-009
   2.5329024081660e-010             -2.0449161181683e-009
   2.5630560082632e-010             -1.9601687124783e-009
   2.5932096083604e-010             -2.0166101318377e-009
   2.6233632084576e-010             -2.1249413277788e-009
   2.6535168085548e-010             -2.0323776685225e-009
   2.6836704086520e-010             -2.0065443903320e-009
   2.7138240087492e-010             -2.0794216850859e-009
   2.7439776088465e-010             -2.1066412155024e-009
   2.7741312089437e-010             -1.9964874967548e-009
   2.8042848090409e-010             -2.0192090415604e-009
   2.8344384091381e-010             -2.1254237740138e-009
   2.8645920092353e-010             -2.0832555909067e-009
   2.8947456093325e-010             -1.9918393205135e-009
   2.9248992094297e-010             -2.0635360593387e-009
   2.9550528095270e-010             -2.1123871060058e-009
   2.9852064096242e-010             -2.0594060572768e-009
