# Atom Manipulation               
# 
# Sample                          Ag(111)
# Data set                        -
# Creation Comment                
# Gap voltage                     -2.500e+000 V
# Gap voltage range in Volt       -10;10
# Feedback loop enabled           No
# Regulator setpoint              9.901e-012 A
# Pre-amplifier range             0;3.29703e-009
# Loop gain                       7.000e+000 %
# Z-axis offset                   2.000e-010 m
# Parameter mode                  Z before V
# Raster time                     5.000e-003 seconds
# Channel name and data unit      I(r) [A]
# Manipulation vector: start      -6.431e+000, 2.781e+000 [nm]
#                      end        -5.475e+000, 2.781e+000 [nm]
# 
# 
#              Position                                I(r)
# ---------------------             -----------------------
   0.0000000000000e+000             -3.587150253117080e-011
   9.5589231869857e-013             -3.439903098064618e-011
   1.9117846373971e-012             -3.395442833216318e-011
   2.8676769560957e-012             -3.392780624648705e-011
   3.8235692747943e-012             -3.368145062424492e-011
   4.7794615934928e-012             -3.406977074453867e-011
   5.7353539121914e-012             -3.483000784998409e-011
   6.6912462308900e-012             -3.508752509638224e-011
   7.6471385495885e-012             -3.439871624433916e-011
   8.6030308682871e-012             -3.316714846909958e-011
   9.5589231869857e-012             -3.264729313725927e-011
   1.0514815505684e-011             -3.343975924054283e-011
   1.1470707824383e-011             -3.421341178916230e-011
   1.2426600143081e-011             -3.439153718594114e-011
   1.3382492461780e-011             -3.484096067346814e-011
   1.4338384780478e-011             -3.449597897500058e-011
   1.5294277099177e-011             -3.369439473060799e-011
   1.6250169417876e-011             -3.223748650664040e-011
   1.7206061736574e-011             -3.237767005778405e-011
   1.8161954055273e-011             -3.355934675481535e-011
   1.9117846373971e-011             -3.426225425811356e-011
   2.0073738692670e-011             -3.368118808810590e-011
   2.1029631011368e-011             -3.383850864734166e-011
   2.1985523330067e-011             -3.369968690646298e-011
   2.2941415648766e-011             -3.285560251353021e-011
   2.3897307967464e-011             -3.172664338027408e-011
   2.4853200286163e-011             -3.229345583382169e-011
   2.5809092604861e-011             -3.336880385925054e-011
   2.6764984923560e-011             -3.417767309767619e-011
   2.7720877242258e-011             -3.386256217769275e-011
   2.8676769560957e-011             -3.323889145880893e-011
   2.9632661879656e-011             -3.264042727986921e-011
   3.0588554198354e-011             -3.200218810821832e-011
   3.1544446517053e-011             -3.165778368219678e-011
   3.2500338835751e-011             -3.285104267532616e-011
   3.3456231154450e-011             -3.363847913889375e-011
   3.4412123473148e-011             -3.417400373292614e-011
   3.5368015791847e-011             -3.261066243702011e-011
   3.6323908110546e-011             -3.203525691464152e-011
   3.7279800429244e-011             -3.161779835351459e-011
   3.8235692747943e-011             -3.194349516050707e-011
   3.9191585066641e-011             -3.223198399481438e-011
   4.0147477385340e-011             -3.272312309306261e-011
   4.1103369704038e-011             -3.352276825474419e-011
   4.2059262022737e-011             -3.404435386862354e-011
   4.3015154341435e-011             -3.230037235608069e-011
   4.3971046660134e-011             -3.141017065002566e-011
   4.4926938978833e-011             -3.128508062392711e-011
   4.5882831297531e-011             -3.198552397223627e-011
   4.6838723616230e-011             -3.193746911170206e-011
   4.7794615934928e-011             -3.322018230448082e-011
   4.8750508253627e-011             -3.345333281951991e-011
