# Atom Manipulation               
# 
# Sample                          Ag(111)
# Data set                        -
# Creation Comment                
# Gap voltage                     -1.000e-004 V
# Gap voltage range in Volt       -1;1
# Feedback loop enabled           No
# Regulator setpoint              1.000e-009 A
# Pre-amplifier range             0;3.33e-007
# Loop gain                       7.000e+000 %
# Z-axis offset                   -7.000e-010 m
# Parameter mode                  V before Z
# Raster time                     1.000e-002 seconds
# Channel name and data unit      I(r) [A]
# Manipulation vector: start      -1.440e+001, -3.708e+000 [nm]
#                      end        -8.255e+000, -3.737e+000 [nm]
# 
# 
#             Position                            I(r)
# --------------------             -------------------
   0.000000000000e+000             -1.78826734792e-008
   6.140952143448e-011             -1.76847739925e-008
   1.228190428690e-010             -1.75517131604e-008
   1.842285643034e-010             -1.77988878724e-008
   2.456380857379e-010             -1.78506267736e-008
   3.070476071724e-010             -1.79333520445e-008
   3.684571286069e-010             -1.80687895610e-008
   4.298666500414e-010             -1.81858307618e-008
   4.912761714759e-010             -1.83733450666e-008
   5.526856929103e-010             -1.87132205492e-008
   6.140952143448e-010             -1.88848664113e-008
   6.755047357793e-010             -1.86290967452e-008
   7.369142572138e-010             -1.79424515809e-008
   7.983237786483e-010             -1.75692003287e-008
   8.597333000827e-010             -1.73590024655e-008
   9.211428215172e-010             -1.70520854719e-008
   9.825523429517e-010             -1.66264090000e-008
   1.043961864386e-009             -1.64816491185e-008
   1.105371385821e-009             -1.67196424196e-008
   1.166780907255e-009             -1.66075747802e-008
   1.228190428690e-009             -1.65167102917e-008
   1.289599950124e-009             -1.63212412970e-008
   1.351009471559e-009             -1.56892980198e-008
   1.412418992993e-009             -1.53532053529e-008
   1.473828514428e-009             -6.58554296082e-009
   1.535238035862e-009             -4.19410395571e-009
   1.596647557297e-009             -3.11177239529e-009
   1.658057078731e-009             -2.30649816248e-009
   1.719466600165e-009             -1.76605715703e-009
   1.780876121600e-009             -1.30282993999e-009
   1.842285643034e-009             -8.65088154569e-010
   1.903695164469e-009             -6.59277396145e-010
   1.965104685903e-009             -5.47914217929e-010
   2.026514207338e-009             -4.42869016421e-010
   2.087923728772e-009             -3.74283366155e-010
   2.149333250207e-009             -3.84087208671e-010
   2.210742771641e-009             -3.86712307525e-010
   2.272152293076e-009             -3.59062940967e-010
   2.333561814510e-009             -3.45694149390e-010
   2.394971335945e-009             -3.77374591016e-010
   2.456380857379e-009             -3.66287738994e-010
   2.517790378814e-009             -3.47858239390e-010
   2.579199900248e-009             -3.51776582053e-010
   2.640609421683e-009             -3.81395431779e-010
   2.702018943117e-009             -3.61531734094e-010
   2.763428464552e-009             -3.45468684582e-010
   2.824837985986e-009             -3.61178340492e-010
   2.886247507421e-009             -3.81321155546e-010
   2.947657028855e-009             -3.51046690133e-010
   3.009066550290e-009             -3.45448215975e-010
   3.070476071724e-009             -3.71164074493e-010
   3.131885593159e-009             -3.75092651460e-010
   3.193295114593e-009             -3.44495495356e-010
   3.254704636028e-009             -3.52442587108e-010
   3.316114157462e-009             -3.74068290716e-010
   3.377523678896e-009             -3.58507187272e-010
   3.438933200331e-009             -3.36960877049e-010
   3.500342721765e-009             -3.64738327467e-010
   3.561752243200e-009             -3.72905456745e-010
   3.623161764634e-009             -3.48385771217e-010
   3.684571286069e-009             -3.39506582518e-010
   3.745980807503e-009             -3.67258292112e-010
   3.807390328938e-009             -3.64377180604e-010
   3.868799850372e-009             -3.38712648669e-010
   3.930209371807e-009             -3.52058335530e-010
   3.991618893241e-009             -3.71630045434e-010
   4.053028414676e-009             -3.51272154941e-010
   4.114437936110e-009             -3.30360991797e-010
   4.175847457545e-009             -3.52744809192e-010
   4.237256978979e-009             -3.63580610647e-010
   4.298666500414e-009             -3.35785327730e-010
   4.360076021848e-009             -3.31247034378e-010
   4.421485543283e-009             -3.56811704322e-010
   4.482895064717e-009             -3.39639628464e-010
   4.544304586152e-009             -3.19911767898e-010
   4.605714107586e-009             -3.26765184760e-010
   4.667123629021e-009             -3.46062894447e-010
   4.728533150455e-009             -3.23005473802e-010
   4.789942671890e-009             -3.12205492410e-010
   4.851352193324e-009             -3.25497371645e-010
   4.912761714759e-009             -3.38523003923e-010
   4.974171236193e-009             -3.02793499667e-010
   5.035580757627e-009             -3.05293150770e-010
   5.096990279062e-009             -3.25300283769e-010
   5.158399800496e-009             -3.16172525547e-010
   5.219809321931e-009             -2.91573446634e-010
   5.281218843365e-009             -3.04803920048e-010
   5.342628364800e-009             -3.15542495619e-010
   5.404037886234e-009             -2.97433205663e-010
   5.465447407669e-009             -2.77610445192e-010
   5.526856929103e-009             -3.05551799532e-010
   5.588266450538e-009             -3.00168400813e-010
   5.649675971972e-009             -2.83167982136e-010
   5.711085493407e-009             -2.74806090961e-010
   5.772495014841e-009             -2.98647056087e-010
   5.833904536276e-009             -2.85874955419e-010
   5.895314057710e-009             -2.71130890539e-010
   5.956723579145e-009             -2.81900169021e-010
   6.018133100579e-009             -2.99420521329e-010
   6.079542622014e-009             -2.74678007102e-010
