# Atom Manipulation               
# 
# Sample                          Ag(111)
# Data set                        -
# Creation Comment                
# Gap voltage                     -1.000e-004 V
# Gap voltage range in Volt       -1;1
# Feedback loop enabled           No
# Regulator setpoint              1.000e-009 A
# Pre-amplifier range             0;3.33e-007
# Loop gain                       7.000e+000 %
# Z-axis offset                   -8.000e-010 m
# Parameter mode                  V before Z
# Raster time                     1.000e-002 seconds
# Channel name and data unit      I(r) [A]
# Manipulation vector: start      -2.100e+000, 9.000e+000 [nm]
#                      end        -1.500e+001, 3.000e-001 [nm]
# 
# 
#            Position                              I(r)
# -------------------             ---------------------
   0.00000000000e+000             -2.3593360262991e-008
   7.77978148793e-011             -2.3582624323528e-008
   1.55595629759e-010             -2.3632800942796e-008
   2.33393444638e-010             -2.3518743351579e-008
   3.11191259517e-010             -2.3669040146382e-008
   3.88989074397e-010             -2.3611280218332e-008
   4.66786889276e-010             -2.3614850284545e-008
   5.44584704155e-010             -2.3526308672797e-008
   6.22382519035e-010             -2.3600943571772e-008
   7.00180333914e-010             -2.3618274434400e-008
   7.77978148793e-010             -2.3638527500814e-008
   8.55775963673e-010             -2.3597099505342e-008
   9.33573778552e-010             -2.3629448433066e-008
   1.01137159343e-009             -2.3574029214285e-008
   1.08916940831e-009             -2.3618525484966e-008
   1.16696722319e-009             -2.3631320535285e-008
   1.24476503807e-009             -2.3670948068663e-008
   1.32256285295e-009             -2.3550784940067e-008
   1.40036066783e-009             -2.3621880475740e-008
   1.47815848271e-009             -2.3614676146320e-008
   1.55595629759e-009             -2.3611951185473e-008
   1.63375411247e-009             -2.3606229744608e-008
   1.71155192735e-009             -2.3719921071811e-008
   1.78934974222e-009             -2.3694138690319e-008
   1.86714755710e-009             -2.3586650281443e-008
   1.94494537198e-009             -2.3638337856068e-008
   2.02274318686e-009             -2.3794789033789e-008
   2.10054100174e-009             -2.3720236009242e-008
   2.17833881662e-009             -2.3640499465025e-008
   2.25613663150e-009             -2.3688166198887e-008
   2.33393444638e-009             -2.3855734931539e-008
   2.41173226126e-009             -2.3746233466173e-008
   2.48953007614e-009             -2.3704347097955e-008
   2.56732789102e-009             -2.3712125168633e-008
   2.64512570590e-009             -2.3869357254726e-008
   2.72292352078e-009             -2.3677233016483e-008
   2.80072133566e-009             -2.3751491417141e-008
   2.87851915054e-009             -2.3717103847168e-008
   2.95631696541e-009             -2.3754651801082e-008
   3.03411478029e-009             -2.3627868318628e-008
   3.11191259517e-009             -2.3906708120765e-008
   3.18971041005e-009             -2.3864475957140e-008
   3.26750822493e-009             -2.3837625641582e-008
   3.34530603981e-009             -2.3754741428771e-008
   3.42310385469e-009             -2.3874617686737e-008
   3.50090166957e-009             -2.3853281489866e-008
   3.57869948445e-009             -2.3835912171068e-008
   3.65649729933e-009             -2.3734583262262e-008
   3.73429511421e-009             -2.3827271162524e-008
   3.81209292909e-009             -2.3805161345346e-008
   3.88989074397e-009             -2.3801289057048e-008
   3.96768855885e-009             -2.3841848842438e-008
   4.04548637373e-009             -2.3879793763277e-008
   4.12328418861e-009             -2.3659687078416e-008
   4.20108200348e-009             -2.3818517421576e-008
   4.27887981836e-009             -2.3937376916994e-008
   4.35667763324e-009             -2.4051024670874e-008
   4.43447544812e-009             -2.3828026640202e-008
   4.51227326300e-009             -2.4135591496224e-008
   4.59007107788e-009             -2.4134792445223e-008
   4.66786889276e-009             -2.3949734218239e-008
   4.74566670764e-009             -2.3816491494674e-008
   4.82346452252e-009             -2.4174327714804e-008
   4.90126233740e-009             -2.4053793205043e-008
   4.97906015228e-009             -2.3902779388733e-008
   5.05685796716e-009             -2.3908769712664e-008
   5.13465578204e-009             -2.4182899719332e-008
   5.21245359692e-009             -2.3902853664966e-008
   5.29025141180e-009             -2.3848671556389e-008
   5.36804922667e-009             -2.3911177099971e-008
   5.44584704155e-009             -2.4029178774675e-008
   5.52364485643e-009             -2.3867533842981e-008
   5.60144267131e-009             -2.3955243064709e-008
   5.67924048619e-009             -2.4032421033044e-008
   5.75703830107e-009             -2.4089530462560e-008
   5.83483611595e-009             -2.3953975251593e-008
   5.91263393083e-009             -2.4075088619765e-008
   5.99043174571e-009             -2.4079567988339e-008
   6.06822956059e-009             -2.4115538308859e-008
   6.14602737547e-009             -2.4032479957822e-008
   6.22382519035e-009             -2.4246762703717e-008
   6.30162300523e-009             -2.4188897796523e-008
   6.37942082011e-009             -2.4189648157050e-008
   6.45721863499e-009             -2.4184741118640e-008
   6.53501644986e-009             -2.4328161391865e-008
   6.61281426474e-009             -2.4198273814139e-008
   6.69061207962e-009             -2.4288864302439e-008
   6.76840989450e-009             -2.4301331544915e-008
   6.84620770938e-009             -2.4354335623130e-008
   6.92400552426e-009             -2.4238971917691e-008
   7.00180333914e-009             -2.4352596721922e-008
   7.07960115402e-009             -2.4313599218471e-008
   7.15739896890e-009             -2.4256948161702e-008
   7.23519678378e-009             -2.4217991595466e-008
   7.31299459866e-009             -2.4355019460683e-008
   7.39079241354e-009             -2.4190121881251e-008
   7.46859022842e-009             -2.4221830699809e-008
   7.54638804330e-009             -2.4220959853618e-008
   7.62418585818e-009             -2.4256515374715e-008
   7.70198367305e-009             -2.4124161484904e-008
   7.77978148793e-009             -2.4178504861294e-008
   7.85757930281e-009             -2.4154889205911e-008
   7.93537711769e-009             -2.4227705810293e-008
   8.01317493257e-009             -2.4167039029912e-008
   8.09097274745e-009             -2.4161191986230e-008
   8.16877056233e-009             -2.4160690040162e-008
   8.24656837721e-009             -2.4240134596598e-008
   8.32436619209e-009             -2.4147072834127e-008
   8.40216400697e-009             -2.4144854936501e-008
   8.47996182185e-009             -2.4137284343066e-008
   8.55775963673e-009             -2.4202504768255e-008
   8.63555745161e-009             -2.4131757509033e-008
   8.71335526649e-009             -2.4166642062987e-008
   8.79115308137e-009             -2.4167812340089e-008
   8.86895089624e-009             -2.4276422490657e-008
   8.94674871112e-009             -2.4255139946347e-008
   9.02454652600e-009             -2.4193279784149e-008
   9.10234434088e-009             -2.4242306439858e-008
   9.18014215576e-009             -2.4371261765572e-008
   9.25793997064e-009             -2.4172389089612e-008
   9.33573778552e-009             -2.4212777217820e-008
   9.41353560040e-009             -2.4341911798911e-008
   9.49133341528e-009             -2.4318903068740e-008
   9.56913123016e-009             -2.4093589914559e-008
   9.64692904504e-009             -2.4329372761246e-008
   9.72472685992e-009             -2.4323853680473e-008
   9.80252467480e-009             -2.4233445083658e-008
   9.88032248968e-009             -2.4060843864845e-008
   9.95812030456e-009             -2.4366557087255e-008
   1.00359181194e-008             -2.4326153607592e-008
   1.01137159343e-008             -2.4097165097924e-008
   1.01915137492e-008             -2.4112057715269e-008
   1.02693115641e-008             -2.4372749771279e-008
   1.03471093790e-008             -2.4158474778644e-008
   1.04249071938e-008             -2.4109366093442e-008
   1.05027050087e-008             -2.4158095644218e-008
   1.05805028236e-008             -2.4355393322892e-008
   1.06583006385e-008             -2.4173060056754e-008
   1.07360984533e-008             -2.4150694226922e-008
   1.08138962682e-008             -2.4287865527454e-008
   1.08916940831e-008             -2.4370764936656e-008
   1.09694918980e-008             -2.4191820000310e-008
   1.10472897129e-008             -2.4248184186450e-008
   1.11250875277e-008             -2.4344903161780e-008
   1.12028853426e-008             -2.4307086324800e-008
   1.12806831575e-008             -2.4171515762378e-008
   1.13584809724e-008             -2.4295725472561e-008
   1.14362787873e-008             -2.4214593031370e-008
   1.15140766021e-008             -2.4197344198235e-008
   1.15918744170e-008             -2.4129150397742e-008
   1.16696722319e-008             -2.4242140054893e-008
   1.17474700468e-008             -2.4229880134597e-008
   1.18252678617e-008             -2.4236928158291e-008
   1.19030656765e-008             -2.4200473879266e-008
   1.19808634914e-008             -2.4265435500628e-008
   1.20586613063e-008             -2.4160695157314e-008
   1.21364591212e-008             -2.4181864969220e-008
   1.22142569361e-008             -2.4150343314364e-008
   1.22920547509e-008             -2.4224763137899e-008
   1.23698525658e-008             -2.4115077300005e-008
   1.24476503807e-008             -2.4134359658236e-008
   1.25254481956e-008             -2.4100192280854e-008
   1.26032460105e-008             -2.4158402983455e-008
   1.26810438253e-008             -2.4057724573183e-008
   1.27588416402e-008             -2.4055086603917e-008
   1.28366394551e-008             -2.4070762920808e-008
   1.29144372700e-008             -2.4049523949821e-008
   1.29922350848e-008             -2.4046179193351e-008
   1.30700328997e-008             -2.4077411496534e-008
   1.31478307146e-008             -2.4083363519360e-008
   1.32256285295e-008             -2.4068898571849e-008
   1.33034263444e-008             -2.3967720541488e-008
   1.33812241592e-008             -2.4111455907209e-008
   1.34590219741e-008             -2.4024678937493e-008
   1.35368197890e-008             -2.4032387849091e-008
   1.36146176039e-008             -2.3985811998946e-008
