# Atom Manipulation               
# 
# Sample                          Ag(111)
# Data set                        -
# Creation Comment                
# Gap voltage                     -1.000e-004 V
# Gap voltage range in Volt       -1;1
# Feedback loop enabled           No
# Regulator setpoint              1.000e-009 A
# Pre-amplifier range             0;3.33e-007
# Loop gain                       7.000e+000 %
# Z-axis offset                   -8.000e-010 m
# Parameter mode                  V before Z
# Raster time                     1.000e-002 seconds
# Channel name and data unit      I(r) [A]
# Manipulation vector: start      -4.860e+000, 1.608e+001 [nm]
#                      end        -1.776e+001, 9.600e-001 [nm]
# 
# 
#            Position                             I(r)
# -------------------             --------------------
   0.00000000000e+000             -2.349386500023e-008
   9.93761037675e-011             -2.342019057514e-008
   1.98752207535e-010             -2.342797624401e-008
   2.98128311302e-010             -2.346511699670e-008
   3.97504415070e-010             -2.357966366357e-008
   4.96880518837e-010             -2.353381274326e-008
   5.96256622605e-010             -2.347765603436e-008
   6.95632726372e-010             -2.355092837538e-008
   7.95008830140e-010             -2.363441687730e-008
   8.94384933907e-010             -2.348356944595e-008
   9.93761037675e-010             -2.354291212455e-008
   1.09313714144e-009             -2.359385197476e-008
   1.19251324521e-009             -2.358748778862e-008
   1.29188934898e-009             -2.352309463629e-008
   1.39126545274e-009             -2.361107785824e-008
   1.49064155651e-009             -2.354498674192e-008
   1.59001766028e-009             -2.358502395757e-008
   1.68939376405e-009             -2.360259036425e-008
   1.78876986781e-009             -2.356183085487e-008
   1.88814597158e-009             -2.356533951527e-008
   1.98752207535e-009             -2.365882646653e-008
   2.08689817912e-009             -2.349765277799e-008
   2.18627428288e-009             -2.362114034952e-008
   2.28565038665e-009             -2.351853587434e-008
   2.38502649042e-009             -2.363347950813e-008
   2.48440259419e-009             -2.350735164137e-008
   2.58377869795e-009             -2.358763122393e-008
   2.68315480172e-009             -2.361146707190e-008
   2.78253090549e-009             -2.353039107445e-008
   2.88190700926e-009             -2.348990556529e-008
   2.98128311302e-009             -2.363483694894e-008
   3.08065921679e-009             -2.349064569151e-008
   3.18003532056e-009             -2.352824745305e-008
   3.27941142433e-009             -2.360498503621e-008
   3.37878752809e-009             -2.366945494580e-008
   3.47816363186e-009             -2.347377599280e-008
   3.57753973563e-009             -2.355674967824e-008
   3.67691583940e-009             -2.351846423421e-008
   3.77629194316e-009             -2.360607343888e-008
   3.87566804693e-009             -2.341546279210e-008
   3.97504415070e-009             -2.352028764596e-008
   4.07442025447e-009             -2.351891748980e-008
   4.17379635823e-009             -2.343992867001e-008
   4.27317246200e-009             -2.335234241499e-008
   4.37254856577e-009             -2.358285226938e-008
   4.47192466954e-009             -2.338769293988e-008
   4.57130077330e-009             -2.346489928515e-008
   4.67067687707e-009             -2.336502752407e-008
   4.77005298084e-009             -2.337668811735e-008
   4.86942908461e-009             -2.330518538045e-008
   4.96880518837e-009             -2.342225480314e-008
   5.06818129214e-009             -2.341205399370e-008
   5.16755739591e-009             -2.350986400782e-008
   5.26693349968e-009             -2.337344322288e-008
   5.36630960344e-009             -2.351689171797e-008
   5.46568570721e-009             -2.342140442556e-008
   5.56506181098e-009             -2.375442385523e-008
   5.66443791474e-009             -2.373229108840e-008
   5.76381401851e-009             -2.377845446510e-008
   5.86319012228e-009             -2.377250507839e-008
   5.96256622605e-009             -2.391693436090e-008
   6.06194232981e-009             -2.368455767650e-008
   6.16131843358e-009             -2.385094062553e-008
   6.26069453735e-009             -2.388548698228e-008
   6.36007064112e-009             -2.394113910900e-008
   6.45944674488e-009             -2.390933058351e-008
   6.55882284865e-009             -2.401743615190e-008
