# Atom Manipulation               
# 
# Sample                          Ag(111)
# Data set                        -
# Creation Comment                
# Gap voltage                     -1.000e-004 V
# Gap voltage range in Volt       -1;1
# Feedback loop enabled           No
# Regulator setpoint              1.000e-009 A
# Pre-amplifier range             0;3.33e-007
# Loop gain                       7.000e+000 %
# Z-axis offset                   -5.000e-010 m
# Parameter mode                  V before Z
# Raster time                     1.000e-002 seconds
# Channel name and data unit      I(r) [A]
# Manipulation vector: start      -1.280e+000, -1.671e+000 [nm]
#                      end        -1.828e+000, -1.645e+000 [nm]
# 
# 
#              Position                             I(r)
# ---------------------             --------------------
   0.0000000000000e+000             -9.164585743305e-009
   5.4904674161218e-012             -8.979665834483e-009
   1.0980934832244e-011             -8.608086805502e-009
   1.6471402248365e-011             -9.206131588333e-009
   2.1961869664487e-011             -9.338178138907e-009
   2.7452337080609e-011             -8.967216424507e-009
   3.2942804496731e-011             -8.898438648452e-009
   3.8433271912853e-011             -9.411266107398e-009
   4.3923739328975e-011             -9.277460187009e-009
   4.9414206745096e-011             -8.913093085643e-009
   5.4904674161218e-011             -9.071354959761e-009
   6.0395141577340e-011             -9.482394982090e-009
   6.5885608993462e-011             -9.017218905550e-009
   7.1376076409584e-011             -8.873696134224e-009
   7.6866543825706e-011             -9.263194963482e-009
   8.2357011241827e-011             -9.469484563259e-009
   8.7847478657949e-011             -8.934439671882e-009
   9.3337946074071e-011             -8.939710493262e-009
   9.8828413490193e-011             -9.442242397928e-009
   1.0431888090631e-010             -9.280994433159e-009
   1.0980934832244e-010             -8.775184294996e-009
   1.1529981573856e-010             -9.121234474096e-009
   1.2079028315468e-010             -9.568068042612e-009
   1.2628075057080e-010             -9.127880413714e-009
   1.3177121798692e-010             -8.817347299539e-009
   1.3726168540305e-010             -9.362416226023e-009
   1.4275215281917e-010             -9.537424832142e-009
   1.4824262023529e-010             -8.896845663602e-009
   1.5373308765141e-010             -8.940568469041e-009
   1.5922355506753e-010             -9.471338832979e-009
   1.6471402248365e-010             -9.363507264805e-009
   1.7020448989978e-010             -8.849122641071e-009
   1.7569495731590e-010             -9.077440028532e-009
   1.8118542473202e-010             -9.540779822916e-009
   1.8667589214814e-010             -9.257524694134e-009
   1.9216635956426e-010             -8.778523934314e-009
   1.9765682698039e-010             -9.424857727674e-009
   2.0314729439651e-010             -9.470941866055e-009
   2.0863776181263e-010             -9.135819752206e-009
   2.1412822922875e-010             -8.975342771635e-009
   2.1961869664487e-010             -9.529459907891e-009
   2.2510916406100e-010             -9.422004682969e-009
   2.3059963147712e-010             -9.057532757525e-009
   2.3609009889324e-010             -9.202218207756e-009
   2.4158056630936e-010             -9.726240133976e-009
   2.4707103372548e-010             -9.269221107476e-009
   2.5256150114160e-010             -9.173933694118e-009
   2.5805196855773e-010             -9.437973142707e-009
   2.6354243597385e-010             -9.714095582192e-009
   2.6903290338997e-010             -9.145528849881e-009
   2.7452337080609e-010             -9.310971793639e-009
   2.8001383822221e-010             -9.764843306610e-009
   2.8550430563834e-010             -9.688671711455e-009
   2.9099477305446e-010             -9.179473398564e-009
   2.9648524047058e-010             -9.700606460016e-009
   3.0197570788670e-010             -9.979745848129e-009
   3.0746617530282e-010             -1.032139357100e-008
   3.1295664271894e-010             -1.387666764875e-008
   3.1844711013507e-010             -1.405212702942e-008
   3.2393757755119e-010             -1.407421885903e-008
   3.2942804496731e-010             -1.386271240056e-008
   3.3491851238343e-010             -1.383533967033e-008
   3.4040897979955e-010             -1.404081998480e-008
   3.4589944721568e-010             -1.393690427825e-008
   3.5138991463180e-010             -1.380668377553e-008
   3.5688038204792e-010             -1.380641737351e-008
   3.6237084946404e-010             -1.401449456496e-008
   3.6786131688016e-010             -1.432982725736e-008
   3.7335178429628e-010             -1.494844004404e-008
   3.7884225171241e-010             -1.509438555413e-008
   3.8433271912853e-010             -1.516027431035e-008
   3.8982318654465e-010             -1.488791142675e-008
   3.9531365396077e-010             -1.485349578998e-008
   4.0080412137689e-010             -1.501540448759e-008
   4.0629458879302e-010             -1.496254632573e-008
   4.1178505620914e-010             -1.460279954721e-008
   4.1727552362526e-010             -1.479543363985e-008
   4.2276599104138e-010             -1.488111693467e-008
   4.2825645845750e-010             -1.463293833057e-008
   4.3374692587362e-010             -1.443964614120e-008
   4.3923739328975e-010             -1.464629177069e-008
   4.4472786070587e-010             -1.461983594101e-008
   4.5021832812199e-010             -1.433961559336e-008
   4.5570879553811e-010             -1.426172044845e-008
   4.6119926295423e-010             -1.449983656127e-008
   4.6668973037036e-010             -1.430956907380e-008
   4.7218019778648e-010             -1.411738839182e-008
   4.7767066520260e-010             -1.417706415048e-008
   4.8316113261872e-010             -1.432068414768e-008
   4.8865160003484e-010             -1.407179363923e-008
   4.9414206745096e-010             -1.392608879034e-008
   4.9963253486709e-010             -1.407840623982e-008
   5.0512300228321e-010             -1.415999193661e-008
   5.1061346969933e-010             -1.388589775000e-008
   5.1610393711545e-010             -1.389318410892e-008
   5.2159440453157e-010             -1.403363612399e-008
   5.2708487194770e-010             -1.402602707438e-008
   5.3257533936382e-010             -1.379180123742e-008
   5.3806580677994e-010             -1.392281831010e-008
   5.4355627419606e-010             -1.408011195708e-008
