# Atom Manipulation               
# 
# Sample                          Ag(111)
# Data set                        -
# Creation Comment                
# Gap voltage                     -1.000e-004 V
# Gap voltage range in Volt       -1;1
# Feedback loop enabled           No
# Regulator setpoint              9.901e-012 A
# Pre-amplifier range             0;3.29703e-009
# Loop gain                       7.000e+000 %
# Z-axis offset                   -7.000e-010 m
# Parameter mode                  V before Z
# Raster time                     1.000e-002 seconds
# Channel name and data unit      I(r) [A]
# Manipulation vector: start      4.684e+000, 3.196e+000 [nm]
#                      end        5.830e-001, 8.443e-001 [nm]
# 
# 
#             Position                              I(r)
# --------------------             ---------------------
   0.000000000000e+000             -3.0426776106878e-009
   4.727484462065e-011             -3.2558769451663e-009
   9.454968924129e-011             -3.2890236710874e-009
   1.418245338619e-010             -3.2350626164045e-009
   1.890993784826e-010             -3.2969757633085e-009
   2.363742231032e-010             -3.2970296231347e-009
   2.836490677239e-010             -3.2970296231347e-009
   3.309239123445e-010             -3.2970296231347e-009
   3.781987569652e-010             -3.2970296231347e-009
   4.254736015858e-010             -3.2970296231347e-009
   4.727484462065e-010             -3.2970296231347e-009
   5.200232908271e-010             -3.2970296231347e-009
   5.672981354477e-010             -3.2970296231347e-009
   6.145729800684e-010             -3.2970296231347e-009
   6.618478246890e-010             -3.2970296231347e-009
   7.091226693097e-010             -3.2970296231347e-009
   7.563975139303e-010             -3.2970296231347e-009
   8.036723585510e-010             -3.2970296231347e-009
   8.509472031716e-010             -3.2970296231347e-009
   8.982220477923e-010             -3.2970296231347e-009
   9.454968924129e-010             -3.2970296231347e-009
   9.927717370336e-010             -3.2970296231347e-009
   1.040046581654e-009             -3.2970296231347e-009
   1.087321426275e-009             -3.2970296231347e-009
   1.134596270895e-009             -3.2970296231347e-009
   1.181871115516e-009             -3.2970296231347e-009
   1.229145960137e-009             -3.2970296231347e-009
   1.276420804757e-009             -3.2970296231347e-009
   1.323695649378e-009             -3.2970296231347e-009
   1.370970493999e-009             -3.2970296231347e-009
   1.418245338619e-009             -3.2970296231347e-009
   1.465520183240e-009             -3.2970296231347e-009
   1.512795027861e-009             -3.2970296231347e-009
   1.560069872481e-009             -3.2970296231347e-009
   1.607344717102e-009             -3.2970296231347e-009
   1.654619561723e-009             -3.2970296231347e-009
   1.701894406343e-009             -3.2970296231347e-009
   1.749169250964e-009             -3.2970296231347e-009
   1.796444095585e-009             -3.2970296231347e-009
   1.843718940205e-009             -3.2970296231347e-009
   1.890993784826e-009             -3.2970296231347e-009
   1.938268629446e-009             -3.2970296231347e-009
   1.985543474067e-009             -3.2970296231347e-009
   2.032818318688e-009             -3.2970296231347e-009
   2.080093163308e-009             -3.2970296231347e-009
   2.127368007929e-009             -3.2970296231347e-009
   2.174642852550e-009             -3.2970296231347e-009
   2.221917697170e-009             -3.2970296231347e-009
   2.269192541791e-009             -3.2970296231347e-009
   2.316467386412e-009             -3.2970296231347e-009
   2.363742231032e-009             -3.2970296231347e-009
   2.411017075653e-009             -3.2970296231347e-009
   2.458291920274e-009             -3.2970296231347e-009
   2.505566764894e-009             -3.2970296231347e-009
   2.552841609515e-009             -3.2970296231347e-009
   2.600116454136e-009             -3.2970296231347e-009
   2.647391298756e-009             -3.2970296231347e-009
   2.694666143377e-009             -3.2970296231347e-009
   2.741940987997e-009             -3.2970296231347e-009
   2.789215832618e-009             -3.2970296231347e-009
   2.836490677239e-009             -3.2970296231347e-009
   2.883765521859e-009             -3.2970296231347e-009
   2.931040366480e-009             -3.2970296231347e-009
   2.978315211101e-009             -3.2970296231347e-009
   3.025590055721e-009             -3.2970296231347e-009
   3.072864900342e-009             -3.2970296231347e-009
   3.120139744963e-009             -3.2970296231347e-009
   3.167414589583e-009             -3.2970296231347e-009
   3.214689434204e-009             -3.2970296231347e-009
   3.261964278825e-009             -3.2970296231347e-009
   3.309239123445e-009             -3.2970296231347e-009
   3.356513968066e-009             -3.2970296231347e-009
   3.403788812686e-009             -3.2970296231347e-009
   3.451063657307e-009             -3.2970296231347e-009
   3.498338501928e-009             -3.2970296231347e-009
   3.545613346548e-009             -3.2970296231347e-009
   3.592888191169e-009             -3.2970296231347e-009
   3.640163035790e-009             -3.2970296231347e-009
   3.687437880410e-009             -3.2970296231347e-009
   3.734712725031e-009             -3.2970296231347e-009
   3.781987569652e-009             -3.2970296231347e-009
   3.829262414272e-009             -3.2970296231347e-009
   3.876537258893e-009             -3.2970296231347e-009
   3.923812103514e-009             -3.2970296231347e-009
   3.971086948134e-009             -3.2970296231347e-009
   4.018361792755e-009             -3.2970296231347e-009
   4.065636637376e-009             -3.2970296231347e-009
   4.112911481996e-009             -3.2970296231347e-009
   4.160186326617e-009             -3.2970296231347e-009
   4.207461171237e-009             -3.2970296231347e-009
   4.254736015858e-009             -3.2970296231347e-009
   4.302010860479e-009             -3.2970296231347e-009
   4.349285705099e-009             -3.2970296231347e-009
   4.396560549720e-009             -3.2970296231347e-009
   4.443835394341e-009             -3.2970296231347e-009
   4.491110238961e-009             -3.2970296231347e-009
   4.538385083582e-009             -3.2970296231347e-009
   4.585659928203e-009             -3.2970296231347e-009
   4.632934772823e-009             -3.2970296231347e-009
   4.680209617444e-009             -3.2970296231347e-009
