# Atom Manipulation               
# 
# Sample                          Ag(111)
# Data set                        -
# Creation Comment                
# Gap voltage                     -1.000e-004 V
# Gap voltage range in Volt       -1;1
# Feedback loop enabled           No
# Regulator setpoint              9.901e-012 A
# Pre-amplifier range             0;3.29703e-009
# Loop gain                       7.000e+000 %
# Z-axis offset                   -7.000e-010 m
# Parameter mode                  V before Z
# Raster time                     1.000e-002 seconds
# Channel name and data unit      I(r) [A]
# Manipulation vector: start      -3.618e+000, -8.885e+000 [nm]
#                      end        -4.382e+000, -6.996e+000 [nm]
# 
# 
#             Position                               I(r)
# --------------------             ----------------------
   0.000000000000e+000             -3.19969039159184e-009
   2.038189073761e-011             -3.27142486346202e-009
   4.076378147522e-011             -3.29702962313475e-009
   6.114567221283e-011             -3.27328694324875e-009
   8.152756295044e-011             -3.27433039236563e-009
   1.019094536881e-010             -3.29702962313475e-009
   1.222913444257e-010             -3.29702962313475e-009
   1.426732351633e-010             -3.29147135078221e-009
   1.630551259009e-010             -3.29702962313475e-009
   1.834370166385e-010             -3.29702962313475e-009
   2.038189073761e-010             -3.29702962313475e-009
   2.242007981137e-010             -3.29702962313475e-009
   2.445826888513e-010             -3.29702962313475e-009
   2.649645795889e-010             -3.29702962313475e-009
   2.853464703265e-010             -3.29702962313475e-009
   3.057283610642e-010             -3.29702962313475e-009
   3.261102518018e-010             -3.29702962313475e-009
   3.464921425394e-010             -3.29702962313475e-009
   3.668740332770e-010             -3.29702962313475e-009
   3.872559240146e-010             -3.29702962313475e-009
   4.076378147522e-010             -3.29702962313475e-009
   4.280197054898e-010             -3.29702962313475e-009
   4.484015962274e-010             -3.29702962313475e-009
   4.687834869650e-010             -3.29702962313475e-009
   4.891653777026e-010             -3.29702962313475e-009
   5.095472684403e-010             -3.29702962313475e-009
   5.299291591779e-010             -3.29702962313475e-009
   5.503110499155e-010             -3.29702962313475e-009
   5.706929406531e-010             -3.29702962313475e-009
   5.910748313907e-010             -3.29702962313475e-009
   6.114567221283e-010             -3.29702962313475e-009
   6.318386128659e-010             -3.29702962313475e-009
   6.522205036035e-010             -3.29702962313475e-009
   6.726023943411e-010             -3.29702962313475e-009
   6.929842850787e-010             -3.29702962313475e-009
   7.133661758164e-010             -3.29702962313475e-009
   7.337480665540e-010             -3.29702962313475e-009
   7.541299572916e-010             -3.29702962313475e-009
   7.745118480292e-010             -3.29702962313475e-009
   7.948937387668e-010             -3.29702962313475e-009
   8.152756295044e-010             -3.29702962313475e-009
   8.356575202420e-010             -3.29702962313475e-009
   8.560394109796e-010             -3.29702962313475e-009
   8.764213017172e-010             -3.29702962313475e-009
   8.968031924548e-010             -3.29702962313475e-009
   9.171850831925e-010             -3.29702962313475e-009
   9.375669739301e-010             -3.29702962313475e-009
   9.579488646677e-010             -3.29702962313475e-009
   9.783307554053e-010             -3.29702962313475e-009
   9.987126461429e-010             -3.29702962313475e-009
   1.019094536881e-009             -3.29702962313475e-009
   1.039476427618e-009             -3.29702962313475e-009
   1.059858318356e-009             -3.29702962313475e-009
   1.080240209093e-009             -3.29702962313475e-009
   1.100622099831e-009             -3.29702962313475e-009
   1.121003990569e-009             -3.29702962313475e-009
   1.141385881306e-009             -3.29702962313475e-009
   1.161767772044e-009             -3.29702962313475e-009
   1.182149662781e-009             -3.29702962313475e-009
   1.202531553519e-009             -3.29702962313475e-009
   1.222913444257e-009             -3.29702962313475e-009
   1.243295334994e-009             -3.29702962313475e-009
   1.263677225732e-009             -3.29702962313475e-009
   1.284059116469e-009             -3.29702962313475e-009
   1.304441007207e-009             -3.29702962313475e-009
   1.324822897945e-009             -3.29702962313475e-009
   1.345204788682e-009             -3.29702962313475e-009
   1.365586679420e-009             -3.29702962313475e-009
   1.385968570157e-009             -3.29702962313475e-009
   1.406350460895e-009             -3.29702962313475e-009
   1.426732351633e-009             -3.29702962313475e-009
   1.447114242370e-009             -3.29702962313475e-009
   1.467496133108e-009             -3.29702962313475e-009
   1.487878023846e-009             -3.29702962313475e-009
   1.508259914583e-009             -3.29702962313475e-009
   1.528641805321e-009             -3.29702962313475e-009
   1.549023696058e-009             -3.29702962313475e-009
   1.569405586796e-009             -3.29702962313475e-009
   1.589787477534e-009             -3.29702962313475e-009
   1.610169368271e-009             -3.29702962313475e-009
   1.630551259009e-009             -3.29702962313475e-009
   1.650933149746e-009             -3.29702962313475e-009
   1.671315040484e-009             -3.29702962313475e-009
   1.691696931222e-009             -3.29702962313475e-009
   1.712078821959e-009             -3.29702962313475e-009
   1.732460712697e-009             -3.29702962313475e-009
   1.752842603434e-009             -3.29702962313475e-009
   1.773224494172e-009             -3.29702962313475e-009
   1.793606384910e-009             -3.29702962313475e-009
   1.813988275647e-009             -3.29702962313475e-009
   1.834370166385e-009             -3.29702962313475e-009
   1.854752057123e-009             -3.29702962313475e-009
   1.875133947860e-009             -3.29702962313475e-009
   1.895515838598e-009             -3.29702962313475e-009
   1.915897729335e-009             -3.29702962313475e-009
   1.936279620073e-009             -3.29702962313475e-009
   1.956661510811e-009             -3.29702962313475e-009
   1.977043401548e-009             -3.29702962313475e-009
   1.997425292286e-009             -3.29702962313475e-009
   2.017807183023e-009             -3.29702962313475e-009
