# Atom Manipulation               
# 
# Sample                          Ag(111)
# Data set                        -
# Creation Comment                
# Gap voltage                     -1.000e-004 V
# Gap voltage range in Volt       -1;1
# Feedback loop enabled           No
# Regulator setpoint              1.000e-009 A
# Pre-amplifier range             0;3.33e-007
# Loop gain                       7.000e+000 %
# Z-axis offset                   -6.000e-010 m
# Parameter mode                  V before Z
# Raster time                     1.000e-002 seconds
# Channel name and data unit      I(r) [A]
# Manipulation vector: start      -8.958e+000, 6.790e-001 [nm]
#                      end        3.317e+000, 6.790e-001 [nm]
# 
# 
#            Position                             I(r)
# -------------------             --------------------
   0.00000000000e+000             -1.820595822543e-008
   1.22742804414e-010             -1.872801066849e-008
   2.45485608828e-010             -2.181735846423e-008
   3.68228413242e-010             -2.314209338027e-008
   4.90971217656e-010             -2.323326257191e-008
   6.13714022070e-010             -2.343751616555e-008
   7.36456826484e-010             -2.324976879778e-008
   8.59199630898e-010             -2.332793034471e-008
   9.81942435312e-010             -2.358906790305e-008
   1.10468523973e-009             -2.363495479849e-008
   1.22742804414e-009             -2.336314255144e-008
   1.35017084855e-009             -2.316552978027e-008
   1.47291365297e-009             -2.236688877173e-008
   1.59565645738e-009             -2.223825613671e-008
   1.71839926180e-009             -2.227703592861e-008
   1.84114206621e-009             -2.163147296438e-008
   1.96388487062e-009             -2.065657600521e-008
   2.08662767504e-009             -2.055095969855e-008
   2.20937047945e-009             -2.060901673154e-008
   2.33211328387e-009             -2.116752097257e-008
   2.45485608828e-009             -2.108062367225e-008
   2.57759889269e-009             -2.301727426383e-008
   2.70034169711e-009             -2.335329001845e-008
   2.82308450152e-009             -2.336220766332e-008
   2.94582730594e-009             -2.326135511483e-008
   3.06857011035e-009             -2.341916605933e-008
   3.19131291476e-009             -2.333067313805e-008
   3.31405571918e-009             -2.419172013832e-008
   3.43679852359e-009             -2.426770720588e-008
   3.55954132801e-009             -2.430451239746e-008
   3.68228413242e-009             -2.435486579107e-008
   3.80502693683e-009             -2.428227976864e-008
   3.92776974125e-009             -2.418228504086e-008
   4.05051254566e-009             -2.410517607654e-008
   4.17325535008e-009             -2.421598365613e-008
   4.29599815449e-009             -2.418191629580e-008
   4.41874095890e-009             -2.405285335484e-008
   4.54148376332e-009             -2.426384251578e-008
   4.66422656773e-009             -2.409641210129e-008
   4.78696937215e-009             -2.417730372622e-008
   4.90971217656e-009             -2.425562917707e-008
   5.03245498097e-009             -2.430590317729e-008
   5.15519778539e-009             -2.425516816821e-008
   5.27794058980e-009             -2.435248135341e-008
   5.40068339422e-009             -2.431917722402e-008
   5.52342619863e-009             -2.441106095613e-008
   5.64616900304e-009             -2.441975065515e-008
   5.76891180746e-009             -2.442490874413e-008
   5.89165461187e-009             -2.441769418040e-008
   6.01439741629e-009             -2.432772348773e-008
   6.13714022070e-009             -2.397138287150e-008
   6.25988302511e-009             -2.392718137977e-008
   6.38262582953e-009             -2.359632852114e-008
   6.50536863394e-009             -2.334192653011e-008
   6.62811143836e-009             -2.345128456016e-008
   6.75085424277e-009             -2.335929584890e-008
   6.87359704718e-009             -2.332010870071e-008
   6.99633985160e-009             -2.263847043682e-008
   7.11908265601e-009             -2.232151917381e-008
   7.24182546043e-009             -2.125117089736e-008
   7.36456826484e-009             -2.046750189955e-008
   7.48731106925e-009             -1.994951387058e-008
   7.61005387367e-009             -2.046914357487e-008
   7.73279667808e-009             -2.050501915055e-008
   7.85553948250e-009             -2.042713935710e-008
   7.97828228691e-009             -2.051420304238e-008
   8.10102509132e-009             -2.085313603870e-008
   8.22376789574e-009             -2.061970925274e-008
   8.34651070015e-009             -2.056219510304e-008
   8.46925350457e-009             -2.044741537316e-008
   8.59199630898e-009             -2.084660267643e-008
   8.71473911339e-009             -2.068868923382e-008
   8.83748191781e-009             -2.064560421157e-008
   8.96022472222e-009             -2.026664687001e-008
   9.08296752664e-009             -2.017695793081e-008
   9.20571033105e-009             -2.048413357317e-008
   9.32845313546e-009             -2.093487788615e-008
   9.45119593988e-009             -2.082113538743e-008
   9.57393874429e-009             -1.873988137512e-008
   9.69668154871e-009             -1.899329994263e-008
   9.81942435312e-009             -1.920190730202e-008
   9.94216715753e-009             -1.954331420862e-008
   1.00649099619e-008             -1.962265890307e-008
   1.01876527664e-008             -1.911519685528e-008
   1.03103955708e-008             -1.896823969979e-008
   1.04331383752e-008             -1.931878196282e-008
   1.05558811796e-008             -1.934435438602e-008
   1.06786239840e-008             -1.952015444494e-008
   1.08013667884e-008             -1.977499434012e-008
   1.09241095928e-008             -1.931909193816e-008
   1.10468523973e-008             -1.914337638977e-008
   1.11695952017e-008             -1.945019352138e-008
   1.12923380061e-008             -1.969361612058e-008
   1.14150808105e-008             -1.982894090465e-008
   1.15378236149e-008             -1.967876707656e-008
   1.16605664193e-008             -1.953975685776e-008
   1.17833092237e-008             -1.950918528741e-008
   1.19060520282e-008             -1.956873296221e-008
   1.20287948326e-008             -1.964396966925e-008
   1.21515376370e-008             -1.921761432182e-008
