# Atom Manipulation               
# 
# Sample                          Ag(111)
# Data set                        -
# Creation Comment                
# Gap voltage                     -1.000e-004 V
# Gap voltage range in Volt       -1;1
# Feedback loop enabled           No
# Regulator setpoint              9.901e-012 A
# Pre-amplifier range             0;3.29703e-009
# Loop gain                       7.000e+000 %
# Z-axis offset                   -2.000e-011 m
# Parameter mode                  V before Z
# Raster time                     1.000e-002 seconds
# Channel name and data unit      I(r) [A]
# Manipulation vector: start      -9.307e+000, -7.739e+000 [nm]
#                      end        -6.895e+000, -9.167e+000 [nm]
# 
# 
#             Position                                 I(r)
# --------------------             ------------------------
   0.000000000000e+000              1.4861848417160405e-013
   2.802897472316e-012              3.2506886967752121e-014
   5.605794944632e-012              6.7474858326441117e-014
   8.408692416949e-012             -4.0140393887114678e-014
   1.121158988926e-011              1.9727057603960089e-014
   1.401448736158e-011             -9.8381963675131336e-015
   1.681738483390e-011              3.6487917426703674e-014
   1.962028230621e-011             -1.4826229479000872e-013
   2.242317977853e-011             -2.6522291237326681e-014
   2.522607725085e-011             -5.2260044655708418e-014
   2.802897472316e-011              1.4528534991538199e-014
   3.083187219548e-011             -1.8840268867712340e-013
   3.363476966779e-011              1.6380105656210614e-014
   3.643766714011e-011             -6.4381230723360767e-014
   3.924056461243e-011             -5.8143310648266204e-014
   4.204346208474e-011             -1.2074973565988459e-013
   4.484635955706e-011             -5.5430437211718819e-014
   4.764925702938e-011             -1.3279415677460690e-013
   5.045215450169e-011             -7.9012630751825201e-014
   5.325505197401e-011             -1.2156190886188433e-013
   5.605794944632e-011             -9.1918354638422487e-014
   5.886084691864e-011             -1.7448213211279105e-013
   6.166374439096e-011             -5.7914551088534715e-014
   6.446664186327e-011             -6.8463590920179958e-014
   6.726953933559e-011             -1.7240333718744575e-013
   7.007243680790e-011             -9.0017654403874857e-014
   7.287533428022e-011             -1.1965967332827811e-013
   7.567823175254e-011             -1.9872296894903714e-013
   7.848112922485e-011             -5.2666898906237603e-014
   8.128402669717e-011             -2.3369094030772613e-013
   8.408692416949e-011             -4.8127019589955402e-014
   8.688982164180e-011             -1.3454439770141166e-013
   8.969271911412e-011             -1.3454439770141166e-013
   9.249561658643e-011             -1.6051091067952490e-013
   9.529851405875e-011             -1.1803686222333719e-013
   9.810141153107e-011             -1.2392012821589499e-013
   1.009043090034e-010             -1.8781927503485512e-013
   1.037072064757e-010             -2.5821120157263751e-013
   1.065101039480e-010             -8.9509470415478028e-014
   1.093130014203e-010             -2.5078188942806884e-013
   1.121158988926e-010             -1.7901587023283886e-014
   1.149187963650e-010             -1.9877363381797095e-013
   1.177216938373e-010             -1.7245400205637956e-013
   1.205245913096e-010             -1.1674414041599541e-013
   1.233274887819e-010             -1.0373555149247189e-013
   1.261303862542e-010             -2.3653124356613741e-013
   1.289332837265e-010             -1.9159764601807140e-013
   1.317361811989e-010             -1.7174315859224747e-013
   1.345390786712e-010             -2.1586458293831367e-013
   1.373419761435e-010             -1.5401813096070266e-013
   1.401448736158e-010             -1.6682406040849087e-013
   1.429477710881e-010             -1.4258322357224482e-013
   1.457506685604e-010             -1.5746794794537836e-013
   1.485535660328e-010             -2.1715884004471406e-013
   1.513564635051e-010             -5.5278442604917350e-014
   1.541593609774e-010             -3.3704727293272369e-013
   1.569622584497e-010             -1.6007949164405811e-013
   1.597651559220e-010             -1.7881781665427937e-013
   1.625680533943e-010             -2.0957599799428529e-013
   1.653709508667e-010             -2.3432501881892819e-013
   1.681738483390e-010             -1.5898942931245163e-013
   1.709767458113e-010             -1.6722937935996145e-013
   1.737796432836e-010             -2.1733539943645312e-013
   1.765825407559e-010             -2.0562106761932995e-013
   1.793854382282e-010             -1.3943893110023063e-013
   1.821883357006e-010             -2.0262876975411725e-013
   1.849912331729e-010             -2.3110549669304257e-013
   1.877941306452e-010             -1.3738470095982292e-013
   1.905970281175e-010             -2.0232478054051430e-013
   1.933999255898e-010             -2.0947466825641769e-013
   1.962028230621e-010             -1.7524210514679839e-013
   1.990057205344e-010             -2.6404380269626147e-013
   2.018086180068e-010             -1.3740926574476052e-013
