# Atom Manipulation               
# 
# Sample                          Ag(111)
# Data set                        -
# Creation Comment                
# Gap voltage                     -1.000e-004 V
# Gap voltage range in Volt       -1;1
# Feedback loop enabled           No
# Regulator setpoint              1.000e-009 A
# Pre-amplifier range             0;3.33e-007
# Loop gain                       7.000e+000 %
# Z-axis offset                   -8.000e-010 m
# Parameter mode                  V before Z
# Raster time                     1.000e-002 seconds
# Channel name and data unit      I(r) [A]
# Manipulation vector: start      -4.980e+000, -7.140e+000 [nm]
#                      end        -7.140e+000, -6.600e+000 [nm]
# 
# 
#             Position                             I(r)
# --------------------             --------------------
   0.000000000000e+000             -1.974276326195e-008
   1.113238518917e-011             -1.974532679992e-008
   2.226477037834e-011             -1.962033602630e-008
   3.339715556750e-011             -1.992880243142e-008
   4.452954075667e-011             -1.991397881809e-008
   5.566192594584e-011             -1.988839631565e-008
   6.679431113501e-011             -1.975540464265e-008
   7.792669632417e-011             -2.000690505358e-008
   8.905908151334e-011             -1.992265843787e-008
   1.001914667025e-010             -1.982550900154e-008
   1.113238518917e-010             -1.984622044070e-008
   1.224562370808e-010             -2.009012978958e-008
   1.335886222700e-010             -1.993232892431e-008
   1.447210074592e-010             -1.983050318659e-008
   1.558533926483e-010             -1.990211601979e-008
   1.669857778375e-010             -2.011417311479e-008
   1.781181630267e-010             -1.987824419668e-008
   1.892505482159e-010             -1.990187520352e-008
   2.003829334050e-010             -1.999549535580e-008
   2.115153185942e-010             -2.007231744949e-008
   2.226477037834e-010             -1.986534153111e-008
   2.337800889725e-010             -2.004202251547e-008
   2.449124741617e-010             -2.018468979206e-008
   2.560448593509e-010             -2.013434926887e-008
   2.671772445400e-010             -1.991290064972e-008
   2.783096297292e-010             -2.013009784614e-008
   2.894420149184e-010             -2.015904061158e-008
   3.005744001075e-010             -2.010809316318e-008
   3.117067852967e-010             -1.997511172448e-008
   3.228391704859e-010             -2.020200266712e-008
   3.339715556750e-010             -2.015491727271e-008
   3.451039408642e-010             -2.002819519608e-008
   3.562363260534e-010             -2.000274325854e-008
   3.673687112425e-010             -2.022253748701e-008
   3.785010964317e-010             -2.003733318861e-008
   3.896334816209e-010             -2.001070570175e-008
   4.007658668100e-010             -2.002659461303e-008
   4.118982519992e-010             -2.022923211711e-008
   4.230306371884e-010             -1.997139046969e-008
   4.341630223775e-010             -2.000702538417e-008
   4.452954075667e-010             -2.010102715192e-008
   4.564277927559e-010             -2.017974956969e-008
   4.675601779450e-010             -1.992947339856e-008
   4.786925631342e-010             -2.008765060708e-008
   4.898249483234e-010             -2.020549861217e-008
   5.009573335125e-010             -2.021784816015e-008
   5.120897187017e-010             -2.000488936098e-008
   5.232221038909e-010             -2.023221324567e-008
   5.343544890800e-010             -2.027846625006e-008
   5.454868742692e-010             -2.020388515871e-008
   5.566192594584e-010             -2.005871047776e-008
   5.677516446476e-010             -2.029819426569e-008
   5.788840298367e-010             -2.021392966242e-008
   5.900164150259e-010             -2.015063514708e-008
   6.011488002151e-010             -2.011293615966e-008
   6.122811854042e-010             -2.032047294888e-008
   6.234135705934e-010             -2.016811456217e-008
   6.345459557826e-010             -2.006887794818e-008
   6.456783409717e-010             -2.014935725473e-008
   6.568107261609e-010             -2.030158755757e-008
   6.679431113501e-010             -2.007501946068e-008
   6.790754965392e-010             -2.005318627983e-008
   6.902078817284e-010             -2.015892028098e-008
   7.013402669176e-010             -2.027173316380e-008
   7.124726521067e-010             -2.001596349765e-008
   7.236050372959e-010             -2.012114438121e-008
   7.347374224851e-010             -2.027483710400e-008
   7.458698076742e-010             -2.024243188761e-008
   7.570021928634e-010             -2.006186310844e-008
   7.681345780526e-010             -2.032336708586e-008
   7.792669632417e-010             -2.033354990774e-008
   7.903993484309e-010             -2.026936407759e-008
   8.015317336201e-010             -2.015749120005e-008
   8.126641188092e-010             -2.037474995736e-008
   8.237965039984e-010             -2.032154863620e-008
   8.349288891876e-010             -2.020906867838e-008
   8.460612743767e-010             -2.018125029075e-008
   8.571936595659e-010             -2.042959279877e-008
   8.683260447551e-010             -2.026254399975e-008
   8.794584299442e-010             -2.019615577850e-008
   8.905908151334e-010             -2.021886228659e-008
   9.017232003226e-010             -2.037925491169e-008
   9.128555855117e-010             -2.014439640869e-008
   9.239879707009e-010             -2.014683449891e-008
   9.351203558901e-010             -2.031015956210e-008
   9.462527410793e-010             -2.033682038797e-008
   9.573851262684e-010             -2.017054505420e-008
   9.685175114576e-010             -2.020510924344e-008
   9.796498966468e-010             -2.033262013677e-008
   9.907822818359e-010             -2.029139450139e-008
   1.001914667025e-009             -2.013135542496e-008
   1.013047052214e-009             -2.035937570748e-008
   1.024179437403e-009             -2.038545519391e-008
   1.035311822593e-009             -2.038691761386e-008
   1.046444207782e-009             -2.029544620013e-008
   1.057576592971e-009             -2.051349873622e-008
   1.068708978160e-009             -2.047599187458e-008
   1.079841363349e-009             -2.038658980601e-008
   1.090973748538e-009             -2.106127990820e-008
   1.102106133728e-009             -2.207654964413e-008
   1.113238518917e-009             -2.201473290018e-008
   1.124370904106e-009             -2.201995503109e-008
   1.135503289295e-009             -2.202500798586e-008
   1.146635674484e-009             -2.213436849695e-008
   1.157768059673e-009             -2.202552791949e-008
   1.168900444863e-009             -2.209147311945e-008
   1.180032830052e-009             -2.210072880646e-008
   1.191165215241e-009             -2.216410783234e-008
   1.202297600430e-009             -2.198404363535e-008
   1.213429985619e-009             -2.206709159702e-008
   1.224562370808e-009             -2.207524864706e-008
   1.235694755998e-009             -2.207910046675e-008
   1.246827141187e-009             -2.194273845152e-008
   1.257959526376e-009             -2.208647381724e-008
   1.269091911565e-009             -2.200000418676e-008
   1.280224296754e-009             -2.202650622587e-008
   1.291356681943e-009             -2.194332754423e-008
   1.302489067133e-009             -2.208480919227e-008
   1.313621452322e-009             -2.204059467506e-008
   1.324753837511e-009             -2.211014328025e-008
   1.335886222700e-009             -2.208478360651e-008
   1.347018607889e-009             -2.222320209648e-008
   1.358150993078e-009             -2.209061250756e-008
   1.369283378268e-009             -2.213199181256e-008
   1.380415763457e-009             -2.215082339624e-008
   1.391548148646e-009             -2.224591108561e-008
   1.402680533835e-009             -2.211216657104e-008
   1.413812919024e-009             -2.217097908170e-008
   1.424945304213e-009             -2.215468296919e-008
   1.436077689403e-009             -2.227154755075e-008
   1.447210074592e-009             -2.208872241778e-008
   1.458342459781e-009             -2.220201429701e-008
   1.469474844970e-009             -2.217385523112e-008
   1.480607230159e-009             -2.216507326831e-008
   1.491739615348e-009             -2.203595155763e-008
   1.502872000538e-009             -2.219750670657e-008
   1.514004385727e-009             -2.212665974042e-008
   1.525136770916e-009             -2.213924746856e-008
   1.536269156105e-009             -2.202904169703e-008
   1.547401541294e-009             -2.219720200344e-008
   1.558533926483e-009             -2.213906045992e-008
   1.569666311673e-009             -2.213480392005e-008
   1.580798696862e-009             -2.211689683512e-008
   1.591931082051e-009             -2.223620214300e-008
   1.603063467240e-009             -2.214163950441e-008
   1.614195852429e-009             -2.228461163919e-008
   1.625328237618e-009             -2.224187737444e-008
   1.636460622808e-009             -2.238315929849e-008
   1.647593007997e-009             -2.220443191862e-008
   1.658725393186e-009             -2.227385243995e-008
   1.669857778375e-009             -2.224822636419e-008
   1.680990163564e-009             -2.233062646343e-008
   1.692122548753e-009             -2.221020716711e-008
   1.703254933943e-009             -2.229049434787e-008
   1.714387319132e-009             -2.227781962815e-008
   1.725519704321e-009             -2.229997286359e-008
   1.736652089510e-009             -2.213743165501e-008
   1.747784474699e-009             -2.233203755679e-008
   1.758916859888e-009             -2.224641814883e-008
   1.770049245078e-009             -2.225815565445e-008
   1.781181630267e-009             -2.215907007397e-008
   1.792314015456e-009             -2.232288684892e-008
   1.803446400645e-009             -2.220102312022e-008
   1.814578785834e-009             -2.222021321466e-008
   1.825711171023e-009             -2.216164400130e-008
   1.836843556213e-009             -2.236113647289e-008
   1.847975941402e-009             -2.220842980973e-008
   1.859108326591e-009             -2.225010110251e-008
   1.870240711780e-009             -2.222655708726e-008
   1.881373096969e-009             -2.239960644451e-008
   1.892505482159e-009             -2.224859510924e-008
   1.903637867348e-009             -2.232762223015e-008
   1.914770252537e-009             -2.233401479322e-008
   1.925902637726e-009             -2.245093302734e-008
   1.937035022915e-009             -2.223455023337e-008
   1.948167408104e-009             -2.237908449503e-008
   1.959299793294e-009             -2.232298671091e-008
   1.970432178483e-009             -2.240982012436e-008
   1.981564563672e-009             -2.223061886523e-008
   1.992696948861e-009             -2.237490486750e-008
   2.003829334050e-009             -2.233958768162e-008
   2.014961719239e-009             -2.232786041030e-008
   2.026094104429e-009             -2.221866380313e-008
   2.037226489618e-009             -2.240208562701e-008
   2.048358874807e-009             -2.227400610957e-008
   2.059491259996e-009             -2.229943246135e-008
   2.070623645185e-009             -2.225376854968e-008
   2.081756030374e-009             -2.244851276962e-008
   2.092888415564e-009             -2.223006063050e-008
   2.104020800753e-009             -2.230263641861e-008
   2.115153185942e-009             -2.227312766518e-008
   2.126285571131e-009             -2.244602862504e-008
   2.137417956320e-009             -2.220916993596e-008
   2.148550341509e-009             -2.233834033711e-008
   2.159682726699e-009             -2.234862829320e-008
   2.170815111888e-009             -2.242135263378e-008
   2.181947497077e-009             -2.221577757447e-008
   2.193079882266e-009             -2.239514506350e-008
   2.204212267455e-009             -2.234404130937e-008
   2.215344652644e-009             -2.243435516135e-008
