# Atom Manipulation               
# 
# Sample                          Ag(111)
# Data set                        -
# Creation Comment                
# Gap voltage                     -2.600e+000 V
# Gap voltage range in Volt       -10;10
# Feedback loop enabled           No
# Regulator setpoint              9.901e-012 A
# Pre-amplifier range             0;3.29703e-009
# Loop gain                       7.000e+000 %
# Z-axis offset                   -2.000e-011 m
# Parameter mode                  Z before V
# Raster time                     1.000e-002 seconds
# Channel name and data unit      I(r) [A]
# Manipulation vector: start      -1.134e+001, -1.673e+001 [nm]
#                      end        -1.060e+001, -1.668e+001 [nm]
# 
# 
#              Position                              I(r)
# ---------------------             ---------------------
   0.0000000000000e+000             -1.2777945382964e-009
   7.3992089178814e-013             -1.3694997550430e-009
   1.4798417835763e-012             -1.4133178549600e-009
   2.2197626753644e-012             -1.3259204693593e-009
   2.9596835671526e-012             -1.2984803563859e-009
   3.6996044589407e-012             -1.4114328255229e-009
   4.4395253507288e-012             -1.3725949056628e-009
   5.1794462425170e-012             -1.2985035839254e-009
   5.9193671343051e-012             -1.3215164072037e-009
   6.6592880260932e-012             -1.3953458898279e-009
   7.3992089178814e-012             -1.3525962920378e-009
   8.1391298096695e-012             -1.3028104785389e-009
   8.8790507014577e-012             -1.3597266599615e-009
   9.6189715932458e-012             -1.3748073975007e-009
   1.0358892485034e-011             -1.3144270916415e-009
   1.1098813376822e-011             -1.3565036849480e-009
   1.1838734268610e-011             -1.4068803966721e-009
   1.2578655160398e-011             -1.3829860307745e-009
   1.3318576052186e-011             -1.2909363865723e-009
   1.4058496943975e-011             -1.3687972589999e-009
   1.4798417835763e-011             -1.4022520749183e-009
   1.5538338727551e-011             -1.3268111408669e-009
   1.6278259619339e-011             -1.2869989724243e-009
   1.7018180511127e-011             -1.3921406644068e-009
   1.7758101402915e-011             -1.3826927502718e-009
   1.8498022294703e-011             -1.3001902174122e-009
   1.9237943186492e-011             -1.2936867550825e-009
   1.9977864078280e-011             -1.4205090790677e-009
   2.0717784970068e-011             -1.3638968791823e-009
   2.1457705861856e-011             -1.2922591956353e-009
   2.2197626753644e-011             -1.3317242513843e-009
   2.2937547645432e-011             -1.4235035109987e-009
   2.3677468537220e-011             -1.3218344367272e-009
   2.4417389429009e-011             -1.3026263593346e-009
   2.5157310320797e-011             -1.3598674177145e-009
   2.5897231212585e-011             -1.4182960299162e-009
   2.6637152104373e-011             -1.3046658889865e-009
   2.7377072996161e-011             -1.3212036253324e-009
   2.8116993887949e-011             -1.3879838590939e-009
   2.8856914779737e-011             -1.3806522057872e-009
   2.9596835671525e-011             -1.2895787369678e-009
   3.0336756563314e-011             -1.3591624114574e-009
   3.1076677455102e-011             -1.3749851513552e-009
   3.1816598346890e-011             -1.3490797555620e-009
   3.2556519238678e-011             -1.3062907527863e-009
   3.3296440130466e-011             -1.3999759111578e-009
   3.4036361022254e-011             -1.3506858810367e-009
   3.4776281914042e-011             -1.3073955923713e-009
