# Atom Manipulation               
# 
# Sample                          Ag(111)
# Data set                        -
# Creation Comment                
# Gap voltage                     -2.600e+000 V
# Gap voltage range in Volt       -10;10
# Feedback loop enabled           No
# Regulator setpoint              9.901e-012 A
# Pre-amplifier range             0;3.29703e-009
# Loop gain                       7.000e+000 %
# Z-axis offset                   -2.000e-011 m
# Parameter mode                  Z before V
# Raster time                     1.000e-002 seconds
# Channel name and data unit      I(r) [A]
# Manipulation vector: start      6.517e-001, 1.091e+001 [nm]
#                      end        9.993e-001, 1.164e+001 [nm]
# 
# 
#              Position                              I(r)
# ---------------------             ---------------------
   0.0000000000000e+000             -8.7710147513069e-010
   8.1634482427487e-013             -8.8972504789749e-010
   1.6326896485497e-012             -9.4400116590611e-010
   2.4490344728246e-012             -8.6194185239051e-010
   3.2653792970995e-012             -8.8442060193242e-010
   4.0817241213744e-012             -9.3094418742685e-010
   4.8980689456492e-012             -9.2827704133747e-010
   5.7144137699241e-012             -8.5242674128630e-010
   6.5307585941990e-012             -8.9609992432511e-010
   7.3471034184738e-012             -9.2974694740326e-010
   8.1634482427487e-012             -9.1538422471005e-010
   8.9797930670236e-012             -8.4990552537243e-010
   9.7961378912985e-012             -9.2928681520480e-010
   1.0612482715573e-011             -9.2376320529912e-010
   1.1428827539848e-011             -8.8500795054617e-010
   1.2245172364123e-011             -8.6067868355475e-010
   1.3061517188398e-011             -9.4320819468943e-010
   1.3877862012673e-011             -9.0957780657658e-010
   1.4694206836948e-011             -8.7775404171315e-010
   1.5510551661223e-011             -8.8598159115017e-010
   1.6326896485497e-011             -9.5362554117373e-010
   1.7143241309772e-011             -8.8903109732890e-010
   1.7959586134047e-011             -8.6809936578331e-010
   1.8775930958322e-011             -9.0897443251125e-010
   1.9592275782597e-011             -9.4666671374917e-010
   2.0408620606872e-011             -8.6963033222797e-010
   2.1224965431147e-011             -8.8546858939333e-010
   2.2041310255422e-011             -9.3209081324638e-010
   2.2857655079696e-011             -9.3949443062590e-010
   2.3673999903971e-011             -8.6469609906609e-010
   2.4490344728246e-011             -9.1755728546230e-010
   2.5306689552521e-011             -9.6284698948581e-010
   2.6123034376796e-011             -9.1304220890231e-010
   2.6939379201071e-011             -8.4921474519639e-010
   2.7755724025346e-011             -9.2495882251160e-010
   2.8572068849621e-011             -9.3120361612058e-010
   2.9388413673895e-011             -8.8409539488583e-010
   3.0204758498170e-011             -8.7506719313095e-010
   3.1021103322445e-011             -9.5409505404944e-010
   3.1837448146720e-011             -9.2197329224464e-010
   3.2653792970995e-011             -8.7091662573815e-010
   3.3470137795270e-011             -8.9117611430854e-010
   3.4286482619545e-011             -9.5420279673147e-010
   3.5102827443819e-011             -8.8158166048427e-010
   3.5919172268094e-011             -8.7052751954474e-010
   3.6735517092369e-011             -9.1252454137163e-010
   3.7551861916644e-011             -9.4293413459568e-010
   3.8368206740919e-011             -8.7021085950801e-010
   3.9184551565194e-011             -8.7203470113638e-010
   4.0000896389469e-011             -9.2861119764227e-010
   4.0817241213744e-011             -9.2183765624930e-010
   4.1633586038018e-011             -8.5349237700988e-010
   4.2449930862293e-011             -9.0897562390332e-010
   4.3266275686568e-011             -9.4033101508293e-010
   4.4082620510843e-011             -8.9601094606817e-010
   4.4898965335118e-011             -8.5514214182509e-010
   4.5715310159393e-011             -9.2932753901233e-010
   4.6531654983668e-011             -9.3374397567841e-010
   4.7347999807943e-011             -8.7452031500038e-010
   4.8164344632217e-011             -8.6882625465791e-010
   4.8980689456492e-011             -9.4212990656631e-010
   4.9797034280767e-011             -9.1051285283283e-010
   5.0613379105042e-011             -8.5502739971465e-010
   5.1429723929317e-011             -9.0353741807836e-010
   5.2246068753592e-011             -9.5639576417131e-010
   5.3062413577867e-011             -8.9934224717731e-010
   5.3878758402141e-011             -8.6627197300821e-010
   5.4695103226416e-011             -9.2295923059409e-010
   5.5511448050691e-011             -9.4062477920480e-010
   5.6327792874966e-011             -8.6869987498060e-010
   5.7144137699241e-011             -8.8213885889512e-010
   5.7960482523516e-011             -9.4802357728058e-010
   5.8776827347791e-011             -9.1253848802828e-010
   5.9593172172066e-011             -8.5960130586397e-010
   6.0409516996340e-011             -8.9972268046634e-010
   6.1225861820615e-011             -9.5461145342310e-010
   6.2042206644890e-011             -8.9338584107290e-010
   6.2858551469165e-011             -8.6527244419150e-010
   6.3674896293440e-011             -9.2753120994309e-010
   6.4491241117715e-011             -9.4571929298250e-010
   6.5307585941990e-011             -8.6568766735719e-010
   6.6123930766264e-011             -8.8606308789480e-010
   6.6940275590539e-011             -9.4996857703417e-010
   6.7756620414814e-011             -9.1977494972279e-010
   6.8572965239089e-011             -8.5742352867301e-010
   6.9389310063364e-011             -9.2426456795379e-010
   7.0205654887639e-011             -9.6169463239490e-010
   7.1021999711914e-011             -8.9809381107132e-010
   7.1838344536189e-011             -8.5063751143990e-010
   7.2654689360463e-011             -9.3951636544355e-010
   7.3471034184738e-011             -9.3235021737532e-010
   7.4287379009013e-011             -8.8079449730394e-010
   7.5103723833288e-011             -8.7567282408589e-010
   7.5920068657563e-011             -9.6028416236156e-010
   7.6736413481838e-011             -9.1004995709607e-010
   7.7552758306113e-011             -8.6689073998190e-010
   7.8369103130388e-011             -9.0568456451780e-010
   7.9185447954662e-011             -9.5900517073370e-010
   8.0001792778937e-011             -8.8033038407502e-010
   8.0818137603212e-011             -8.6715907033957e-010
   8.1634482427487e-011             -9.2784175948957e-010
   8.2450827251762e-011             -9.4593984943936e-010
   8.3267172076037e-011             -8.6497147951704e-010
   8.4083516900312e-011             -8.9614353756547e-010
   8.4899861724586e-011             -9.3864007047637e-010
   8.5716206548861e-011             -9.2401728501092e-010
   8.6532551373136e-011             -8.5298036398563e-010
   8.7348896197411e-011             -9.2252273125404e-010
   8.8165241021686e-011             -9.5470144651271e-010
   8.8981585845961e-011             -8.9657805944033e-010
   8.9797930670236e-011             -8.6117953802544e-010
   9.0614275494511e-011             -9.4487761133260e-010
   9.1430620318785e-011             -9.3051164301718e-010
   9.2246965143060e-011             -8.7242426331361e-010
   9.3063309967335e-011             -8.7914277958832e-010
   9.3879654791610e-011             -9.5834195378166e-010
   9.4695999615885e-011             -9.0505852022657e-010
   9.5512344440160e-011             -8.6548701605263e-010
   9.6328689264435e-011             -9.0181553719577e-010
   9.7145034088710e-011             -9.7082971399374e-010
   9.7961378912984e-011             -8.8625882010118e-010
   9.8777723737259e-011             -8.8445802945287e-010
   9.9594068561534e-011             -9.2048695540831e-010
   1.0041041338581e-010             -9.4782102527578e-010
   1.0122675821008e-010             -8.6350420955972e-010
   1.0204310303436e-010             -8.8550814637357e-010
   1.0285944785863e-010             -9.3432668461841e-010
   1.0367579268291e-010             -9.1885341870415e-010
   1.0449213750718e-010             -8.4842834198909e-010
   1.0530848233146e-010             -9.1279165423714e-010
   1.0612482715573e-010             -9.2735647295133e-010
   1.0694117198001e-010             -8.9166956556717e-010
   1.0775751680428e-010             -8.5476028838443e-010
   1.0857386162856e-010             -9.4045742086032e-010
   1.0939020645283e-010             -9.2580702150601e-010
   1.1020655127711e-010             -8.7849071965455e-010
   1.1102289610138e-010             -8.7999899130852e-010
   1.1183924092566e-010             -9.5885500620338e-010
