# Atom Manipulation               
# 
# Sample                          Ag(111)
# Data set                        -
# Creation Comment                
# Gap voltage                     -1.000e-003 V
# Gap voltage range in Volt       -10;10
# Feedback loop enabled           No
# Regulator setpoint              1.000e-009 A
# Pre-amplifier range             0;3.33e-007
# Loop gain                       7.000e+000 %
# Z-axis offset                   -1.000e-010 m
# Parameter mode                  V before Z
# Raster time                     1.000e-003 seconds
# Channel name and data unit      I(r) [A]
# Manipulation vector: start      3.783e+000, 8.658e+000 [nm]
#                      end        -9.750e-001, -6.435e+000 [nm]
# 
# 
#            Position                             I(r)
# -------------------             --------------------
   0.00000000000e+000             -7.845389136132e-010
   1.58252081503e-011             -7.446040409992e-010
   3.16504163006e-011             -7.431484439207e-010
   4.74756244509e-011             -7.140641039557e-010
   6.33008326012e-011             -7.309483787933e-010
   7.91260407514e-011             -7.293870272450e-010
   9.49512489017e-011             -7.350768348090e-010
   1.10776457052e-010             -7.249673587744e-010
   1.26601665202e-010             -7.243587278451e-010
   1.42426873353e-010             -7.120792693328e-010
   1.58252081503e-010             -6.983970909768e-010
   1.74077289653e-010             -7.153872753493e-010
   1.89902497803e-010             -7.185895268961e-010
   2.05727705954e-010             -7.160224224286e-010
   2.21552914104e-010             -7.132171378064e-010
   2.37378122254e-010             -7.107559428740e-010
   2.53203330405e-010             -7.341241141900e-010
   2.69028538555e-010             -7.527550434958e-010
   2.84853746705e-010             -7.552956318132e-010
   3.00678954856e-010             -7.294399044798e-010
   3.16504163006e-010             -7.556662376529e-010
   3.32329371156e-010             -7.338065406503e-010
   3.48154579306e-010             -7.453714586984e-010
   3.63979787457e-010             -7.469858425468e-010
   3.79804995607e-010             -7.501350617935e-010
   3.95630203757e-010             -7.567512288917e-010
   4.11455411908e-010             -7.701421947929e-010
   4.27280620058e-010             -7.770230581960e-010
   4.43105828208e-010             -7.809927274419e-010
   4.58931036358e-010             -7.809662112918e-010
   4.74756244509e-010             -7.658285909225e-010
   4.90581452659e-010             -7.699305307882e-010
   5.06406660809e-010             -7.574392532060e-010
   5.22231868960e-010             -7.685014498597e-010
   5.38057077110e-010             -7.839566437687e-010
   5.53882285260e-010             -7.722064228008e-010
   5.69707493410e-010             -7.606943819876e-010
   5.85532701561e-010             -7.578627362806e-010
   6.01357909711e-010             -7.353678921987e-010
   6.17183117861e-010             -7.548723038037e-010
   6.33008326012e-010             -7.462713020825e-010
