# Atom Manipulation               
# 
# Sample                          Ag(111)
# Data set                        -
# Creation Comment                
# Gap voltage                     -1.000e-004 V
# Gap voltage range in Volt       -1;1
# Feedback loop enabled           No
# Regulator setpoint              9.901e-012 A
# Pre-amplifier range             0;3.29703e-009
# Loop gain                       7.000e+000 %
# Z-axis offset                   -4.000e-010 m
# Parameter mode                  V before Z
# Raster time                     1.000e-002 seconds
# Channel name and data unit      I(r) [A]
# Manipulation vector: start      1.769e+000, -2.895e+000 [nm]
#                      end        1.789e+000, -4.624e+000 [nm]
# 
# 
#             Position                               I(r)
# --------------------             ----------------------
   0.000000000000e+000             -2.13735046379082e-011
   1.728923276042e-012             -2.20422502018534e-011
   3.457846552084e-012             -2.10372434380934e-011
   5.186769828127e-012             -2.11668180727422e-011
   6.915693104169e-012             -2.23747591307689e-011
   8.644616380211e-012             -2.26422773152348e-011
   1.037353965625e-011             -2.13511645013065e-011
   1.210246293230e-011             -2.19889492244360e-011
   1.383138620834e-011             -2.29503427478383e-011
   1.556030948438e-011             -2.19917634276104e-011
   1.728923276042e-011             -2.18332821822864e-011
   1.901815603646e-011             -2.25462244002316e-011
   2.074707931251e-011             -2.33463455046213e-011
   2.247600258855e-011             -2.17868532034552e-011
   2.420492586459e-011             -2.17546242056171e-011
   2.593384914063e-011             -2.36929269847080e-011
   2.766277241668e-011             -2.35049296149823e-011
   2.939169569272e-011             -2.18166211169024e-011
   3.112061896876e-011             -2.22715302279658e-011
   3.284954224480e-011             -2.35348003934664e-011
   3.457846552084e-011             -2.30816415233299e-011
   3.630738879689e-011             -2.19433063187229e-011
   3.803631207293e-011             -2.32001098045887e-011
   3.976523534897e-011             -2.33920897400723e-011
   4.149415862501e-011             -2.23482353042326e-011
   4.322308190106e-011             -2.20076368845773e-011
   4.495200517710e-011             -2.39166031692564e-011
   4.668092845314e-011             -2.34072538888741e-011
   4.840985172918e-011             -2.23950450372302e-011
   5.013877500523e-011             -2.27378481463337e-011
   5.186769828127e-011             -2.37026899514216e-011
   5.359662155731e-011             -2.31407490017869e-011
   5.532554483335e-011             -2.24770254010623e-011
   5.705446810939e-011             -2.35068564153009e-011
   5.878339138544e-011             -2.39630075833026e-011
   6.051231466148e-011             -2.24954597368590e-011
   6.224123793752e-011             -2.30907443114483e-011
   6.397016121356e-011             -2.36934351686964e-011
   6.569908448961e-011             -2.39084645489468e-011
   6.742800776565e-011             -2.23416427300749e-011
   6.915693104169e-011             -2.34341830343620e-011
   7.088585431773e-011             -2.44697207552013e-011
   7.261477759377e-011             -2.33214199244049e-011
   7.434370086982e-011             -2.24161676816785e-011
   7.607262414586e-011             -2.39877305040433e-011
   7.780154742190e-011             -2.42054220928613e-011
   7.953047069794e-011             -2.31277665129474e-011
   8.125939397399e-011             -2.29965168670258e-011
   8.298831725003e-011             -2.46035558447377e-011
   8.471724052607e-011             -2.39892258853264e-011
   8.644616380211e-011             -2.29778553069685e-011
   8.817508707815e-011             -2.33770791211764e-011
   8.990401035420e-011             -2.50147473151074e-011
   9.163293363024e-011             -2.35836628213055e-011
   9.336185690628e-011             -2.31007099376377e-011
   9.509078018232e-011             -2.39956925649612e-011
   9.681970345837e-011             -2.47001154084302e-011
   9.854862673441e-011             -2.31093321771508e-011
   1.002775500105e-010             -2.33386367680481e-011
   1.020064732865e-010             -2.44112212551715e-011
   1.037353965625e-010             -2.38177867159477e-011
   1.054643198386e-010             -2.31208438494922e-011
   1.071932431146e-010             -2.43908079188883e-011
   1.089221663907e-010             -2.47266131348826e-011
   1.106510896667e-010             -2.36557282238171e-011
   1.123800129427e-010             -2.30519995044055e-011
   1.141089362188e-010             -2.49316768889437e-011
   1.158378594948e-010             -2.44637100593869e-011
   1.175667827709e-010             -2.34642058074529e-011
   1.192957060469e-010             -2.32925117784306e-011
   1.210246293230e-010             -2.50294554800888e-011
   1.227535525990e-010             -2.40567268437368e-011
   1.244824758750e-010             -2.28268786034428e-011
   1.262113991511e-010             -2.43314471160866e-011
   1.279403224271e-010             -2.51921971803005e-011
   1.296692457032e-010             -2.36443439812976e-011
   1.313981689792e-010             -2.34245720622551e-011
   1.331270922553e-010             -2.48663314904115e-011
   1.348560155313e-010             -2.50631030942571e-011
   1.365849388073e-010             -2.33681774572346e-011
   1.383138620834e-010             -2.37813740281749e-011
   1.400427853594e-010             -2.51762976232496e-011
   1.417717086355e-010             -2.46000307980991e-011
   1.435006319115e-010             -2.34280971088937e-011
   1.452295551875e-010             -2.44195886350408e-011
   1.469584784636e-010             -2.49920786245072e-011
   1.486874017396e-010             -2.36113289103415e-011
   1.504163250157e-010             -2.37162051890345e-011
   1.521452482917e-010             -2.51591821093443e-011
   1.538741715678e-010             -2.50915291563271e-011
   1.556030948438e-010             -2.37410555395970e-011
   1.573320181198e-010             -2.41454517763333e-011
   1.590609413959e-010             -2.57416622897849e-011
   1.607898646719e-010             -2.45694491761508e-011
   1.625187879480e-010             -2.39701574710185e-011
   1.642477112240e-010             -2.50876248908210e-011
   1.659766345001e-010             -2.52067779154600e-011
   1.677055577761e-010             -2.39223590054271e-011
   1.694344810521e-010             -2.37151151267029e-011
   1.711634043282e-010             -2.55488456163143e-011
   1.728923276042e-010             -2.50362507137222e-011
   1.746212508803e-010             -2.34721678683708e-011
   1.763501741563e-010             -2.43038332272186e-011
