# Atom Manipulation               
# 
# Sample                          Ag(111)
# Data set                        -
# Creation Comment                
# Gap voltage                     -1.000e-004 V
# Gap voltage range in Volt       -1;1
# Feedback loop enabled           No
# Regulator setpoint              1.000e-009 A
# Pre-amplifier range             0;3.33e-007
# Loop gain                       7.000e+000 %
# Z-axis offset                   -8.000e-010 m
# Parameter mode                  V before Z
# Raster time                     1.000e-002 seconds
# Channel name and data unit      I(r) [A]
# Manipulation vector: start      8.100e+000, 2.040e+000 [nm]
#                      end        2.130e+001, 3.600e-001 [nm]
# 
# 
#            Position                             I(r)
# -------------------             --------------------
   0.00000000000e+000             -1.883982477632e-008
   6.65323981230e-011             -1.897078804137e-008
   1.33064796246e-010             -1.895073221790e-008
   1.99597194369e-010             -1.906177797764e-008
   2.66129592492e-010             -1.941231248740e-008
   3.32661990615e-010             -1.986136147250e-008
   3.99194388738e-010             -2.002620012715e-008
   4.65726786861e-010             -1.982341407062e-008
   5.32259184984e-010             -1.968281102203e-008
   5.98791583107e-010             -1.952131448774e-008
   6.65323981230e-010             -1.946161066228e-008
   7.31856379353e-010             -1.953594861139e-008
   7.98388777476e-010             -2.004477817922e-008
   8.64921175599e-010             -1.980161670983e-008
   9.31453573722e-010             -1.952927444991e-008
   9.97985971845e-010             -1.970562499031e-008
   1.06451836997e-009             -2.024322318535e-008
   1.13105076809e-009             -2.027267813115e-008
   1.19758316621e-009             -2.027159484563e-008
   1.26411556434e-009             -2.028400579944e-008
   1.33064796246e-009             -2.047419652964e-008
   1.39718036058e-009             -2.036675417513e-008
   1.46371275871e-009             -2.036384220565e-008
   1.53024515683e-009             -2.012861759370e-008
   1.59677755495e-009             -1.999744948751e-008
   1.66330995308e-009             -1.980954069686e-008
   1.72984235120e-009             -1.989104436416e-008
   1.79637474932e-009             -2.033406456915e-008
   1.86290714744e-009             -2.002258137047e-008
   1.92943954557e-009             -1.980073066725e-008
   1.99597194369e-009             -2.012202034455e-008
   2.06250434181e-009             -2.040498860271e-008
   2.12903673994e-009             -2.047852470964e-008
   2.19556913806e-009             -2.036708710013e-008
   2.26210153618e-009             -2.051538882600e-008
   2.32863393431e-009             -2.054504365086e-008
   2.39516633243e-009             -2.040227124006e-008
   2.46169873055e-009             -2.036928716525e-008
   2.52823112867e-009             -2.045313169688e-008
   2.59476352680e-009             -2.044751771620e-008
   2.66129592492e-009             -2.039080013646e-008
   2.72782832304e-009             -2.033140628634e-008
   2.79436072117e-009             -2.026752531439e-008
   2.86089311929e-009             -1.983787390098e-008
   2.92742551741e-009             -1.961730109011e-008
   2.99395791554e-009             -1.994572857387e-008
   3.06049031366e-009             -2.020868458187e-008
   3.12702271178e-009             -1.973349470452e-008
   3.19355510990e-009             -1.987551923584e-008
   3.26008750803e-009             -2.017643551613e-008
   3.32661990615e-009             -2.017992618896e-008
   3.39315230427e-009             -2.001135108313e-008
   3.45968470240e-009             -2.006832979268e-008
   3.52621710052e-009             -2.011520274776e-008
   3.59274949864e-009             -2.013797577881e-008
   3.65928189677e-009             -2.002863061918e-008
   3.72581429489e-009             -2.002355967684e-008
   3.79234669301e-009             -1.983855262138e-008
   3.85887909114e-009             -1.941581106855e-008
   3.92541148926e-009             -1.936757307448e-008
   3.99194388738e-009             -1.977237187737e-008
   4.05847628550e-009             -1.985750205461e-008
   4.12500868363e-009             -1.940758485943e-008
   4.19154108175e-009             -1.941135216859e-008
   4.25807347987e-009             -1.940376374265e-008
   4.32460587800e-009             -1.943024515809e-008
   4.39113827612e-009             -1.995468715595e-008
   4.45767067424e-009             -2.001321543209e-008
   4.52420307237e-009             -2.005573710245e-008
   4.59073547049e-009             -2.004103397479e-008
   4.65726786861e-009             -2.009687311014e-008
   4.72380026673e-009             -2.016648064011e-008
   4.79033266486e-009             -1.989068585340e-008
   4.85686506298e-009             -1.955333824373e-008
   4.92339746110e-009             -1.962501263781e-008
   4.98992985923e-009             -1.994331606941e-008
   5.05646225735e-009             -1.993031090574e-008
   5.12299465547e-009             -1.964935818512e-008
   5.18952705360e-009             -1.971144629317e-008
   5.25605945172e-009             -1.969804416257e-008
   5.32259184984e-009             -1.979167206810e-008
   5.38912424796e-009             -2.024681899239e-008
   5.45565664609e-009             -2.032748778862e-008
   5.52218904421e-009             -2.031429825242e-008
   5.58872144233e-009             -2.028089410597e-008
   5.65525384046e-009             -2.035373629611e-008
