# Atom Manipulation               
# 
# Sample                          Ag(111)
# Data set                        -
# Creation Comment                
# Gap voltage                     -1.000e-003 V
# Gap voltage range in Volt       -10;10
# Feedback loop enabled           No
# Regulator setpoint              1.000e-009 A
# Pre-amplifier range             0;3.33e-007
# Loop gain                       7.000e+000 %
# Z-axis offset                   -2.000e-010 m
# Parameter mode                  V before Z
# Raster time                     1.000e-003 seconds
# Channel name and data unit      I(r) [A]
# Manipulation vector: start      2.677e-001, 5.353e+000 [nm]
#                      end        2.422e-001, 1.963e+000 [nm]
# 
# 
#             Position                              I(r)
# --------------------             ---------------------
   0.000000000000e+000             -8.7226813875235e-011
   3.390327134030e-012             -7.3041914124890e-011
   6.780654268060e-012             -8.2489726930174e-011
   1.017098140209e-011             -7.4179782598583e-011
   1.356130853612e-011             -7.2856611205012e-011
   1.695163567015e-011             -7.7911271689746e-011
   2.034196280418e-011             -7.0104358882910e-011
   2.373228993821e-011             -7.4126905363705e-011
   2.712261707224e-011             -6.0127153468033e-011
   3.051294420627e-011             -6.0682907162462e-011
   3.390327134030e-011             -6.4388035168788e-011
   3.729359847433e-011             -7.0660112577339e-011
   4.068392560836e-011             -6.9945572113074e-011
   4.407425274239e-011             -6.9204515498767e-011
   4.746457987642e-011             -6.5340755787809e-011
   5.085490701045e-011             -6.8119524259951e-011
   5.424523414448e-011             -7.2750701670052e-011
   5.763556127851e-011             -7.6614616446216e-011
   6.102588841254e-011             -7.0951169966971e-011
   6.441621554657e-011             -7.1506923661400e-011
   6.780654268060e-011             -8.2198514475337e-011
   7.119686981463e-011             -7.4232814898665e-011
   7.458719694866e-011             -8.4077594628541e-011
   7.797752408269e-011             -8.7570903564949e-011
   8.136785121672e-011             -8.2569120315093e-011
   8.475817835075e-011             -9.2043294205213e-011
   8.814850548478e-011             -8.5453643256990e-011
   9.153883261881e-011             -8.8470591883887e-011
   9.492915975284e-011             -7.6905673835848e-011
   9.831948688687e-011             -8.6353486641133e-011
   1.017098140209e-010             -7.2777217820093e-011
   1.051001411549e-010             -8.9211648498194e-011
   1.084904682890e-010             -7.8731721688970e-011
   1.118807954230e-010             -7.9552171688195e-011
   1.152711225570e-010             -7.6138256136705e-011
   1.186614496911e-010             -8.5824249096745e-011
   1.220517768251e-010             -7.0474809657461e-011
   1.254421039591e-010             -7.2459644280420e-011
   1.288324310931e-010             -8.0557769542092e-011
   1.322227582272e-010             -7.5423715672440e-011
   1.356130853612e-010             -7.6773403216052e-011
   1.390034124952e-010             -7.0051326582828e-011
   1.423937396293e-010             -7.5952953216828e-011
   1.457840667633e-010             -6.5128936717890e-011
   1.491743938973e-010             -7.6535223061297e-011
   1.525647210314e-010             -6.1873807936237e-011
   1.559550481654e-010             -6.8331188264665e-011
   1.593453752994e-010             -6.6372869791747e-011
   1.627357024334e-010             -7.5979469366869e-011
   1.661260295675e-010             -6.5340755787809e-011
   1.695163567015e-010             -6.6849230101258e-011
   1.729066838355e-010             -7.5026748747848e-011
   1.762970109696e-010             -6.7854827955155e-011
   1.796873381036e-010             -6.8675277954380e-011
   1.830776652376e-010             -8.0769433546806e-011
   1.864679923717e-010             -7.4444478903379e-011
   1.898583195057e-010             -7.9102172463521e-011
   1.932486466397e-010             -7.8175967994542e-011
   1.966389737737e-010             -7.8996417993766e-011
   2.000293009078e-010             -8.4236381398378e-011
   2.034196280418e-010             -8.7782567569663e-011
   2.068099551758e-010             -8.2701390934888e-011
   2.102002823099e-010             -9.0296639737009e-011
   2.135906094439e-010             -9.2016933120377e-011
   2.169809365779e-010             -8.1060646001644e-011
   2.203712637120e-010             -8.9635131572826e-011
   2.237615908460e-010             -8.4448045403092e-011
   2.271519179800e-010             -9.6833413450356e-011
   2.305422451141e-010             -8.0822465846889e-011
   2.339325722481e-010             -8.6009396951418e-011
   2.373228993821e-010             -8.6115306486378e-011
   2.407132265161e-010             -8.9714524957745e-011
   2.441035536502e-010             -8.1589883546031e-011
   2.474938807842e-010             -8.4580316022888e-011
   2.508842079182e-010             -8.0160802617501e-011
   2.542745350523e-010             -8.7464994029990e-011
   2.576648621863e-010             -8.5638946176867e-011
   2.610551893203e-010             -7.1824497201073e-011
   2.644455164544e-010             -7.1639194281195e-011
   2.678358435884e-010             -7.6085223836623e-011
   2.712261707224e-010             -7.3756454589155e-011
   2.746164978564e-010             -7.1956767820869e-011
   2.780068249905e-010             -8.2039727705500e-011
   2.813971521245e-010             -7.2512521515297e-011
   2.847874792585e-010             -6.7246197025849e-011
   2.881778063926e-010             -7.2486160430461e-011
   2.915681335266e-010             -6.7907705190032e-011
   2.949584606606e-010             -6.8145885344787e-011
   2.983487877947e-010             -7.1745103816155e-011
   3.017391149287e-010             -8.1192916621439e-011
   3.051294420627e-010             -6.9601482423359e-011
   3.085197691967e-010             -8.6168183721255e-011
   3.119100963308e-010             -8.0716556311929e-011
   3.153004234648e-010             -8.1933973235746e-011
   3.186907505988e-010             -8.9079377878398e-011
   3.220810777329e-010             -9.1090573586193e-011
   3.254714048669e-010             -9.1646327280622e-011
