# Atom Manipulation               
# 
# Sample                          Ag(111)
# Data set                        -
# Creation Comment                
# Gap voltage                     -1.000e-003 V
# Gap voltage range in Volt       -10;10
# Feedback loop enabled           No
# Regulator setpoint              1.000e-009 A
# Pre-amplifier range             0;3.33e-007
# Loop gain                       7.000e+000 %
# Z-axis offset                   -2.000e-010 m
# Parameter mode                  V before Z
# Raster time                     1.000e-003 seconds
# Channel name and data unit      I(r) [A]
# Manipulation vector: start      5.187e+000, 4.446e+000 [nm]
#                      end        -3.309e-015, -4.173e+000 [nm]
# 
# 
#            Position                              I(r)
# -------------------             ---------------------
   0.00000000000e+000             -2.3127293026718e-010
   1.00594299043e-011             -2.3492502597342e-010
   2.01188598086e-011             -2.4042953061762e-010
   3.01782897130e-011             -2.4683403371118e-010
   4.02377196173e-011             -2.4807781171983e-010
   5.02971495216e-011             -2.4492859247313e-010
   6.03565794259e-011             -2.3709500845105e-010
   7.04160093303e-011             -2.4228209462079e-010
   8.04754392346e-011             -2.3577183705748e-010
   9.05348691389e-011             -2.2891748980446e-010
   1.00594299043e-010             -2.2918218610926e-010
   1.10653728948e-010             -2.2267192854595e-010
   1.20713158852e-010             -2.2285723146583e-010
   1.30772588756e-010             -2.2240723224116e-010
   1.40832018661e-010             -2.2444509916420e-010
   1.50891448565e-010             -2.2375691978477e-010
   1.60950878469e-010             -2.2439206686412e-010
   1.71010308374e-010             -2.1849059529532e-010
   1.81069738278e-010             -2.1978725053885e-010
   1.91129168182e-010             -2.1261548481136e-010
   2.01188598086e-010             -2.2214269100157e-010
   2.11248027991e-010             -2.2433918962924e-010
   2.21307457895e-010             -2.2439206686412e-010
   2.31366887799e-010             -2.3378700243452e-010
   2.41426317704e-010             -2.3317837150522e-010
   2.51485747608e-010             -2.4003256369303e-010
   2.61545177512e-010             -2.5006264634279e-010
   2.71604607417e-010             -2.4410814247391e-010
   2.81664037321e-010             -2.5125354711656e-010
   2.91723467225e-010             -2.4736327125556e-010
   3.01782897130e-010             -2.5424397959342e-010
   3.11842327034e-010             -2.5382065158399e-010
   3.21901756938e-010             -2.6035727023213e-010
   3.31961186843e-010             -2.5707578036564e-010
   3.42020616747e-010             -2.5472033990293e-010
   3.52080046651e-010             -2.5368822589899e-010
   3.62139476556e-010             -2.5763153406007e-010
   3.72198906460e-010             -2.5638760098621e-010
   3.82258336364e-010             -2.5501155235777e-010
   3.92317766269e-010             -2.4651646017150e-010
   4.02377196173e-010             -2.4368465939928e-010
   4.12436626077e-010             -2.4344647924452e-010
   4.22496055982e-010             -2.4286436446526e-010
   4.32555485886e-010             -2.5239157065546e-010
   4.42614915790e-010             -2.5077718680705e-010
   4.52674345695e-010             -2.5032734264758e-010
   4.62733775599e-010             -2.5080370295709e-010
   4.72793205503e-010             -2.5636123990138e-010
   4.82852635408e-010             -2.4461101893346e-010
   4.92912065312e-010             -2.4757493526028e-010
   5.02971495216e-010             -2.4929522864364e-010
   5.13030925121e-010             -2.3532199289801e-010
   5.23090355025e-010             -2.3937105552885e-010
   5.33149784929e-010             -2.5135945665152e-010
   5.43209214833e-010             -2.4445223216362e-010
   5.53268644738e-010             -2.4638403448650e-010
   5.63328074642e-010             -2.3722743413605e-010
   5.73387504546e-010             -2.4559010063732e-010
   5.83446934451e-010             -2.4058831738746e-010
   5.93506364355e-010             -2.4604009986199e-010
   6.03565794259e-010             -2.3960923568360e-010
   6.13625224164e-010             -2.4331420862473e-010
   6.23684654068e-010             -2.5464094651801e-010
   6.33744083972e-010             -2.5829304222426e-010
   6.43803513877e-010             -2.6303028423452e-010
   6.53862943781e-010             -2.8269332754423e-010
   6.63922373685e-010             -2.7168416319062e-010
   6.73981803590e-010             -2.7594488982617e-010
   6.84041233494e-010             -2.6538556963203e-010
   6.94100663398e-010             -2.8121136938082e-010
   7.04160093303e-010             -2.7896183845307e-010
   7.14219523207e-010             -2.7523034936191e-010
   7.24278953111e-010             -2.7393353905317e-010
   7.34338383016e-010             -2.8451937539735e-010
   7.44397812920e-010             -2.7493929197227e-010
   7.54457242824e-010             -2.7692412659523e-010
   7.64516672729e-010             -2.6657647040581e-010
   7.74576102633e-010             -2.5691699359581e-010
   7.84635532537e-010             -2.6673525717564e-010
   7.94694962442e-010             -2.4731039402069e-010
   8.04754392346e-010             -2.5450867589822e-010
   8.14813822250e-010             -2.5869000914885e-010
   8.24873252155e-010             -2.6490920932252e-010
   8.34932682059e-010             -2.6175999007583e-010
   8.44992111963e-010             -2.6755570717487e-010
   8.55051541868e-010             -2.7020204996201e-010
   8.65110971772e-010             -2.6154817100591e-010
   8.75170401676e-010             -2.7046674626681e-010
   8.85229831580e-010             -2.5710214145048e-010
   8.95289261485e-010             -2.6853478887872e-010
   9.05348691389e-010             -2.5929879514336e-010
   9.15408121293e-010             -2.6271271069485e-010
   9.25467551198e-010             -2.6805842856921e-010
   9.35526981102e-010             -2.7202809781513e-010
   9.45586411006e-010             -2.6464451301772e-010
   9.55645840911e-010             -2.5789607529966e-010
   9.65705270815e-010             -2.5958985253299e-010
   9.75764700719e-010             -2.6329482547411e-010
   9.85824130624e-010             -2.5689047744577e-010
   9.95883560528e-010             -2.6461815193289e-010
   1.00594299043e-009             -2.6287149746468e-010
   1.01600242034e-009             -2.6017212237746e-010
   1.02606185024e-009             -2.8279923707919e-010
   1.03612128015e-009             -2.7742684798958e-010
   1.04618071005e-009             -2.8322256508862e-010
   1.05624013995e-009             -3.0079501930562e-010
   1.06629956986e-009             -2.9378188528276e-010
   1.07635899976e-009             -2.8047031276652e-010
   1.08641842967e-009             -2.8478407170215e-010
   1.09647785957e-009             -2.9955124129697e-010
   1.10653728948e-009             -2.9555505590101e-010
   1.11659671938e-009             -2.8330195847354e-010
   1.12665614928e-009             -2.8279923707919e-010
   1.13671557919e-009             -2.8163469739025e-010
   1.14677500909e-009             -2.8335499077362e-010
   1.15683443900e-009             -2.8118485323078e-010
   1.16689386890e-009             -2.8388422831801e-010
