# Atom Manipulation               
# 
# Sample                          Ag(111)
# Data set                        -
# Creation Comment                
# Gap voltage                     -2.500e+000 V
# Gap voltage range in Volt       -10;10
# Feedback loop enabled           No
# Regulator setpoint              1.000e-009 A
# Pre-amplifier range             0;3.33e-007
# Loop gain                       7.000e+000 %
# Z-axis offset                   2.000e-010 m
# Parameter mode                  Z before V
# Raster time                     5.000e-003 seconds
# Channel name and data unit      I(r) [A]
# Manipulation vector: start      -6.431e+000, 2.781e+000 [nm]
#                      end        -5.475e+000, 2.781e+000 [nm]
# 
# 
#              Position                               I(r)
# ---------------------             ----------------------
   0.0000000000000e+000              1.74770891159733e-011
   9.5589231869857e-013              1.83080835491324e-011
   1.9117846373971e-012              1.87737443595032e-011
   2.8676769560957e-012              1.97211927615562e-011
   3.8235692747943e-012              1.83715052179441e-011
   4.7794615934928e-012              1.98536184465568e-011
   5.7353539121914e-012              1.71329994262587e-011
   6.6912462308900e-012              1.70325171734714e-011
   7.6471385495885e-012              1.68313976026919e-011
   8.6030308682871e-012              1.72652700460544e-011
   9.5589231869857e-012              1.76887531206872e-011
   1.0514815505684e-011              1.85515359208547e-011
   1.1470707824383e-011              1.86309293057731e-011
   1.2426600143081e-011              1.70007288064631e-011
   1.3382492461780e-011              1.84932314038053e-011
   1.4338384780478e-011              2.01076152522136e-011
   1.5294277099177e-011              1.83398719161407e-011
   1.6250169417876e-011              2.24152956318132e-011
   1.7206061736574e-011              2.10074586363566e-011
   1.8161954055273e-011              1.54922544930143e-011
   1.9117846373971e-011              1.68259703205198e-011
   2.0073738692670e-011              1.77099970537611e-011
   2.1029631011368e-011              1.83767774349114e-011
   2.1985523330067e-011              1.96948316767201e-011
   2.2941415648766e-011              2.19812681232458e-011
   2.3897307967464e-011              1.99646451332785e-011
   2.4853200286163e-011              1.73500907131449e-011
   2.5809092604861e-011              1.87791716416753e-011
   2.6764984923560e-011              1.58151002496550e-011
   2.7720877242258e-011              1.72547256121199e-011
   2.8676769560957e-011              1.73659073640466e-011
   2.9632661879656e-011              2.32886228659151e-011
   3.0588554198354e-011              1.96735877436462e-011
   3.1544446517053e-011              1.93507419870055e-011
   3.2500338835751e-011              2.25900541177565e-011
   3.3456231154450e-011              1.90596845973732e-011
   3.4412123473148e-011              1.84138380188869e-011
   3.5368015791847e-011              1.86785343236831e-011
   3.6323908110546e-011              2.02664020220503e-011
   3.7279800429244e-011              1.86256570888058e-011
   3.8235692747943e-011              1.88743816774954e-011
   3.9191585066641e-011              2.01604924870908e-011
   4.0147477385340e-011              1.97371644776629e-011
   4.1103369704038e-011              1.84138380188869e-011
   4.2059262022737e-011              1.69531237885531e-011
   4.3015154341435e-011              2.12561832250461e-011
   4.3971046660134e-011              2.07427623315604e-011
   4.4926938978833e-011              1.98799795313930e-011
   4.5882831297531e-011              1.98694350974585e-011
   4.6838723616230e-011              1.87314115585604e-011
   4.7794615934928e-011              1.70060010234304e-011
   4.8750508253627e-011              1.79852377924917e-011
   4.9706400572325e-011              1.87155949076587e-011
   5.0662292891024e-011              2.39132255113275e-011
   5.1618185209723e-011              2.22406922110748e-011
   5.2574077528421e-011              2.01288591852874e-011
   5.3529969847120e-011              2.13355766099645e-011
   5.4485862165818e-011              1.66989719176914e-011
   5.5441754484517e-011              2.30927755121028e-011
   5.6397646803215e-011              2.02028252880336e-011
   5.7353539121914e-011              2.03192792569275e-011
   5.8309431440613e-011              2.07640062646343e-011
   5.9265323759311e-011              2.31192916621439e-011
