# Atom Manipulation               
# 
# Sample                          Ag(111)
# Data set                        -
# Creation Comment                
# Gap voltage                     -1.000e-004 V
# Gap voltage range in Volt       -1;1
# Feedback loop enabled           No
# Regulator setpoint              1.000e-009 A
# Pre-amplifier range             0;3.33e-007
# Loop gain                       7.000e+000 %
# Z-axis offset                   -7.000e-010 m
# Parameter mode                  V before Z
# Raster time                     1.000e-002 seconds
# Channel name and data unit      I(r) [A]
# Manipulation vector: start      5.764e+000, 8.082e+000 [nm]
#                      end        9.269e-001, -2.462e+000 [nm]
# 
# 
#            Position                             I(r)
# -------------------             --------------------
   0.00000000000e+000             -2.500007024454e-008
   1.16005049782e-010             -2.506840996139e-008
   2.32010099565e-010             -2.508708539441e-008
   3.48015149347e-010             -2.494738637597e-008
   4.64020199130e-010             -2.499885375801e-008
   5.80025248912e-010             -2.504233047496e-008
   6.96030298694e-010             -2.501364651336e-008
   8.12035348477e-010             -2.520326598335e-008
   9.28040398259e-010             -2.530072787607e-008
   1.04404544804e-009             -2.526440416195e-008
   1.16005049782e-009             -2.550061483354e-008
   1.27605554761e-009             -2.566753802974e-008
   1.39206059739e-009             -2.565453286607e-008
   1.50806564717e-009             -2.576636232536e-008
   1.62407069695e-009             -2.554885003644e-008
   1.74007574674e-009             -2.558714075269e-008
   1.85608079652e-009             -2.568737614167e-008
   1.97208584630e-009             -2.562640202205e-008
   2.08809089608e-009             -2.554490347191e-008
   2.20409594587e-009             -2.574271333096e-008
   2.32010099565e-009             -2.578610321140e-008
   2.43610604543e-009             -2.576359642730e-008
   2.55211109521e-009             -2.598959869125e-008
   2.66811614500e-009             -2.607029555428e-008
   2.78412119478e-009             -2.604514320272e-008
   2.90012624456e-009             -2.601907922281e-008
   3.01613129434e-009             -2.602893671789e-008
   3.13213634412e-009             -2.603676347904e-008
   3.24814139391e-009             -2.593981903891e-008
   3.36414644369e-009             -2.597030857976e-008
   3.48015149347e-009             -2.594866752469e-008
   3.59615654325e-009             -2.594873916482e-008
   3.71216159304e-009             -2.600341050412e-008
   3.82816664282e-009             -2.601939416024e-008
   3.94417169260e-009             -2.600442726667e-008
   4.06017674238e-009             -2.609825489618e-008
   4.17618179217e-009             -2.597348943231e-008
   4.29218684195e-009             -2.602600427980e-008
   4.40819189173e-009             -2.610361782630e-008
   4.52419694151e-009             -2.618366419079e-008
   4.64020199130e-009             -2.613085223837e-008
   4.75620704108e-009             -2.611157763339e-008
   4.87221209086e-009             -2.608404084417e-008
   4.98821714064e-009             -2.618920389524e-008
   5.10422219043e-009             -2.604773000047e-008
   5.22022724021e-009             -2.606847725969e-008
   5.33623228999e-009             -2.605952115865e-008
   5.45223733977e-009             -2.610715207245e-008
   5.56824238956e-009             -2.605471398223e-008
   5.68424743934e-009             -2.610360759199e-008
   5.80025248912e-009             -2.609261532975e-008
   5.91625753890e-009             -2.610859402379e-008
   6.03226258869e-009             -2.608470421312e-008
   6.14826763847e-009             -2.608832808696e-008
   6.26427268825e-009             -2.603800555133e-008
   6.38027773803e-009             -2.612222394517e-008
   6.49628278781e-009             -2.608456589496e-008
   6.61228783760e-009             -2.611548574175e-008
   6.72829288738e-009             -2.603606677108e-008
   6.84429793716e-009             -2.607974600319e-008
   6.96030298694e-009             -2.612927972212e-008
   7.07630803673e-009             -2.610251391710e-008
   7.19231308651e-009             -2.606270201120e-008
   7.30831813629e-009             -2.610806121974e-008
   7.42432318607e-009             -2.609030532339e-008
   7.54032823586e-009             -2.611875110484e-008
   7.65633328564e-009             -2.608813611624e-008
   7.77233833542e-009             -2.610953899115e-008
   7.88834338520e-009             -2.604498953310e-008
   8.00434843499e-009             -2.612491060491e-008
   8.12035348477e-009             -2.608511141435e-008
   8.23635853455e-009             -2.605353331576e-008
   8.35236358433e-009             -2.603936299214e-008
   8.46836863412e-009             -2.611748608290e-008
   8.58437368390e-009             -2.612126610740e-008
   8.70037873368e-009             -2.613185628557e-008
   8.81638378346e-009             -2.604671060181e-008
   8.93238883325e-009             -2.613551349843e-008
   9.04839388303e-009             -2.614024887965e-008
   9.16439893281e-009             -2.614502008094e-008
   9.28040398259e-009             -2.609511498085e-008
   9.39640903237e-009             -2.612920032874e-008
   9.51241408216e-009             -2.615771030718e-008
   9.62841913194e-009             -2.613075749353e-008
   9.74442418172e-009             -2.609849307634e-008
   9.86042923150e-009             -2.611320907442e-008
   9.97643428129e-009             -2.612004202267e-008
   1.00924393311e-008             -2.615816108173e-008
   1.02084443809e-008             -2.612341236490e-008
   1.03244494306e-008             -2.615188636822e-008
   1.04404544804e-008             -2.604434167067e-008
   1.05564595302e-008             -2.615962598273e-008
   1.06724645800e-008             -2.612169129619e-008
   1.07884696298e-008             -2.609544278869e-008
   1.09044746795e-008             -2.606114748252e-008
   1.10204797293e-008             -2.612094341671e-008
   1.11364847791e-008             -2.610648622246e-008
   1.12524898289e-008             -2.612627052676e-008
   1.13684948787e-008             -2.607309231032e-008
   1.14844999285e-008             -2.611745010777e-008
