# Atom Manipulation               
# 
# Sample                          Ag(111)
# Data set                        -
# Creation Comment                
# Gap voltage                     -1.000e-004 V
# Gap voltage range in Volt       -1;1
# Feedback loop enabled           No
# Regulator setpoint              9.901e-012 A
# Pre-amplifier range             0;3.29703e-009
# Loop gain                       7.000e+000 %
# Z-axis offset                   -7.000e-010 m
# Parameter mode                  V before Z
# Raster time                     1.000e-002 seconds
# Channel name and data unit      I(r) [A]
# Manipulation vector: start      6.533e+000, 2.432e+000 [nm]
#                      end        6.332e+000, -1.186e+000 [nm]
# 
# 
#             Position                                  I(r)
# --------------------             -------------------------
   0.000000000000e+000             -3.29702962313474620e-009
   3.624011709678e-011             -3.29702962313474620e-009
   7.248023419356e-011             -3.29702962313474620e-009
   1.087203512903e-010             -3.29702962313474620e-009
   1.449604683871e-010             -3.29702962313474620e-009
   1.812005854839e-010             -3.29702962313474620e-009
   2.174407025807e-010             -3.29702962313474620e-009
   2.536808196775e-010             -3.29702962313474620e-009
   2.899209367742e-010             -3.29702962313474620e-009
   3.261610538710e-010             -3.29702962313474620e-009
   3.624011709678e-010             -3.29702962313474620e-009
   3.986412880646e-010             -3.29702962313474620e-009
   4.348814051614e-010             -3.29702962313474620e-009
   4.711215222581e-010             -3.29702962313474620e-009
   5.073616393549e-010             -3.29702962313474620e-009
   5.436017564517e-010             -3.29702962313474620e-009
   5.798418735485e-010             -3.29702962313474620e-009
   6.160819906453e-010             -3.29702962313474620e-009
   6.523221077420e-010             -3.29702962313474620e-009
   6.885622248388e-010             -3.29702962313474620e-009
   7.248023419356e-010             -3.29702962313474620e-009
   7.610424590324e-010             -3.29702962313474620e-009
   7.972825761292e-010             -3.29702962313474620e-009
   8.335226932259e-010             -3.29702962313474620e-009
   8.697628103227e-010             -3.29702962313474620e-009
   9.060029274195e-010             -3.29702962313474620e-009
   9.422430445163e-010             -3.29702962313474620e-009
   9.784831616131e-010             -3.29702962313474620e-009
   1.014723278710e-009             -3.29702962313474620e-009
   1.050963395807e-009             -3.29702962313474620e-009
   1.087203512903e-009             -3.29702962313474620e-009
   1.123443630000e-009             -3.29702962313474620e-009
   1.159683747097e-009             -3.29702962313474620e-009
   1.195923864194e-009             -3.29702962313474620e-009
   1.232163981291e-009             -3.29702962313474620e-009
   1.268404098387e-009             -3.29702962313474620e-009
   1.304644215484e-009             -3.29702962313474620e-009
   1.340884332581e-009             -3.29702962313474620e-009
   1.377124449678e-009             -3.29702962313474620e-009
   1.413364566774e-009             -3.29702962313474620e-009
   1.449604683871e-009             -3.29702962313474620e-009
   1.485844800968e-009             -3.29702962313474620e-009
   1.522084918065e-009             -3.29702962313474620e-009
   1.558325035162e-009             -3.29702962313474620e-009
   1.594565152258e-009             -3.29702962313474620e-009
   1.630805269355e-009             -3.29702962313474620e-009
   1.667045386452e-009             -3.29702962313474620e-009
   1.703285503549e-009             -3.29702962313474620e-009
   1.739525620645e-009             -3.29702962313474620e-009
   1.775765737742e-009             -3.29702962313474620e-009
   1.812005854839e-009             -3.29702962313474620e-009
   1.848245971936e-009             -3.29702962313474620e-009
   1.884486089033e-009             -3.29702962313474620e-009
   1.920726206129e-009             -3.29702962313474620e-009
   1.956966323226e-009             -3.29702962313474620e-009
   1.993206440323e-009             -3.29702962313474620e-009
   2.029446557420e-009             -3.29702962313474620e-009
   2.065686674516e-009             -3.29702962313474620e-009
   2.101926791613e-009             -3.29702962313474620e-009
   2.138166908710e-009             -3.29702962313474620e-009
   2.174407025807e-009             -3.29702962313474620e-009
   2.210647142904e-009             -3.29702962313474620e-009
   2.246887260000e-009             -3.29702962313474620e-009
   2.283127377097e-009             -3.29702962313474620e-009
   2.319367494194e-009             -3.29702962313474620e-009
   2.355607611291e-009             -3.29702962313474620e-009
   2.391847728387e-009             -3.29702962313474620e-009
   2.428087845484e-009             -3.29702962313474620e-009
   2.464327962581e-009             -3.29702962313474620e-009
   2.500568079678e-009             -3.29702962313474620e-009
   2.536808196775e-009             -3.29702962313474620e-009
   2.573048313871e-009             -3.29702962313474620e-009
   2.609288430968e-009             -3.29702962313474620e-009
   2.645528548065e-009             -3.29702962313474620e-009
   2.681768665162e-009             -3.29702962313474620e-009
   2.718008782259e-009             -3.29702962313474620e-009
   2.754248899355e-009             -3.29702962313474620e-009
   2.790489016452e-009             -3.29702962313474620e-009
   2.826729133549e-009             -3.29702962313474620e-009
   2.862969250646e-009             -3.29702962313474620e-009
   2.899209367742e-009             -3.29702962313474620e-009
   2.935449484839e-009             -3.29702962313474620e-009
   2.971689601936e-009             -3.29702962313474620e-009
   3.007929719033e-009             -3.29702962313474620e-009
   3.044169836130e-009             -3.29702962313474620e-009
   3.080409953226e-009             -3.29702962313474620e-009
   3.116650070323e-009             -3.29702962313474620e-009
   3.152890187420e-009             -3.29702962313474620e-009
   3.189130304517e-009             -3.29702962313474620e-009
   3.225370421613e-009             -3.29702962313474620e-009
   3.261610538710e-009             -3.29701636122147790e-009
   3.297850655807e-009             -3.29702962313474620e-009
   3.334090772904e-009             -3.29702962313474620e-009
   3.370330890001e-009             -3.29702051881132830e-009
   3.406571007097e-009             -3.29702962313474620e-009
   3.442811124194e-009             -3.29702962313474620e-009
   3.479051241291e-009             -3.29702962313474620e-009
   3.515291358388e-009             -3.29702962313474620e-009
   3.551531475484e-009             -3.29702962313474620e-009
   3.587771592581e-009             -3.29702962313474620e-009
