# Atom Manipulation               
# 
# Sample                          Ag(111)
# Data set                        -
# Creation Comment                
# Gap voltage                     -1.000e-004 V
# Gap voltage range in Volt       -1;1
# Feedback loop enabled           No
# Regulator setpoint              1.000e-009 A
# Pre-amplifier range             0;3.33e-007
# Loop gain                       7.000e+000 %
# Z-axis offset                   -8.000e-010 m
# Parameter mode                  V before Z
# Raster time                     1.000e-002 seconds
# Channel name and data unit      I(r) [A]
# Manipulation vector: start      9.780e+000, 7.200e+000 [nm]
#                      end        1.428e+001, 5.880e+000 [nm]
# 
# 
#             Position                              I(r)
# --------------------             ---------------------
   0.000000000000e+000             -2.4134316084914e-008
   2.344802763560e-011             -2.4107995937292e-008
   4.689605527121e-011             -2.4029419435873e-008
   7.034408290681e-011             -2.4065125990479e-008
   9.379211054241e-011             -2.4030479771744e-008
   1.172401381780e-010             -2.4110101102514e-008
   1.406881658136e-010             -2.4039054257315e-008
   1.641361934492e-010             -2.4155181193692e-008
   1.875842210848e-010             -2.4160672052598e-008
   2.110322487204e-010             -2.4134841135698e-008
   2.344802763560e-010             -2.4112518724123e-008
   2.579283039916e-010             -2.4205339825397e-008
   2.813763316272e-010             -2.4192869946813e-008
   3.048243592628e-010             -2.4040503806851e-008
   3.282723868984e-010             -2.4054241498550e-008
   3.517204145340e-010             -2.4258423296996e-008
   3.751684421696e-010             -2.4171141745104e-008
   3.986164698053e-010             -2.4177180759509e-008
   4.220644974409e-010             -2.4162508489820e-008
   4.455125250765e-010             -2.4229001690211e-008
   4.689605527121e-010             -2.4150123121773e-008
   4.924085803477e-010             -2.4178868644265e-008
   5.158566079833e-010             -2.4197077796213e-008
   5.393046356189e-010             -2.4269256617408e-008
   5.627526632545e-010             -2.4170227480656e-008
   5.862006908901e-010             -2.4193963621703e-008
   6.096487185257e-010             -2.4243638139838e-008
   6.330967461613e-010             -2.4263788708152e-008
   6.565447737969e-010             -2.4146455519546e-008
   6.799928014325e-010             -2.4278238304207e-008
   7.034408290681e-010             -2.4209698863372e-008
   7.268888567037e-010             -2.4254484330661e-008
   7.503368843393e-010             -2.4219994417653e-008
   7.737849119749e-010             -2.4357104157298e-008
   7.972329396105e-010             -2.4197528570764e-008
   8.206809672461e-010             -2.4224189396641e-008
   8.441289948817e-010             -2.4169041697034e-008
   8.675770225173e-010             -2.4253360107925e-008
   8.910250501529e-010             -2.4162055079161e-008
   9.144730777885e-010             -2.4172573462141e-008
   9.379211054241e-010             -2.4124683899580e-008
   9.613691330597e-010             -2.4180989160942e-008
   9.848171606953e-010             -2.4090127308533e-008
   1.008265188331e-009             -2.4211832250461e-008
   1.031713215967e-009             -2.4183918962924e-008
   1.055161243602e-009             -2.4298995952798e-008
   1.078609271238e-009             -2.4120552807456e-008
   1.102057298873e-009             -2.4206254244910e-008
   1.125505326509e-009             -2.4161991037231e-008
   1.148953354145e-009             -2.4130763851199e-008
   1.172401381780e-009             -2.4083263502303e-008
   1.195849409416e-009             -2.4202876149421e-008
   1.219297437051e-009             -2.4107071283475e-008
   1.242745464687e-009             -2.4099751740607e-008
   1.266193492323e-009             -2.4069543953232e-008
   1.289641519958e-009             -2.4190751911179e-008
   1.313089547594e-009             -2.4154691962970e-008
   1.336537575229e-009             -2.4182295275163e-008
   1.359985602865e-009             -2.4155606382484e-008
   1.383433630501e-009             -2.4218695901627e-008
   1.406881658136e-009             -2.4114869822760e-008
   1.430329685772e-009             -2.4169136441874e-008
   1.453777713407e-009             -2.4139299880600e-008
   1.477225741043e-009             -2.4218905859914e-008
   1.500673768679e-009             -2.4136902727597e-008
   1.524121796314e-009             -2.4196181519329e-008
   1.547569823950e-009             -2.4164703282730e-008
   1.571017851585e-009             -2.4176563599994e-008
   1.594465879221e-009             -2.4134039448588e-008
   1.617913906857e-009             -2.4215563739552e-008
   1.641361934492e-009             -2.4203047651537e-008
   1.664809962128e-009             -2.4261678425778e-008
   1.688257989763e-009             -2.4129575586534e-008
   1.711706017399e-009             -2.4258766456295e-008
   1.735154045035e-009             -2.4206587169905e-008
   1.758602072670e-009             -2.4280061871017e-008
   1.782050100306e-009             -2.4222588658531e-008
   1.805498127941e-009             -2.4308131309216e-008
   1.828946155577e-009             -2.4204878816542e-008
   1.852394183213e-009             -2.4286275023647e-008
   1.875842210848e-009             -2.4232272170448e-008
   1.899290238484e-009             -2.4291358836391e-008
   1.922738266119e-009             -2.4209181410783e-008
   1.946186293755e-009             -2.4297779311200e-008
   1.969634321391e-009             -2.4273789793608e-008
   1.993082349026e-009             -2.4323620617470e-008
   2.016530376662e-009             -2.4249298174883e-008
   2.039978404297e-009             -2.4281337282327e-008
   2.063426431933e-009             -2.4276243235280e-008
   2.086874459569e-009             -2.4332179751586e-008
   2.110322487204e-009             -2.4210052256974e-008
   2.133770514840e-009             -2.4295113275132e-008
   2.157218542475e-009             -2.4222545240274e-008
   2.180666570111e-009             -2.4261486299989e-008
   2.204114597747e-009             -2.4140703375770e-008
   2.227562625382e-009             -2.4337578501760e-008
   2.251010653018e-009             -2.4316800539627e-008
   2.274458680653e-009             -2.4317755741289e-008
   2.297906708289e-009             -2.4259877963684e-008
   2.321354735925e-009             -2.4352962830870e-008
   2.344802763560e-009             -2.4248396625781e-008
   2.368250791196e-009             -2.4279892849943e-008
   2.391698818832e-009             -2.4261120191040e-008
   2.415146846467e-009             -2.4263847632930e-008
   2.438594874103e-009             -2.4194145358123e-008
   2.462042901738e-009             -2.4203659848966e-008
   2.485490929374e-009             -2.4175674921304e-008
   2.508938957010e-009             -2.4273000976911e-008
   2.532386984645e-009             -2.4202576408380e-008
   2.555835012281e-009             -2.4292910728962e-008
   2.579283039916e-009             -2.4315158864302e-008
   2.602731067552e-009             -2.4330194916963e-008
   2.626179095188e-009             -2.4233283815845e-008
   2.649627122823e-009             -2.4304789033789e-008
   2.673075150459e-009             -2.4262485230039e-008
   2.696523178094e-009             -2.4223526027695e-008
   2.719971205730e-009             -2.4136106312704e-008
   2.743419233366e-009             -2.4259311975686e-008
   2.766867261001e-009             -2.4156346508707e-008
   2.790315288637e-009             -2.4232433438261e-008
   2.813763316272e-009             -2.4181255562964e-008
   2.837211343908e-009             -2.4301695327885e-008
   2.860659371544e-009             -2.4272370946983e-008
   2.884107399179e-009             -2.4250473724201e-008
   2.907555426815e-009             -2.4246708896091e-008
   2.931003454450e-009             -2.4320765091721e-008
   2.954451482086e-009             -2.4210659182186e-008
   2.977899509722e-009             -2.4222463210780e-008
   3.001347537357e-009             -2.4232179906651e-008
   3.024795564993e-009             -2.4282341174464e-008
   3.048243592628e-009             -2.4178881359612e-008
   3.071691620264e-009             -2.4228673882368e-008
   3.095139647900e-009             -2.4275843787313e-008
   3.118587675535e-009             -2.4295827815596e-008
   3.142035703171e-009             -2.4207721626944e-008
   3.165483730806e-009             -2.4339934717549e-008
   3.188931758442e-009             -2.4265358743352e-008
   3.212379786078e-009             -2.4292022050272e-008
   3.235827813713e-009             -2.4195633363829e-008
   3.259275841349e-009             -2.4331196328056e-008
   3.282723868984e-009             -2.4245710121106e-008
   3.306171896620e-009             -2.4252622462746e-008
   3.329619924256e-009             -2.4194911225170e-008
   3.353067951891e-009             -2.4313337933601e-008
   3.376515979527e-009             -2.4213148598986e-008
   3.399964007162e-009             -2.4276804106127e-008
   3.423412034798e-009             -2.4237568422522e-008
   3.446860062434e-009             -2.4339350741987e-008
   3.470308090069e-009             -2.4239637767681e-008
   3.493756117705e-009             -2.4260956287119e-008
   3.517204145340e-009             -2.4252786366667e-008
   3.540652172976e-009             -2.4291110266867e-008
   3.564100200612e-009             -2.4227357378778e-008
   3.587548228247e-009             -2.4281995534122e-008
   3.610996255883e-009             -2.4254883933694e-008
   3.634444283518e-009             -2.4281158026950e-008
   3.657892311154e-009             -2.4189602102684e-008
   3.681340338790e-009             -2.4367886306192e-008
   3.704788366425e-009             -2.4322573152010e-008
   3.728236394061e-009             -2.4343988897331e-008
   3.751684421696e-009             -2.4253034781125e-008
   3.775132449332e-009             -2.4349431220828e-008
   3.798580476968e-009             -2.4305334553180e-008
   3.822028504603e-009             -2.4316508551846e-008
   3.845476532239e-009             -2.4291141124843e-008
   3.868924559875e-009             -2.4367676347904e-008
   3.892372587510e-009             -2.4240616074059e-008
   3.915820615146e-009             -2.4308062150134e-008
   3.939268642781e-009             -2.4279298640078e-008
   3.962716670417e-009             -2.4355703298237e-008
   3.986164698053e-009             -2.4284712741708e-008
   4.009612725688e-009             -2.4296043046101e-008
   4.033060753324e-009             -2.4364984571012e-008
   4.056508780959e-009             -2.4389809114733e-008
   4.079956808595e-009             -2.4295146614151e-008
   4.103404836231e-009             -2.4373922684489e-008
   4.126852863866e-009             -2.4329613577509e-008
   4.150300891502e-009             -2.4394337173782e-008
   4.173748919137e-009             -2.4297597574780e-008
   4.197196946773e-009             -2.4391596706415e-008
   4.220644974409e-009             -2.4336538789561e-008
   4.244093002044e-009             -2.4298547659291e-008
   4.267541029680e-009             -2.4271571895982e-008
   4.290989057315e-009             -2.4333939276466e-008
   4.314437084951e-009             -2.4407278295523e-008
   4.337885112587e-009             -2.4396388531377e-008
   4.361333140222e-009             -2.4359532013212e-008
   4.384781167858e-009             -2.4411765262293e-008
   4.408229195493e-009             -2.4313161159267e-008
   4.431677223129e-009             -2.4411980337732e-008
   4.455125250765e-009             -2.4339284219014e-008
   4.478573278400e-009             -2.4410715160725e-008
   4.502021306036e-009             -2.4240657166338e-008
   4.525469333671e-009             -2.4281040177395e-008
   4.548917361307e-009             -2.4289543022841e-008
   4.572365388943e-009             -2.4328353517654e-008
   4.595813416578e-009             -2.4275805331142e-008
   4.619261444214e-009             -2.4387383739863e-008
   4.642709471849e-009             -2.4377464683900e-008
   4.666157499485e-009             -2.4422275892013e-008
