# Atom Manipulation               
# 
# Sample                          Ag(111)
# Data set                        -
# Creation Comment                
# Gap voltage                     -1.000e-004 V
# Gap voltage range in Volt       -1;1
# Feedback loop enabled           No
# Regulator setpoint              9.901e-012 A
# Pre-amplifier range             0;3.29703e-009
# Loop gain                       7.000e+000 %
# Z-axis offset                   -4.000e-010 m
# Parameter mode                  V before Z
# Raster time                     1.000e-002 seconds
# Channel name and data unit      I(r) [A]
# Manipulation vector: start      -7.780e+000, -1.005e-001 [nm]
#                      end        -7.900e+000, -2.332e+000 [nm]
# 
# 
#             Position                               I(r)
# --------------------             ----------------------
   0.000000000000e+000             -2.42098345423558e-011
   2.234623878136e-012             -2.50874206960463e-011
   4.469247756271e-012             -2.67133499933752e-011
   6.703871634407e-012             -2.62329840886211e-011
   8.938495512543e-012             -2.47941140932931e-011
   1.117311939068e-011             -2.71274846320402e-011
   1.340774326881e-011             -2.70001653517086e-011
   1.564236714695e-011             -2.59619654223017e-011
   1.787699102509e-011             -2.55301840562570e-011
   2.011161490322e-011             -2.79790290430988e-011
   2.234623878136e-011             -2.69975277079259e-011
   2.458086265949e-011             -2.60797504954794e-011
   2.681548653763e-011             -2.64503962530105e-011
   2.905011041576e-011             -2.83989947475884e-011
   3.128473429390e-011             -2.64602851142470e-011
   3.351935817204e-011             -2.62961739272750e-011
   3.575398205017e-011             -2.75289392357803e-011
   3.798860592831e-011             -2.85881098150287e-011
   4.022322980644e-011             -2.65602944949242e-011
   4.245785368458e-011             -2.70820689505878e-011
   4.469247756271e-011             -2.79000931772999e-011
   4.692710144085e-011             -2.77631383600765e-011
   4.916172531899e-011             -2.55399961525406e-011
   5.139634919712e-011             -2.73744881504851e-011
   5.363097307526e-011             -2.82285182107195e-011
   5.586559695339e-011             -2.76586658650359e-011
   5.810022083153e-011             -2.61675880252201e-011
   6.033484470966e-011             -2.79559795983320e-011
   6.256946858780e-011             -2.80181054747383e-011
   6.480409246594e-011             -2.68779939291205e-011
   6.703871634407e-011             -2.67989306334997e-011
   6.927334022221e-011             -2.90229848086764e-011
   7.150796410034e-011             -2.77253561855433e-011
   7.374258797848e-011             -2.65840793479401e-011
   7.597721185661e-011             -2.73673382627692e-011
   7.821183573475e-011             -2.91205085401778e-011
   8.044645961289e-011             -2.72425552964824e-011
   8.268108349102e-011             -2.70484704659894e-011
   8.491570736916e-011             -2.84680171873659e-011
   8.715033124729e-011             -2.89718393911372e-011
   8.938495512543e-011             -2.65000447539676e-011
   9.161957900356e-011             -2.73129211229362e-011
   9.385420288170e-011             -2.91174410126587e-011
   9.608882675984e-011             -2.82591750623216e-011
   9.832345063797e-011             -2.65999282401220e-011
   1.005580745161e-010             -2.79331834779099e-011
   1.027926983942e-010             -2.92657294075327e-011
   1.050273222724e-010             -2.77373499417891e-011
   1.072619461505e-010             -2.69031237041116e-011
   1.094965700286e-010             -2.91699052520892e-011
   1.117311939068e-010             -2.91648326239996e-011
   1.139658177849e-010             -2.76175367385550e-011
   1.162004416631e-010             -2.75448126927472e-011
   1.184350655412e-010             -2.97476689938218e-011
   1.206696894193e-010             -2.86273628060599e-011
   1.229043132975e-010             -2.76765428872742e-011
   1.251389371756e-010             -2.87086568912129e-011
   1.273735610537e-010             -3.00916128301258e-011
   1.296081849319e-010             -2.86098911027731e-011
   1.318428088100e-010             -2.77917916464071e-011
   1.340774326881e-010             -2.95328422730471e-011
   1.363120565663e-010             -2.95331216974758e-011
   1.385466804444e-010             -2.78485915703791e-011
   1.407813043225e-010             -2.90887877263280e-011
   1.430159282007e-010             -3.06325079002651e-011
   1.452505520788e-010             -3.00393527854701e-011
   1.474851759570e-010             -2.80301498958530e-011
   1.497197998351e-010             -2.98329702095177e-011
   1.519544237132e-010             -3.07333785837143e-011
   1.541890475914e-010             -2.89372521739451e-011
   1.564236714695e-010             -2.85143709365432e-011
   1.586582953476e-010             -3.04100753079541e-011
   1.608929192258e-010             -3.06241144203118e-011
   1.631275431039e-010             -2.83981580096015e-011
   1.653621669820e-010             -2.91183284155146e-011
   1.675967908602e-010             -3.13109657660551e-011
   1.698314147383e-010             -2.99965747478003e-011
   1.720660386164e-010             -2.86023343608066e-011
   1.743006624946e-010             -3.02089925843520e-011
   1.765352863727e-010             -3.19094207332005e-011
   1.787699102509e-010             -2.99760861818632e-011
   1.810045341290e-010             -2.92528221483470e-011
   1.832391580071e-010             -3.10921319147375e-011
   1.854737818853e-010             -3.12422979803601e-011
   1.877084057634e-010             -2.97377540325014e-011
   1.899430296415e-010             -2.99316607683036e-011
   1.921776535197e-010             -3.21212797208949e-011
   1.944122773978e-010             -3.05220769095781e-011
   1.966469012759e-010             -2.93501693204567e-011
   1.988815251541e-010             -3.09347146316610e-011
   2.011161490322e-010             -3.24558167798668e-011
   2.033507729103e-010             -3.06061867332045e-011
   2.055853967885e-010             -3.04339860554928e-011
   2.078200206666e-010             -3.23280937158828e-011
   2.100546445448e-010             -3.20331382019407e-011
   2.122892684229e-010             -2.94848672480640e-011
   2.145238923010e-010             -3.05775088820889e-011
   2.167585161792e-010             -3.24722229856070e-011
   2.189931400573e-010             -3.15681882350340e-011
   2.212277639354e-010             -2.97081120135770e-011
   2.234623878136e-010             -3.22606679871262e-011
   2.256970116917e-010             -3.28538737667902e-011
   2.279316355698e-010             -3.15268057842085e-011
   2.301662594480e-010             -3.01578471668129e-011
   2.324008833261e-010             -3.31006500609744e-011
   2.346355072042e-010             -3.27157797576653e-011
   2.368701310824e-010             -3.07925628271243e-011
   2.391047549605e-010             -3.15244721296394e-011
   2.413393788387e-010             -3.37247921166692e-011
   2.435740027168e-010             -3.19859738148604e-011
   2.458086265949e-010             -3.10571148138089e-011
   2.480432504731e-010             -3.22135036000460e-011
   2.502778743512e-010             -3.38233567809323e-011
   2.525124982293e-010             -3.15512999453894e-011
   2.547471221075e-010             -3.17010852568456e-011
   2.569817459856e-010             -3.32678303107645e-011
   2.592163698637e-010             -3.34123664347393e-011
   2.614509937419e-010             -3.08194413077432e-011
   2.636856176200e-010             -3.25764928211719e-011
   2.659202414981e-010             -3.35867226723293e-011
   2.681548653763e-010             -3.26234791135613e-011
   2.703894892544e-010             -3.15102721486464e-011
   2.726241131326e-010             -3.37753049909962e-011
   2.748587370107e-010             -3.38450367389388e-011
   2.770933608888e-010             -3.19763121778847e-011
   2.793279847670e-010             -3.19352843811417e-011
   2.815626086451e-010             -3.50034551905314e-011
   2.837972325232e-010             -3.33665715344193e-011
   2.860318564014e-010             -3.22827547993832e-011
   2.882664802795e-010             -3.31120112740081e-011
   2.905011041576e-010             -3.55653700400821e-011
   2.927357280358e-010             -3.28950044285701e-011
   2.949703519139e-010             -3.23351422738608e-011
   2.972049757920e-010             -3.44361376235935e-011
   2.994395996702e-010             -3.53438494154119e-011
   3.016742235483e-010             -3.27616253228542e-011
   3.039088474265e-010             -3.32897651284147e-011
   3.061434713046e-010             -3.53816576900290e-011
   3.083780951827e-010             -3.51196926822580e-011
   3.106127190609e-010             -3.25549894225571e-011
   3.128473429390e-010             -3.44146864251467e-011
   3.150819668171e-010             -3.55924511801767e-011
   3.173165906953e-010             -3.46716049049120e-011
   3.195512145734e-010             -3.29684377825430e-011
   3.217858384515e-010             -3.55871774279104e-011
   3.240204623297e-010             -3.58796227278917e-011
   3.262550862078e-010             -3.45459852006383e-011
   3.284897100859e-010             -3.43736325283197e-011
   3.307243339641e-010             -3.72239090894157e-011
   3.329589578422e-010             -3.53984446499357e-011
   3.351935817204e-010             -3.42921603484760e-011
   3.374282055985e-010             -3.53531809630900e-011
   3.396628294766e-010             -3.74170543168848e-011
   3.418974533548e-010             -3.51940395391708e-011
   3.441320772329e-010             -3.50922814528658e-011
   3.463667011110e-010             -3.66800984863640e-011
   3.486013249892e-010             -3.76732128236161e-011
   3.508359488673e-010             -3.45559262620427e-011
   3.530705727454e-010             -3.60981003898278e-011
   3.553051966236e-010             -3.73198852394660e-011
   3.575398205017e-010             -3.71873183069520e-011
   3.597744443798e-010             -3.48483700267249e-011
   3.620090682580e-010             -3.74493339795919e-011
   3.642436921361e-010             -3.86884892027791e-011
   3.664783160143e-010             -3.64556868935665e-011
   3.687129398924e-010             -3.55920719613092e-011
   3.709475637705e-010             -3.84762248961332e-011
   3.731821876487e-010             -3.87786342870048e-011
   3.754168115268e-010             -3.73485139610117e-011
   3.776514354049e-010             -3.72205867022529e-011
   3.798860592831e-010             -3.99246536634001e-011
   3.821206831612e-010             -3.80139878026631e-011
   3.843553070393e-010             -3.72057526427487e-011
   3.865899309175e-010             -3.82602313480739e-011
   3.888245547956e-010             -4.06002696906326e-011
   3.910591786737e-010             -3.84552281462078e-011
   3.932938025519e-010             -3.84398122083603e-011
   3.955284264300e-010             -4.06158145936010e-011
   3.977630503082e-010             -4.05712617502194e-011
   3.999976741863e-010             -3.80966022450064e-011
   4.022322980644e-010             -3.93347933003848e-011
   4.044669219426e-010             -4.12841026384268e-011
   4.067015458207e-010             -4.05715657394330e-011
   4.089361696988e-010             -3.96474477418745e-011
   4.111707935770e-010             -4.15754072112076e-011
   4.134054174551e-010             -4.26441104623108e-011
   4.156400413332e-010             -4.05422522745072e-011
   4.178746652114e-010             -4.05910901375613e-011
   4.201092890895e-010             -4.40429920583586e-011
   4.223439129676e-010             -4.30644323561820e-011
   4.245785368458e-010             -4.11883030477682e-011
   4.268131607239e-010             -4.25752922173081e-011
   4.290477846021e-010             -4.52408139602901e-011
   4.312824084802e-010             -4.38243869666006e-011
   4.335170323583e-010             -4.21896343055819e-011
   4.357516562365e-010             -4.54255411430209e-011
   4.379862801146e-010             -4.68803598249698e-011
   4.402209039927e-010             -4.37680691265331e-011
   4.424555278709e-010             -4.40471496482093e-011
   4.446901517490e-010             -4.74117959176091e-011
   4.469247756271e-010             -4.80410351661785e-011
   4.491593995053e-010             -4.51750632428065e-011
   4.513940233834e-010             -4.72234684585858e-011
   4.536286472615e-010             -5.09581525070896e-011
   4.558632711397e-010             -4.89364998774064e-011
   4.580978950178e-010             -4.78962718179430e-011
   4.603325188960e-010             -5.05867713413094e-011
   4.625671427741e-010             -5.24137833622405e-011
   4.648017666522e-010             -4.94915688284547e-011
   4.670363905304e-010             -5.04586659878598e-011
   4.692710144085e-010             -5.42747224217685e-011
   4.715056382866e-010             -5.44065539460333e-011
   4.737402621648e-010             -5.17043892204197e-011
   4.759748860429e-010             -5.45672429514036e-011
   4.782095099210e-010             -5.77178485731468e-011
   4.804441337992e-010             -5.61874655421318e-011
   4.826787576773e-010             -5.48485557979110e-011
   4.849133815554e-010             -5.99556974103650e-011
   4.871480054336e-010             -6.01554106472069e-011
   4.893826293117e-010             -5.69680115835243e-011
