# Atom Manipulation               
# 
# Sample                          Ag(111)
# Data set                        -
# Creation Comment                
# Gap voltage                     -1.000e-004 V
# Gap voltage range in Volt       -1;1
# Feedback loop enabled           No
# Regulator setpoint              1.000e-009 A
# Pre-amplifier range             0;3.33e-007
# Loop gain                       7.000e+000 %
# Z-axis offset                   -8.000e-010 m
# Parameter mode                  V before Z
# Raster time                     1.000e-002 seconds
# Channel name and data unit      I(r) [A]
# Manipulation vector: start      -2.304e+001, 6.660e+000 [nm]
#                      end        -7.800e-001, 3.720e+000 [nm]
# 
# 
#            Position                             I(r)
# -------------------             --------------------
   0.00000000000e+000             -1.825259036425e-008
   1.12266557799e-010             -1.817875699732e-008
   2.24533115598e-010             -1.809238211168e-008
   3.36799673397e-010             -1.814247933756e-008
   4.49066231195e-010             -1.813407139202e-008
   5.61332788994e-010             -1.809503543240e-008
   6.73599346793e-010             -1.795153064864e-008
   7.85865904592e-010             -1.805792026547e-008
   8.98132462391e-010             -1.809243591930e-008
   1.01039902019e-009             -1.792992277753e-008
   1.12266557799e-009             -1.794727410876e-008
   1.23493213579e-009             -1.816115213447e-008
   1.34719869359e-009             -1.796910217246e-008
   1.45946525138e-009             -1.828110530478e-008
   1.57173180918e-009             -1.834020484114e-008
   1.68399836698e-009             -1.811425638481e-008
   1.79626492478e-009             -1.803181007614e-008
   1.90853148258e-009             -1.842740172743e-008
   2.02079804038e-009             -1.798065778660e-008
   2.13306459818e-009             -1.820154041775e-008
   2.24533115598e-009             -1.824763975252e-008
   2.35759771378e-009             -1.798549302982e-008
   2.46986427157e-009             -1.874049341748e-008
   2.58213082937e-009             -1.863871885128e-008
   2.69439738717e-009             -1.833357409791e-008
   2.80666394497e-009             -1.822164229559e-008
   2.91893050277e-009             -1.887861743863e-008
   3.03119706057e-009             -1.843410659182e-008
   3.14346361837e-009             -1.826582595481e-008
   3.25573017617e-009             -1.881756904278e-008
   3.36799673397e-009             -1.837939431531e-008
   3.48026329176e-009             -1.908090403014e-008
   3.59252984956e-009             -1.867963203027e-008
   3.70479640736e-009             -1.865776814651e-008
   3.81706296516e-009             -1.857351377754e-008
   3.92932952296e-009             -1.908967327761e-008
   4.04159608076e-009             -1.864456822094e-008
   4.15386263856e-009             -1.847254849664e-008
   4.26612919636e-009             -1.888575509002e-008
   4.37839575415e-009             -1.838902401960e-008
   4.49066231195e-009             -1.894460357580e-008
   4.60292886975e-009             -1.880039448588e-008
   4.71519542755e-009             -1.847018452759e-008
   4.82746198535e-009             -1.860075857898e-008
   4.93972854315e-009             -1.916952751632e-008
   5.05199510095e-009             -1.870192110282e-008
   5.16426165875e-009             -1.836523934314e-008
   5.27652821655e-009             -1.896671587403e-008
   5.38879477434e-009             -1.856535672750e-008
   5.50106133214e-009             -1.890988308084e-008
   5.61332788994e-009             -1.879097225883e-008
   5.72559444774e-009             -1.856783079285e-008
   5.83786100554e-009             -1.881582238831e-008
   5.95012756334e-009             -1.910470157701e-008
   6.06239412114e-009             -1.870285319977e-008
   6.17466067894e-009             -1.868248507497e-008
   6.28692723673e-009             -1.898827241855e-008
   6.39919379453e-009             -1.856856580192e-008
   6.51146035233e-009             -1.870854145668e-008
   6.62372691013e-009             -1.885606196406e-008
   6.73599346793e-009             -1.847160337422e-008
   6.84826002573e-009             -1.905256570888e-008
   6.96052658353e-009             -1.881528973934e-008
   7.07279314133e-009             -1.869636868303e-008
   7.18505969913e-009             -1.861898819954e-008
   7.29732625692e-009             -1.890814402456e-008
   7.40959281472e-009             -1.857200778427e-008
   7.52185937252e-009             -1.861876537084e-008
   7.63412593032e-009             -1.848841693932e-008
   7.74639248812e-009             -1.859142334352e-008
   7.85865904592e-009             -1.898595217789e-008
   7.97092560372e-009             -1.858480810681e-008
   8.08319216152e-009             -1.842537331948e-008
   8.19545871932e-009             -1.886038006482e-008
   8.30772527711e-009             -1.876572764347e-008
   8.41999183491e-009             -1.848909550466e-008
   8.53225839271e-009             -1.855115042876e-008
   8.64452495051e-009             -1.866629394160e-008
   8.75679150831e-009             -1.845023120222e-008
   8.86905806611e-009             -1.894802772566e-008
   8.98132462391e-009             -1.861157391183e-008
   9.09359118171e-009             -1.856631968243e-008
   9.20585773950e-009             -1.880667416148e-008
   9.31812429730e-009             -1.885979097210e-008
   9.43039085510e-009             -1.852357781947e-008
   9.54265741290e-009             -1.871683930593e-008
   9.65492397070e-009             -1.863429577137e-008
   9.76719052850e-009             -1.851799469677e-008
   9.87945708630e-009             -1.907149979066e-008
   9.99172364410e-009             -1.852050458218e-008
   1.01039902019e-008             -1.850384220565e-008
   1.02162567597e-008             -1.900982136488e-008
   1.03285233175e-008             -1.876476468855e-008
   1.04407898753e-008             -1.836226596784e-008
   1.05530564331e-008             -1.873115058382e-008
   1.06653229909e-008             -1.867237901037e-008
   1.07775895487e-008             -1.835217789080e-008
   1.08898561065e-008             -1.875516832328e-008
   1.10021226643e-008             -1.829956566236e-008
   1.11143892221e-008             -1.879228612632e-008
   1.12266557799e-008             -1.859915520476e-008
   1.13389223377e-008             -1.844088325141e-008
   1.14511888955e-008             -1.819937121059e-008
   1.15634554533e-008             -1.871609142644e-008
   1.16757220111e-008             -1.827963016949e-008
   1.17879885689e-008             -1.807591697809e-008
   1.19002551267e-008             -1.840484888896e-008
   1.20125216845e-008             -1.806422831801e-008
   1.21247882423e-008             -1.851262153235e-008
   1.22370548001e-008             -1.827934841601e-008
   1.23493213579e-008             -1.813671959559e-008
   1.24615879157e-008             -1.813084184900e-008
   1.25738544735e-008             -1.841320566298e-008
   1.26861210313e-008             -1.823705484656e-008
   1.27983875891e-008             -1.809460000930e-008
   1.29106541469e-008             -1.829690722449e-008
   1.30229207047e-008             -1.802546124145e-008
