# Atom Manipulation               
# 
# Sample                          Ag(111)
# Data set                        -
# Creation Comment                
# Gap voltage                     -1.000e-004 V
# Gap voltage range in Volt       -1;1
# Feedback loop enabled           No
# Regulator setpoint              9.901e-012 A
# Pre-amplifier range             0;3.29703e-009
# Loop gain                       7.000e+000 %
# Z-axis offset                   -2.000e-010 m
# Parameter mode                  V before Z
# Raster time                     1.000e-002 seconds
# Channel name and data unit      I(r) [A]
# Manipulation vector: start      3.920e+000, -3.538e+000 [nm]
#                      end        3.880e+000, -6.815e+000 [nm]
# 
# 
#             Position                                I(r)
# --------------------             -----------------------
   0.000000000000e+000             -2.834423063016810e-013
   3.276937856497e-012             -4.162625631602842e-013
   6.553875712993e-012             -3.826901786458632e-013
   9.830813569490e-012             -5.546114319289083e-013
   1.310775142599e-011             -2.686082467974813e-013
   1.638468928248e-011             -5.361018664784185e-013
   1.966162713898e-011             -4.754468065702816e-013
   2.293856499548e-011             -5.316126520310701e-013
   2.621550285197e-011             -4.478068176182937e-013
   2.949244070847e-011             -5.124429079853822e-013
   3.276937856497e-011             -5.997737890367057e-013
   3.604631642146e-011             -4.366758994434388e-013
   3.932325427796e-011             -5.405388807577745e-013
   4.260019213446e-011             -5.741619301411293e-013
   4.587712999095e-011             -5.011584599046672e-013
   4.915406784745e-011             -5.941945122577510e-013
   5.243100570394e-011             -4.580764330212736e-013
   5.570794356044e-011             -6.807132201070748e-013
   5.898488141694e-011             -4.960873671141091e-013
   6.226181927343e-011             -6.264480748808339e-013
   6.553875712993e-011             -4.849303488552580e-013
   6.881569498643e-011             -6.621268897036551e-013
   7.209263284292e-011             -5.135836351859225e-013
   7.536957069942e-011             -6.070004417055392e-013
   7.864650855592e-011             -5.676461209364281e-013
   8.192344641241e-011             -6.379858473062180e-013
   8.520038426891e-011             -5.826060749634330e-013
   8.847732212541e-011             -6.499550387670689e-013
   9.175425998190e-011             -5.709930728841774e-013
   9.503119783840e-011             -7.245813201084720e-013
   9.830813569490e-011             -4.697923001374553e-013
   1.015850735514e-010             -8.110739278737997e-013
   1.048620114079e-010             -5.262375700269092e-013
   1.081389492644e-010             -6.827413501634864e-013
   1.114158871209e-010             -5.759874007218055e-013
   1.146928249774e-010             -7.426610018225535e-013
   1.179697628339e-010             -6.606054083365817e-013
   1.212467006904e-010             -5.674173613766965e-013
   1.245236385469e-010             -7.032805809694462e-013
   1.278005764034e-010             -6.990968910347593e-013
   1.310775142599e-010             -6.695301017642274e-013
   1.343544521164e-010             -6.908047408192571e-013
   1.376313899729e-010             -6.685168043855511e-013
