# Atom Manipulation               
# 
# Sample                          Ag(111)
# Data set                        -
# Creation Comment                
# Gap voltage                     -1.000e-004 V
# Gap voltage range in Volt       -1;1
# Feedback loop enabled           No
# Regulator setpoint              1.000e-009 A
# Pre-amplifier range             0;3.33e-007
# Loop gain                       7.000e+000 %
# Z-axis offset                   -8.000e-010 m
# Parameter mode                  V before Z
# Raster time                     1.000e-002 seconds
# Channel name and data unit      I(r) [A]
# Manipulation vector: start      -1.656e+001, -6.180e+000 [nm]
#                      end        -2.658e+001, -4.740e+000 [nm]
# 
# 
#            Position                             I(r)
# -------------------             --------------------
   0.00000000000e+000             -2.052867574315e-008
   5.06147211787e-011             -2.085862441657e-008
   1.01229442357e-010             -2.099920451550e-008
   1.51844163536e-010             -2.101114174510e-008
   2.02458884715e-010             -2.094092977097e-008
   2.53073605894e-010             -2.128443936175e-008
   3.03688327072e-010             -2.121571275721e-008
   3.54303048251e-010             -2.108066972662e-008
   4.04917769430e-010             -2.043658965095e-008
   4.55532490609e-010             -2.067852951666e-008
   5.06147211787e-010             -2.077540991487e-008
   5.56761932966e-010             -2.069448246988e-008
   6.07376654145e-010             -2.047628386236e-008
   6.57991375323e-010             -2.104560359131e-008
   7.08606096502e-010             -2.135196715719e-008
   7.59220817681e-010             -2.122411310456e-008
   8.09835538860e-010             -2.093013738777e-008
   8.60450260038e-010             -2.202865248337e-008
   9.11064981217e-010             -2.241164105506e-008
   9.61679702396e-010             -2.265697421266e-008
   1.01229442357e-009             -2.264710896432e-008
   1.06290914475e-009             -2.224977329467e-008
   1.11352386593e-009             -2.208378467646e-008
   1.16413858711e-009             -2.228540557304e-008
   1.21475330829e-009             -2.258693125959e-008
   1.26536802947e-009             -2.293843911365e-008
   1.31598275065e-009             -2.310993657833e-008
   1.36659747183e-009             -2.325353610693e-008
   1.41721219300e-009             -2.354105025663e-008
   1.46782691418e-009             -2.396225526834e-008
   1.51844163536e-009             -2.372416210517e-008
   1.56905635654e-009             -2.388743336073e-008
   1.61967107772e-009             -2.409311603529e-008
   1.67028579890e-009             -2.422257330708e-008
   1.72090052008e-009             -2.406171471104e-008
   1.77151524126e-009             -2.399883763122e-008
   1.82212996243e-009             -2.404931399153e-008
   1.87274468361e-009             -2.422297027400e-008
   1.92335940479e-009             -2.425187210222e-008
   1.97397412597e-009             -2.442195831847e-008
   2.02458884715e-009             -2.415891268278e-008
   2.07520356833e-009             -2.417663539518e-008
   2.12581828951e-009             -2.420294530850e-008
   2.17643301069e-009             -2.445046054366e-008
   2.22704773186e-009             -2.429168664423e-008
   2.27766245304e-009             -2.427811797361e-008
   2.32827717422e-009             -2.400240521639e-008
   2.37889189540e-009             -2.418695389911e-008
   2.42950661658e-009             -2.406891640435e-008
   2.48012133776e-009             -2.404203274977e-008
   2.53073605894e-009             -2.397706089411e-008
   2.58135078011e-009             -2.419953651010e-008
   2.63196550129e-009             -2.420213602320e-008
   2.68258022247e-009             -2.430712989812e-008
   2.73319494365e-009             -2.411423219464e-008
   2.78380966483e-009             -2.423731752702e-008
   2.83442438601e-009             -2.427553381197e-008
   2.88503910719e-009             -2.441938950829e-008
   2.93565382837e-009             -2.441045914807e-008
   2.98626854954e-009             -2.452279055343e-008
   3.03688327072e-009             -2.426142489417e-008
   3.08749799190e-009             -2.432748019042e-008
   3.13811271308e-009             -2.431189861837e-008
   3.18872743426e-009             -2.439080029152e-008
   3.23934215544e-009             -2.432939586596e-008
   3.28995687662e-009             -2.411619904170e-008
   3.34057159780e-009             -2.388328955326e-008
   3.39118631897e-009             -2.403404223976e-008
   3.44180104015e-009             -2.388593775683e-008
   3.49241576133e-009             -2.383827350401e-008
   3.54303048251e-009             -2.371465288654e-008
   3.59364520369e-009             -2.398720014266e-008
   3.64425992487e-009             -2.401666020562e-008
   3.69487464605e-009             -2.394922963606e-008
   3.74548936723e-009             -2.364582657507e-008
   3.79610408840e-009             -2.388660872397e-008
   3.84671880958e-009             -2.398794538603e-008
   3.89733353076e-009             -2.415042270775e-008
   3.94794825194e-009             -2.402051714246e-008
   3.99856297312e-009             -2.389603343206e-008
   4.04917769430e-009             -2.380230070245e-008
   4.09979241548e-009             -2.387120904340e-008
   4.15040713666e-009             -2.394296515685e-008
   4.20102185783e-009             -2.415476112205e-008
   4.25163657901e-009             -2.396808944161e-008
   4.30225130019e-009             -2.347132239607e-008
   4.35286602137e-009             -2.359375211276e-008
   4.40348074255e-009             -2.364071205942e-008
   4.45409546373e-009             -2.344086867528e-008
   4.50471018491e-009             -2.349123230318e-008
   4.55532490609e-009             -2.363087239684e-008
   4.60593962726e-009             -2.381583076184e-008
   4.65655434844e-009             -2.376719331979e-008
   4.70716906962e-009             -2.352360169951e-008
   4.75778379080e-009             -2.362162694413e-008
   4.80839851198e-009             -2.378563320876e-008
   4.85901323316e-009             -2.382418505482e-008
   4.90962795434e-009             -2.401410674689e-008
   4.96024267551e-009             -2.425664842066e-008
   5.01085739669e-009             -2.426635240118e-008
   5.06147211787e-009             -2.415337313340e-008
   5.11208683905e-009             -2.430708384376e-008
   5.16270156023e-009             -2.428369349812e-008
   5.21331628141e-009             -2.440904541860e-008
   5.26393100259e-009             -2.415259703205e-008
   5.31454572377e-009             -2.421558157205e-008
   5.36516044494e-009             -2.402796740529e-008
   5.41577516612e-009             -2.400964536588e-008
   5.46638988730e-009             -2.390514831987e-008
   5.51700460848e-009             -2.415900479151e-008
   5.56761932966e-009             -2.418940485974e-008
   5.61823405084e-009             -2.431691063592e-008
   5.66884877202e-009             -2.425511947774e-008
   5.71946349320e-009             -2.416649599156e-008
   5.77007821437e-009             -2.418832917242e-008
   5.82069293555e-009             -2.441905658329e-008
   5.87130765673e-009             -2.444889578068e-008
   5.92192237791e-009             -2.447150490781e-008
   5.97253709909e-009             -2.434238304207e-008
   6.02315182027e-009             -2.446378064476e-008
   6.07376654145e-009             -2.441441082975e-008
   6.12438126263e-009             -2.447437594008e-008
   6.17499598380e-009             -2.440477600831e-008
   6.22561070498e-009             -2.449309215525e-008
   6.27622542616e-009             -2.442740312301e-008
   6.32684014734e-009             -2.447703685900e-008
   6.37745486852e-009             -2.436629332134e-008
   6.42806958970e-009             -2.449979717471e-008
   6.47868431088e-009             -2.437834824544e-008
   6.52929903206e-009             -2.394635612275e-008
   6.57991375323e-009             -2.392448712183e-008
   6.63052847441e-009             -2.412814386950e-008
   6.68114319559e-009             -2.381944455644e-008
   6.73175791677e-009             -2.384331110732e-008
   6.78237263795e-009             -2.404383321187e-008
   6.83298735913e-009             -2.421091783095e-008
   6.88360208031e-009             -2.411030082650e-008
   6.93421680149e-009             -2.401070833786e-008
   6.98483152266e-009             -2.402618493076e-008
   7.03544624384e-009             -2.415669990231e-008
   7.08606096502e-009             -2.424672936470e-008
   7.13667568620e-009             -2.434777419405e-008
   7.18729040738e-009             -2.447836344183e-008
   7.23790512856e-009             -2.447422986866e-008
   7.28851984974e-009             -2.442762858782e-008
   7.33913457092e-009             -2.443008466560e-008
   7.38974929209e-009             -2.435343159298e-008
   7.44036401327e-009             -2.441764797097e-008
   7.49097873445e-009             -2.422122873668e-008
   7.54159345563e-009             -2.435252244569e-008
   7.59220817681e-009             -2.427061917536e-008
