# Atom Manipulation               
# 
# Sample                          Ag(111)
# Data set                        -
# Creation Comment                
# Gap voltage                     -2.600e+000 V
# Gap voltage range in Volt       -10;10
# Feedback loop enabled           No
# Regulator setpoint              9.901e-012 A
# Pre-amplifier range             0;3.29703e-009
# Loop gain                       7.000e+000 %
# Z-axis offset                   1.000e-010 m
# Parameter mode                  Z before V
# Raster time                     5.000e-003 seconds
# Channel name and data unit      I(r) [A]
# Manipulation vector: start      -6.431e+000, 2.781e+000 [nm]
#                      end        -5.475e+000, 2.781e+000 [nm]
# 
# 
#              Position                               I(r)
# ---------------------             ----------------------
   0.0000000000000e+000             -1.81246136228007e-010
   9.5589231869857e-013             -1.75421019687293e-010
   1.9117846373971e-012             -1.75638395004505e-010
   2.8676769560957e-012             -1.77429121767485e-010
   3.8235692747943e-012             -1.87870059657116e-010
   4.7794615934928e-012             -1.94314443679013e-010
   5.7353539121914e-012             -1.93095769345267e-010
   6.6912462308900e-012             -1.82217722601859e-010
   7.6471385495885e-012             -1.75150453934196e-010
   8.6030308682871e-012             -1.74185469346296e-010
   9.5589231869857e-012             -1.78337717891562e-010
   1.0514815505684e-011             -1.79494031448145e-010
   1.1470707824383e-011             -1.86542329960640e-010
   1.2426600143081e-011             -1.91413939809215e-010
   1.3382492461780e-011             -1.89133331357915e-010
   1.4338384780478e-011             -1.77310582862470e-010
   1.5294277099177e-011             -1.74096382083121e-010
   1.6250169417876e-011             -1.75586881115192e-010
   1.7206061736574e-011             -1.80637609699037e-010
   1.8161954055273e-011             -1.83433200442964e-010
   1.9117846373971e-011             -1.91008587081165e-010
   2.0073738692670e-011             -1.90576613802738e-010
   2.1029631011368e-011             -1.82788305749895e-010
   2.1985523330067e-011             -1.71508210242011e-010
   2.2941415648766e-011             -1.71318189348126e-010
   2.3897307967464e-011             -1.77609080311340e-010
   2.4853200286163e-011             -1.83686945459576e-010
   2.5809092604861e-011             -1.82767396512016e-010
   2.6764984923560e-011             -1.84149942526080e-010
   2.7720877242258e-011             -1.80071376053234e-010
   2.8676769560957e-011             -1.77689049433406e-010
   2.9632661879656e-011             -1.72622651587369e-010
   3.0588554198354e-011             -1.75849796473080e-010
   3.1544446517053e-011             -1.78919045062409e-010
   3.2500338835751e-011             -1.87326463995932e-010
   3.3456231154450e-011             -1.86619469526540e-010
   3.4412123473148e-011             -1.83655921671499e-010
   3.5368015791847e-011             -1.77290458162410e-010
   3.6323908110546e-011             -1.74915103335606e-010
   3.7279800429244e-011             -1.70848641160539e-010
   3.8235692747943e-011             -1.77521302658263e-010
   3.9191585066641e-011             -1.85698454368379e-010
   4.0147477385340e-011             -1.88206865888096e-010
   4.1103369704038e-011             -1.80549936446295e-010
   4.2059262022737e-011             -1.72086026183911e-010
   4.3015154341435e-011             -1.69678021687327e-010
   4.3971046660134e-011             -1.73035235573985e-010
   4.4926938978833e-011             -1.76148293921951e-010
   4.5882831297531e-011             -1.82515433977611e-010
   4.6838723616230e-011             -1.86993168993899e-010
   4.7794615934928e-011             -1.86153851704543e-010
   4.8750508253627e-011             -1.76957897033326e-010
   4.9706400572325e-011             -1.71564649370704e-010
   5.0662292891024e-011             -1.71611761557616e-010
   5.1618185209723e-011             -1.76087347155221e-010
   5.2574077528421e-011             -1.76732765385270e-010
   5.3529969847120e-011             -1.84673362822334e-010
   5.4485862165818e-011             -1.86262277594659e-010
   5.5441754484517e-011             -1.83096867084094e-010
   5.6397646803215e-011             -1.69892671848710e-010
   5.7353539121914e-011             -1.66836786502388e-010
   5.8309431440613e-011             -1.67975387313732e-010
   5.9265323759311e-011             -1.77897412545144e-010
   6.0221216078010e-011             -1.81666266209496e-010
   6.1177108396708e-011             -1.83561278161031e-010
   6.2133000715407e-011             -1.79312448557886e-010
   6.3088893034105e-011             -1.76939660751108e-010
   6.4044785352804e-011             -1.66792870808115e-010
   6.5000677671502e-011             -1.67123179653480e-010
   6.5956569990201e-011             -1.71842080981191e-010
   6.6912462308900e-011             -1.84187726235912e-010
   6.7868354627598e-011             -1.81438252805107e-010
   6.8824246946297e-011             -1.82003595977455e-010
   6.9780139264995e-011             -1.78010920275144e-010
   7.0736031583694e-011             -1.76488296645571e-010
   7.1691923902392e-011             -1.64882660931199e-010
   7.2647816221091e-011             -1.68955724892218e-010
   7.3603708539789e-011             -1.73785305929064e-010
   7.4559600858488e-011             -1.84682114026968e-010
   7.5515493177187e-011             -1.79047489716951e-010
   7.6471385495885e-011             -1.76092273929900e-010
   7.7427277814584e-011             -1.67893950445766e-010
   7.8383170133282e-011             -1.68558391031151e-010
   7.9339062451981e-011             -1.66846742916783e-010
   8.0294954770679e-011             -1.74227604093660e-010
   8.1250847089378e-011             -1.79940206242864e-010
   8.2206739408077e-011             -1.85095955423513e-010
   8.3162631726775e-011             -1.75921748263462e-010
   8.4118524045474e-011             -1.71248595777099e-010
   8.5074416364172e-011             -1.66613752072846e-010
   8.6030308682871e-011             -1.72315453598733e-010
   8.6986201001569e-011             -1.70938253495991e-010
   8.7942093320268e-011             -1.75401891396322e-010
   8.8897985638966e-011             -1.77485247695171e-010
   8.9853877957665e-011             -1.83035499645423e-010
   9.0809770276364e-011             -1.70941608124434e-010
   9.1765662595062e-011             -1.64939835468141e-010
   9.2721554913761e-011             -1.63971341186593e-010
   9.3677447232459e-011             -1.73844365813250e-010
   9.4633339551158e-011             -1.77000607517838e-010
   9.5589231869856e-011             -1.79397029718323e-010
   9.6545124188555e-011             -1.76067119590124e-010
   9.7501016507253e-011             -1.75290060212894e-010
   9.8456908825952e-011             -1.65094691872388e-010
   9.9412801144651e-011             -1.64074054228912e-010
   1.0036869346335e-010             -1.66419433876896e-010
   1.0132458578205e-010             -1.77908574169300e-010
   1.0228047810075e-010             -1.78887339601550e-010
   1.0323637041944e-010             -1.77414344514046e-010
   1.0419226273814e-010             -1.69437954650029e-010
   1.0514815505684e-010             -1.68232170687180e-010
   1.0610404737554e-010             -1.63350343423370e-010
   1.0705993969424e-010             -1.63266390200248e-010
   1.0801583201294e-010             -1.66461987760903e-010
   1.0897172433164e-010             -1.79159216500043e-010
   1.0992761665033e-010             -1.79374652734544e-010
   1.1088350896903e-010             -1.74764019161146e-010
