# Atom Manipulation               
# 
# Sample                          Ag(111)
# Data set                        -
# Creation Comment                
# Gap voltage                     -2.600e+000 V
# Gap voltage range in Volt       -10;10
# Feedback loop enabled           No
# Regulator setpoint              9.901e-012 A
# Pre-amplifier range             0;3.29703e-009
# Loop gain                       7.000e+000 %
# Z-axis offset                   0.000e+000 m
# Parameter mode                  Z before V
# Raster time                     1.000e-002 seconds
# Channel name and data unit      I(r) [A]
# Manipulation vector: start      -1.230e+001, -1.681e+001 [nm]
#                      end        -9.993e+000, -1.681e+001 [nm]
# 
# 
#             Position                              I(r)
# --------------------             ---------------------
   0.000000000000e+000             -1.3121822694760e-009
   2.302831495047e-012             -1.3692612708991e-009
   4.605662990093e-012             -1.4530149020733e-009
   6.908494485140e-012             -1.3931137461619e-009
   9.211325980186e-012             -1.3064715757035e-009
   1.151415747523e-011             -1.4203394899337e-009
   1.381698897028e-011             -1.4730546954896e-009
   1.611982046533e-011             -1.3961504740466e-009
   1.842265196037e-011             -1.3276802337462e-009
   2.072548345542e-011             -1.4328666044666e-009
   2.302831495047e-011             -1.4021203692886e-009
   2.533114644551e-011             -1.3408656215681e-009
   2.763397794056e-011             -1.3560250416488e-009
   2.993680943561e-011             -1.4672137408038e-009
   3.223964093065e-011             -1.4096464866447e-009
   3.454247242570e-011             -1.3511521498255e-009
   3.684530392074e-011             -1.3922179022318e-009
   3.914813541579e-011             -1.4487841797872e-009
   4.145096691084e-011             -1.3634534326140e-009
   4.375379840588e-011             -1.3626306167189e-009
   4.605662990093e-011             -1.4347532567147e-009
   4.835946139598e-011             -1.4213227660746e-009
   5.066229289102e-011             -1.3489792395326e-009
   5.296512438607e-011             -1.4070331497167e-009
   5.526795588112e-011             -1.4519499249930e-009
   5.757078737616e-011             -1.3932108645745e-009
   5.987361887121e-011             -1.3383829232370e-009
   6.217645036626e-011             -1.4349901180476e-009
   6.447928186130e-011             -1.4531087994284e-009
   6.678211335635e-011             -1.3563671108850e-009
   6.908494485140e-011             -1.3612432989953e-009
   7.138777634644e-011             -1.4543908585838e-009
   7.369060784149e-011             -1.4225253059506e-009
   7.599343933654e-011             -1.3407897025650e-009
   7.829627083158e-011             -1.3956309042804e-009
   8.059910232663e-011             -1.4843100450472e-009
   8.290193382168e-011             -1.4058310151597e-009
   8.520476531672e-011             -1.3432481846240e-009
   8.750759681177e-011             -1.4533458388559e-009
   8.981042830682e-011             -1.4876484975794e-009
   9.211325980186e-011             -1.3821496996418e-009
   9.441609129691e-011             -1.3617494287536e-009
   9.671892279195e-011             -1.4548646334497e-009
   9.902175428700e-011             -1.4227882857910e-009
   1.013245857820e-010             -1.3499062991632e-009
   1.036274172771e-010             -1.4514617981515e-009
   1.059302487721e-010             -1.5139431500253e-009
   1.082330802672e-010             -1.4599173087927e-009
   1.105359117622e-010             -1.3749264230956e-009
   1.128387432573e-010             -1.4299990358322e-009
   1.151415747523e-010             -1.4323738901515e-009
   1.174444062474e-010             -1.3674044894294e-009
   1.197472377424e-010             -1.4063346086039e-009
   1.220500692375e-010             -1.5182412458399e-009
   1.243529007325e-010             -1.4664290617373e-009
   1.266557322276e-010             -1.3404941636374e-009
   1.289585637226e-010             -1.4195088394076e-009
   1.312613952177e-010             -1.4660425425228e-009
   1.335642267127e-010             -1.3931869783917e-009
   1.358670582077e-010             -1.3522470729140e-009
   1.381698897028e-010             -1.4626458944798e-009
   1.404727211978e-010             -1.4476484054614e-009
   1.427755526929e-010             -1.3795527167194e-009
   1.450783841879e-010             -1.3943019340623e-009
   1.473812156830e-010             -1.4757744823778e-009
   1.496840471780e-010             -1.4137664478507e-009
   1.519868786731e-010             -1.3341340460396e-009
   1.542897101681e-010             -1.3847310885316e-009
   1.565925416632e-010             -1.4816701320925e-009
   1.588953731582e-010             -1.3884056763691e-009
   1.611982046533e-010             -1.3584327590445e-009
   1.635010361483e-010             -1.4104663870068e-009
   1.658038676434e-010             -1.4573429699961e-009
   1.681066991384e-010             -1.3484071057325e-009
   1.704095306334e-010             -1.3842232591973e-009
   1.727123621285e-010             -1.4328155619141e-009
   1.750151936235e-010             -1.4258366266778e-009
   1.773180251186e-010             -1.3367113019044e-009
   1.796208566136e-010             -1.4217776245208e-009
   1.819236881087e-010             -1.4618908344028e-009
   1.842265196037e-010             -1.4077934344164e-009
   1.865293510988e-010             -1.3515971931048e-009
   1.888321825938e-010             -1.4668070876774e-009
   1.911350140889e-010             -1.4095781489483e-009
   1.934378455839e-010             -1.3618261599300e-009
