# Atom Manipulation               
# 
# Sample                          Ag(111)
# Data set                        -
# Creation Comment                
# Gap voltage                     -1.000e-004 V
# Gap voltage range in Volt       -1;1
# Feedback loop enabled           No
# Regulator setpoint              9.901e-012 A
# Pre-amplifier range             0;3.29703e-009
# Loop gain                       7.000e+000 %
# Z-axis offset                   -2.000e-011 m
# Parameter mode                  V before Z
# Raster time                     1.000e-002 seconds
# Channel name and data unit      I(r) [A]
# Manipulation vector: start      4.041e+000, -3.618e+000 [nm]
#                      end        3.598e+000, -6.413e+000 [nm]
# 
# 
#             Position                                 I(r)
# --------------------             ------------------------
   0.000000000000e+000              1.4156839089450975e-013
   2.829015553524e-012              5.8497964730802968e-014
   5.658031107048e-012              1.1055688520983470e-014
   8.487046660572e-012             -1.6430770525144436e-014
   1.131606221410e-011              5.4972918092255815e-014
   1.414507776762e-011             -8.1978828533041711e-014
   1.697409332114e-011             -4.4982727117941214e-014
   1.980310887467e-011             -8.9154816332941277e-014
   2.263212442819e-011              3.7908069055909299e-014
   2.546113998172e-011             -9.6964882644042921e-014
   2.829015553524e-011             -1.5128069273921764e-013
   3.111917108877e-011             -2.9058605282135001e-014
   3.394818664229e-011             -6.3366398045625712e-014
   3.677720219581e-011             -9.5587719388478096e-015
   3.960621774934e-011             -1.4963178155028050e-013
   4.243523330286e-011             -7.0035737156187052e-014
   4.526424885639e-011             -2.7055040010661118e-014
   4.809326440991e-011             -1.7871648691641172e-013
   5.092227996343e-011             -9.0905057259746048e-014
   5.375129551696e-011             -1.2691242608110769e-013
   5.658031107048e-011             -7.4778275948204534e-014
   5.940932662401e-011             -1.5089993857268466e-013
   6.223834217753e-011             -8.9079586679069841e-014
   6.506735773106e-011             -8.3196320686512042e-014
   6.789637328458e-011             -1.8003530880774971e-013
   7.072538883810e-011             -1.0713316830915520e-013
   7.355440439163e-011             -1.5997816190619046e-013
   7.638341994515e-011             -8.1648739235442572e-014
   7.921243549868e-011             -2.1269572568136191e-013
   8.204145105220e-011             -1.1750411345000275e-013
   8.487046660572e-011             -3.3039635741086555e-014
   8.769948215925e-011             -2.8787932058103698e-013
   9.052849771277e-011             -6.0171440704677712e-014
   9.335751326630e-011             -1.6963826358290592e-013
   9.618652881982e-011             -7.1607883392194145e-014
   9.901554437335e-011             -2.5453416032728891e-013
   1.018445599269e-010             -1.1877227047240691e-013
   1.046735754804e-010             -1.7998464393881588e-013
   1.075025910339e-010             -1.7514077540893074e-013
   1.103316065874e-010             -1.9078700811513024e-013
   1.131606221410e-010             -1.9864773929516573e-013
   1.159896376945e-010             -1.1628662129653241e-013
   1.188186532480e-010             -1.6618998189728881e-013
   1.216476688015e-010             -2.3561774062626997e-013
   1.244766843551e-010             -1.2954853456472506e-013
   1.273056999086e-010             -1.9306846251621083e-013
   1.301347154621e-010             -1.8766728042805368e-013
   1.329637310156e-010             -2.7076380667575666e-013
   1.357927465692e-010             -5.0308679552226962e-014
   1.386217621227e-010             -2.0564563240426758e-013
   1.414507776762e-010             -1.6002882677512427e-013
   1.442797932297e-010             -2.2392797359408442e-013
   1.471088087833e-010             -1.4653815394720016e-013
   1.499378243368e-010             -1.4336929669024834e-013
   1.527668398903e-010             -2.8894481812770586e-013
   1.555958554438e-010             -8.2714236782111427e-014
   1.584248709974e-010             -3.3316757221163978e-013
   1.612538865509e-010             -1.6246227578300637e-013
   1.640829021044e-010             -1.8482851246870103e-013
   1.669119176579e-010             -2.5319077365101332e-013
   1.697409332114e-010             -1.6400985723407585e-013
   1.725699487650e-010             -2.3249954823825202e-013
   1.753989643185e-010             -1.6400985723407585e-013
   1.782279798720e-010             -2.7228528804282991e-013
   1.810569954255e-010             -1.7942733038054384e-013
   1.838860109791e-010             -2.6769474385761391e-013
   1.867150265326e-010             -1.8411766900456889e-013
   1.895440420861e-010             -1.7458346185065870e-013
   1.923730576396e-010             -2.4898098363233027e-013
   1.952020731932e-010             -1.6497248974381846e-013
   1.980310887467e-010             -1.9055824855539875e-013
   2.008601043002e-010             -2.2935525576623786e-013
   2.036891198537e-010             -2.9376258657359480e-013
