# Atom Manipulation               
# 
# Sample                          Ag(111)
# Data set                        -
# Creation Comment                
# Gap voltage                     -1.000e-004 V
# Gap voltage range in Volt       -1;1
# Feedback loop enabled           No
# Regulator setpoint              9.901e-012 A
# Pre-amplifier range             0;3.29703e-009
# Loop gain                       7.000e+000 %
# Z-axis offset                   -7.000e-010 m
# Parameter mode                  V before Z
# Raster time                     1.000e-002 seconds
# Channel name and data unit      I(r) [A]
# Manipulation vector: start      5.005e+000, -5.850e+000 [nm]
#                      end        -4.121e+000, -9.006e+000 [nm]
# 
# 
#             Position                                I(r)
# --------------------             -----------------------
   0.000000000000e+000             -3.297029623134746e-009
   9.656792106476e-011             -3.297029623134746e-009
   1.931358421295e-010             -3.297029623134746e-009
   2.897037631943e-010             -3.297029623134746e-009
   3.862716842590e-010             -3.297029623134746e-009
   4.828396053238e-010             -3.297029623134746e-009
   5.794075263886e-010             -3.297029623134746e-009
   6.759754474533e-010             -3.297029623134746e-009
   7.725433685181e-010             -3.297029623134746e-009
   8.691112895828e-010             -3.295096009158980e-009
   9.656792106476e-010             -3.297029623134746e-009
   1.062247131712e-009             -3.297029623134746e-009
   1.158815052777e-009             -3.297029623134746e-009
   1.255382973842e-009             -3.297029623134746e-009
   1.351950894907e-009             -3.297029623134746e-009
   1.448518815971e-009             -3.297029623134746e-009
   1.545086737036e-009             -3.297029623134746e-009
   1.641654658101e-009             -3.297029623134746e-009
   1.738222579166e-009             -3.297029623134746e-009
   1.834790500230e-009             -3.297029623134746e-009
   1.931358421295e-009             -3.297029623134746e-009
   2.027926342360e-009             -3.297029623134746e-009
   2.124494263425e-009             -3.297029623134746e-009
   2.221062184489e-009             -3.297029623134746e-009
   2.317630105554e-009             -3.297029623134746e-009
   2.414198026619e-009             -3.297029623134746e-009
   2.510765947684e-009             -3.297029623134746e-009
   2.607333868749e-009             -3.297029623134746e-009
   2.703901789813e-009             -3.297029623134746e-009
   2.800469710878e-009             -3.297029623134746e-009
   2.897037631943e-009             -3.297029623134746e-009
   2.993605553008e-009             -3.297029623134746e-009
   3.090173474072e-009             -3.297029623134746e-009
   3.186741395137e-009             -3.297029623134746e-009
   3.283309316202e-009             -3.297029623134746e-009
   3.379877237267e-009             -3.297029623134746e-009
   3.476445158331e-009             -3.297029623134746e-009
   3.573013079396e-009             -3.297029623134746e-009
   3.669581000461e-009             -3.297029623134746e-009
   3.766148921526e-009             -3.297029623134746e-009
   3.862716842590e-009             -3.297029623134746e-009
   3.959284763655e-009             -3.297029623134746e-009
   4.055852684720e-009             -3.297029623134746e-009
   4.152420605785e-009             -3.297029623134746e-009
   4.248988526849e-009             -3.297029623134746e-009
   4.345556447914e-009             -3.297029623134746e-009
   4.442124368979e-009             -3.297029623134746e-009
   4.538692290044e-009             -3.297029623134746e-009
   4.635260211108e-009             -3.297029623134746e-009
   4.731828132173e-009             -3.297029623134746e-009
   4.828396053238e-009             -3.297029623134746e-009
   4.924963974303e-009             -3.297029623134746e-009
   5.021531895368e-009             -3.297029623134746e-009
   5.118099816432e-009             -3.297029623134746e-009
   5.214667737497e-009             -3.297029623134746e-009
   5.311235658562e-009             -3.297029623134746e-009
   5.407803579627e-009             -3.297029623134746e-009
   5.504371500691e-009             -3.297029623134746e-009
   5.600939421756e-009             -3.297029623134746e-009
   5.697507342821e-009             -3.297029623134746e-009
   5.794075263886e-009             -3.297029623134746e-009
   5.890643184950e-009             -3.297029623134746e-009
   5.987211106015e-009             -3.297029623134746e-009
   6.083779027080e-009             -3.297029623134746e-009
   6.180346948145e-009             -3.297029623134746e-009
   6.276914869209e-009             -3.297029623134746e-009
   6.373482790274e-009             -3.297029623134746e-009
   6.470050711339e-009             -3.297029623134746e-009
   6.566618632404e-009             -3.297029623134746e-009
   6.663186553468e-009             -3.297029623134746e-009
   6.759754474533e-009             -3.297029623134746e-009
   6.856322395598e-009             -3.297029623134746e-009
   6.952890316663e-009             -3.297029623134746e-009
   7.049458237727e-009             -3.297029623134746e-009
   7.146026158792e-009             -3.297029623134746e-009
   7.242594079857e-009             -3.297029623134746e-009
   7.339162000922e-009             -3.297029623134746e-009
   7.435729921987e-009             -3.297029623134746e-009
   7.532297843051e-009             -3.297029623134746e-009
   7.628865764116e-009             -3.297029623134746e-009
   7.725433685181e-009             -3.297029623134746e-009
   7.822001606246e-009             -3.297029623134746e-009
   7.918569527310e-009             -3.297029623134746e-009
   8.015137448375e-009             -3.297029623134746e-009
   8.111705369440e-009             -3.297029623134746e-009
   8.208273290505e-009             -3.297029623134746e-009
   8.304841211569e-009             -3.297029623134746e-009
   8.401409132634e-009             -3.297029623134746e-009
   8.497977053699e-009             -3.297029623134746e-009
   8.594544974764e-009             -3.297029623134746e-009
   8.691112895828e-009             -3.297029623134746e-009
   8.787680816893e-009             -3.297029623134746e-009
   8.884248737958e-009             -3.297029623134746e-009
   8.980816659023e-009             -3.297029623134746e-009
   9.077384580087e-009             -3.297029623134746e-009
   9.173952501152e-009             -3.297029623134746e-009
   9.270520422217e-009             -3.297029623134746e-009
   9.367088343282e-009             -3.297029623134746e-009
   9.463656264346e-009             -3.297029623134746e-009
   9.560224185411e-009             -3.297029623134746e-009
