# Atom Manipulation               
# 
# Sample                          Ag(111)
# Data set                        -
# Creation Comment                
# Gap voltage                     -1.000e-004 V
# Gap voltage range in Volt       -1;1
# Feedback loop enabled           No
# Regulator setpoint              1.000e-009 A
# Pre-amplifier range             0;3.33e-007
# Loop gain                       7.000e+000 %
# Z-axis offset                   -8.000e-010 m
# Parameter mode                  V before Z
# Raster time                     1.000e-002 seconds
# Channel name and data unit      I(r) [A]
# Manipulation vector: start      -1.830e+001, 1.650e+001 [nm]
#                      end        -2.574e+001, -7.320e+000 [nm]
# 
# 
#            Position                             I(r)
# -------------------             --------------------
   0.00000000000e+000             -2.331524275458e-008
   1.24774396412e-010             -2.330205833553e-008
   2.49548792824e-010             -2.336908682101e-008
   3.74323189236e-010             -2.324393726062e-008
   4.99097585648e-010             -2.330079827567e-008
   6.23871982060e-010             -2.330168431826e-008
   7.48646378473e-010             -2.331338073160e-008
   8.73420774885e-010             -2.333998263270e-008
   9.98195171297e-010             -2.334037959962e-008
   1.12296956771e-009             -2.325612538572e-008
   1.24774396412e-009             -2.327522585247e-008
   1.37251836053e-009             -2.338953449425e-008
   1.49729275695e-009             -2.336279675604e-008
   1.62206715336e-009             -2.333917086635e-008
   1.74684154977e-009             -2.323820558545e-008
   1.87161594618e-009             -2.339138101072e-008
   1.99639034259e-009             -2.336816216719e-008
   2.12116473901e-009             -2.327939524570e-008
   2.24593913542e-009             -2.329714866101e-008
   2.37071353183e-009             -2.337424739103e-008
   2.49548792824e-009             -2.330228364527e-008
   2.62026232465e-009             -2.339544790584e-008
   2.74503672107e-009             -2.335281117710e-008
   2.86981111748e-009             -2.344712276512e-008
   2.99458551389e-009             -2.336312719999e-008
   3.11935991030e-009             -2.351598753276e-008
   3.24413430671e-009             -2.349158057963e-008
   3.36890870313e-009             -2.359870784165e-008
   3.49368309954e-009             -2.353659399277e-008
   3.61845749595e-009             -2.361342120362e-008
   3.74323189236e-009             -2.367195971406e-008
   3.86800628877e-009             -2.381689869590e-008
   3.99278068519e-009             -2.368099520849e-008
   4.11755508160e-009             -2.377325032176e-008
   4.24232947801e-009             -2.376591790848e-008
   4.36710387442e-009             -2.380814495495e-008
   4.49187827084e-009             -2.371875312069e-008
   4.61665266725e-009             -2.375292561522e-008
   4.74142706366e-009             -2.369350354324e-008
   4.86620146007e-009             -2.375938718231e-008
   4.99097585648e-009             -2.368416846284e-008
   5.11575025290e-009             -2.374941183768e-008
   5.24052464931e-009             -2.362847260773e-008
   5.36529904572e-009             -2.368682674565e-008
   5.49007344213e-009             -2.371624075424e-008
   5.61484783854e-009             -2.378626571974e-008
   5.73962223496e-009             -2.364227945851e-008
   5.86439663137e-009             -2.368962861883e-008
   5.98917102778e-009             -2.387506598024e-008
   6.11394542419e-009             -2.392788041371e-008
   6.23871982060e-009             -2.373679604274e-008
   6.36349421702e-009             -2.383234210486e-008
   6.48826861343e-009             -2.395838809719e-008
   6.61304300984e-009             -2.406066972662e-008
   6.73781740625e-009             -2.398815798043e-008
   6.86259180266e-009             -2.405624680178e-008
   6.98736619908e-009             -2.408945618633e-008
   7.11214059549e-009             -2.409414814930e-008
   7.23691499190e-009             -2.405369334305e-008
   7.36168938831e-009             -2.408097396455e-008
   7.48646378473e-009             -2.403225464808e-008
   7.61123818114e-009             -2.398779171642e-008
   7.73601257755e-009             -2.399251949945e-008
