# Atom Manipulation               
# 
# Sample                          Ag(111)
# Data set                        -
# Creation Comment                
# Gap voltage                     -1.000e-004 V
# Gap voltage range in Volt       -1;1
# Feedback loop enabled           No
# Regulator setpoint              1.000e-009 A
# Pre-amplifier range             0;3.33e-007
# Loop gain                       7.000e+000 %
# Z-axis offset                   -8.000e-010 m
# Parameter mode                  V before Z
# Raster time                     1.000e-002 seconds
# Channel name and data unit      I(r) [A]
# Manipulation vector: start      -2.592e+001, -1.092e+001 [nm]
#                      end        -2.544e+001, -1.032e+001 [nm]
# 
# 
#              Position                              I(r)
# ---------------------             ---------------------
   0.0000000000000e+000             -2.1431598722263e-008
   3.8418745424597e-012             -2.1427877622540e-008
   7.6837490849194e-012             -2.1527088495712e-008
   1.1525623627379e-011             -2.1613778473848e-008
   1.5367498169839e-011             -2.1573300562887e-008
   1.9209372712299e-011             -2.1572230147777e-008
   2.3051247254758e-011             -2.1630684147684e-008
   2.6893121797218e-011             -2.1611301927460e-008
   3.0734996339678e-011             -2.1562818155034e-008
   3.4576870882137e-011             -2.1602443052303e-008
   3.8418745424597e-011             -2.1728176588255e-008
   4.2260619967057e-011             -2.1663386469010e-008
   4.6102494509516e-011             -2.1580074741429e-008
   4.9944369051976e-011             -2.1638275209726e-008
   5.3786243594436e-011             -2.1676952503528e-008
   5.7628118136896e-011             -2.1609340042488e-008
   6.1469992679355e-011             -2.1655846733551e-008
   6.5311867221815e-011             -2.1711601358371e-008
   6.9153741764275e-011             -2.1711898463304e-008
   7.2995616306734e-011             -2.1621069794849e-008
   7.6837490849194e-011             -2.1675026593683e-008
   8.0679365391654e-011             -2.1703195893873e-008
   8.4521239934114e-011             -2.1703521065608e-008
   8.8363114476573e-011             -2.1671277117028e-008
   9.2204989019033e-011             -2.1709739490456e-008
   9.6046863561493e-011             -2.1730988695747e-008
   9.9888738103952e-011             -2.1666280450930e-008
   1.0373061264641e-010             -2.1637668129448e-008
   1.0757248718887e-010             -2.1735847043682e-008
   1.1141436173133e-010             -2.1721026066461e-008
   1.1525623627379e-010             -2.1644667617733e-008
   1.1909811081625e-010             -2.1695259036425e-008
   1.2293998535871e-010             -2.1712871652530e-008
   1.2678185990117e-010             -2.1694081006063e-008
   1.3062373444363e-010             -2.1637404363535e-008
   1.3446560898609e-010             -2.1708935322303e-008
   1.3830748352855e-010             -2.1762623083006e-008
   1.4214935807101e-010             -2.1696426987548e-008
   1.4599123261347e-010             -2.1715586379072e-008
   1.4983310715593e-010             -2.1721412799082e-008
   1.5367498169839e-010             -2.1737954845012e-008
   1.5751685624085e-010             -2.1625987067562e-008
   1.6135873078331e-010             -2.1696593372513e-008
   1.6520060532577e-010             -2.1768083394067e-008
   1.6904247986823e-010             -2.1741220208098e-008
   1.7288435441069e-010             -2.1617376761928e-008
   1.7672622895315e-010             -2.1729920761680e-008
   1.8056810349561e-010             -2.1735391151979e-008
   1.8440997803807e-010             -2.1686705174526e-008
   1.8825185258053e-010             -2.1646042891036e-008
   1.9209372712299e-010             -2.1730714695529e-008
   1.9593560166545e-010             -2.1677341872257e-008
   1.9977747620790e-010             -2.1636315960862e-008
   2.0361935075036e-010             -2.1651239281118e-008
   2.0746122529282e-010             -2.1768162787452e-008
   2.1130309983528e-010             -2.1675438912063e-008
   2.1514497437774e-010             -2.1884182108577e-008
   2.1898684892020e-010             -2.1978209462079e-008
   2.2282872346266e-010             -2.2020882165951e-008
   2.2667059800512e-010             -2.1952831800772e-008
