# Atom Manipulation               
# 
# Sample                          Ag(111)
# Data set                        -
# Creation Comment                
# Gap voltage                     -1.000e-003 V
# Gap voltage range in Volt       -10;10
# Feedback loop enabled           No
# Regulator setpoint              1.000e-009 A
# Pre-amplifier range             0;3.33e-007
# Loop gain                       7.000e+000 %
# Z-axis offset                   -4.000e-010 m
# Parameter mode                  V before Z
# Raster time                     1.000e-003 seconds
# Channel name and data unit      I(r) [A]
# Manipulation vector: start      1.657e-001, 5.735e-001 [nm]
#                      end        9.304e-001, 2.460e+000 [nm]
# 
# 
#             Position                            I(r)
# --------------------             -------------------
   0.000000000000e+000             -4.42197335980e-009
   2.035409715665e-012             -4.46463396858e-009
   4.070819431330e-012             -4.48802865605e-009
   6.106229146995e-012             -4.47035029230e-009
   8.141638862660e-012             -4.53060987145e-009
   1.017704857832e-011             -4.48593791189e-009
   1.221245829399e-011             -4.54365690273e-009
   1.424786800965e-011             -4.53119214130e-009
   1.628327772532e-011             -4.53034533021e-009
   1.831868744098e-011             -4.66301167641e-009
   2.035409715665e-011             -4.62323559057e-009
   2.238950687231e-011             -4.64300454341e-009
   2.442491658798e-011             -4.80938656205e-009
   2.646032630364e-011             -4.77096016375e-009
   2.849573601931e-011             -4.83802105785e-009
   3.053114573497e-011             -4.82023693963e-009
   3.256655545064e-011             -4.96396548249e-009
   3.460196516630e-011             -4.88973266759e-009
   3.663737488197e-011             -4.90921056304e-009
   3.867278459763e-011             -4.95306207260e-009
   4.070819431330e-011             -5.03695451938e-009
   4.274360402896e-011             -5.13257051590e-009
   4.477901374463e-011             -5.36209679170e-009
   4.681442346029e-011             -5.30292235885e-009
   4.884983317596e-011             -5.37011552358e-009
   5.088524289162e-011             -5.37212687435e-009
   5.292065260729e-011             -5.46554637225e-009
   5.495606232295e-011             -5.50407868008e-009
   5.699147203862e-011             -5.51609359736e-009
   5.902688175428e-011             -5.63004946580e-009
   6.106229146995e-011             -5.64629874862e-009
   6.309770118561e-011             -5.60281753477e-009
   6.513311090128e-011             -5.63558064166e-009
   6.716852061694e-011             -5.62713842671e-009
   6.920393033261e-011             -5.73889779652e-009
   7.123934004827e-011             -5.68943571772e-009
