# Atom Manipulation               
# 
# Sample                          Ag(111)
# Data set                        -
# Creation Comment                
# Gap voltage                     -2.600e+000 V
# Gap voltage range in Volt       -10;10
# Feedback loop enabled           No
# Regulator setpoint              9.901e-012 A
# Pre-amplifier range             0;3.29703e-009
# Loop gain                       7.000e+000 %
# Z-axis offset                   5.000e-011 m
# Parameter mode                  Z before V
# Raster time                     5.000e-003 seconds
# Channel name and data unit      I(r) [A]
# Manipulation vector: start      -6.431e+000, 2.781e+000 [nm]
#                      end        -5.475e+000, 2.781e+000 [nm]
# 
# 
#              Position                               I(r)
# ---------------------             ----------------------
   0.0000000000000e+000             -2.58627907837226e-010
   9.5589231869857e-013             -2.62461743034233e-010
   1.9117846373971e-012             -2.85390709813278e-010
   2.8676769560957e-012             -2.94110199774649e-010
   3.8235692747943e-012             -2.89067225986349e-010
   4.7794615934928e-012             -2.70439599108851e-010
   5.7353539121914e-012             -2.63073727056683e-010
   6.6912462308900e-012             -2.60122546035558e-010
   7.6471385495885e-012             -2.65582820249182e-010
   8.6030308682871e-012             -2.70460770882869e-010
   9.5589231869857e-012             -2.84966019993586e-010
   1.0514815505684e-011             -2.89565963279638e-010
   1.1470707824383e-011             -2.82243796585771e-010
   1.2426600143081e-011             -2.60606558275577e-010
   1.3382492461780e-011             -2.58198186842518e-010
   1.4338384780478e-011             -2.62831826872309e-010
   1.5294277099177e-011             -2.71032927712440e-010
   1.6250169417876e-011             -2.73311543345561e-010
   1.7206061736574e-011             -2.85232079643946e-010
   1.8161954055273e-011             -2.83750961289123e-010
   1.9117846373971e-011             -2.70564480334278e-010
   2.0073738692670e-011             -2.52151345482360e-010
   2.1029631011368e-011             -2.56953728696382e-010
   2.1985523330067e-011             -2.67924008530736e-010
   2.2941415648766e-011             -2.77391210627831e-010
   2.3897307967464e-011             -2.75428594852848e-010
   2.4853200286163e-011             -2.80906006074564e-010
   2.5809092604861e-011             -2.72327798938464e-010
   2.6764984923560e-011             -2.61598267814190e-010
   2.7720877242258e-011             -2.52453249759841e-010
   2.8676769560957e-011             -2.59203417759940e-010
   2.9632661879656e-011             -2.69618257100873e-010
   3.0588554198354e-011             -2.77779268211986e-010
   3.1544446517053e-011             -2.71502317764224e-010
   3.2500338835751e-011             -2.66650203143095e-010
   3.3456231154450e-011             -2.62909018638377e-010
