# Atom Manipulation               
# 
# Sample                          Ag(111)
# Data set                        -
# Creation Comment                
# Gap voltage                     -1.000e-003 V
# Gap voltage range in Volt       -10;10
# Feedback loop enabled           No
# Regulator setpoint              1.000e-009 A
# Pre-amplifier range             0;3.33e-007
# Loop gain                       7.000e+000 %
# Z-axis offset                   -4.000e-010 m
# Parameter mode                  V before Z
# Raster time                     1.000e-003 seconds
# Channel name and data unit      I(r) [A]
# Manipulation vector: start      3.225e+000, 2.065e+000 [nm]
#                      end        -2.549e-001, 3.824e-001 [nm]
# 
# 
#             Position                            I(r)
# --------------------             -------------------
   0.000000000000e+000             -5.64351998015e-009
   3.864832217182e-012             -5.63145218564e-009
   7.729664434364e-012             -5.63838577122e-009
   1.159449665155e-011             -5.56611142986e-009
   1.545932886873e-011             -5.37395292220e-009
   1.932416108591e-011             -5.31946254400e-009
   2.318899330309e-011             -5.19526492890e-009
   2.705382552027e-011             -5.26483989518e-009
   3.091865773746e-011             -5.35193443843e-009
   3.478348995464e-011             -5.36130285785e-009
   3.864832217182e-011             -5.46681666641e-009
   4.251315438900e-011             -5.55579028982e-009
   4.637798660618e-011             -5.52003675045e-009
   5.024281882337e-011             -5.55092077719e-009
   5.410765104055e-011             -5.59559273675e-009
   5.797248325773e-011             -5.57283335142e-009
   6.183731547491e-011             -5.57937012514e-009
   6.570214769209e-011             -5.52435050939e-009
   6.956697990928e-011             -5.70700817194e-009
   7.343181212646e-011             -5.83702802028e-009
   7.729664434364e-011             -5.91912078029e-009
   8.116147656082e-011             -6.09100745864e-009
   8.502630877800e-011             -6.07139729256e-009
   8.889114099519e-011             -5.97948626898e-009
   9.275597321237e-011             -5.94770239886e-009
   9.662080542955e-011             -5.93547581758e-009
   1.004856376467e-010             -5.98604940377e-009
   1.043504698639e-010             -6.00777683016e-009
   1.082153020811e-010             -6.05136379848e-009
   1.120801342983e-010             -5.96625408984e-009
   1.159449665155e-010             -6.03106545302e-009
   1.198097987326e-010             -5.99398874227e-009
   1.236746309498e-010             -5.94582347377e-009
   1.275394631670e-010             -5.81826482036e-009
   1.314042953842e-010             -5.78304051854e-009
   1.352691276014e-010             -5.67585944890e-009
   1.391339598186e-010             -5.49092589434e-009
   1.429987920357e-010             -5.39147234412e-009
   1.468636242529e-010             -5.33920513576e-009
   1.507284564701e-010             -5.38501511886e-009
   1.545932886873e-010             -5.32372342570e-009
   1.584581209045e-010             -5.42116547008e-009
   1.623229531216e-010             -5.38146877762e-009
   1.661877853388e-010             -5.33642636729e-009
   1.700526175560e-010             -5.12621904511e-009
   1.739174497732e-010             -5.08723689311e-009
   1.777822819904e-010             -5.22609592334e-009
   1.816471142076e-010             -5.27240878289e-009
   1.855119464247e-010             -5.35312533921e-009
   1.893767786419e-010             -5.29699421607e-009
   1.932416108591e-010             -5.28725534587e-009
   1.971064430763e-010             -5.39173704043e-009
   2.009712752935e-010             -5.51802539968e-009
   2.048361075106e-010             -5.67845306952e-009
   2.087009397278e-010             -5.68872117726e-009
   2.125657719450e-010             -5.59313154181e-009
   2.164306041622e-010             -5.45218192250e-009
   2.202954363794e-010             -5.50998030672e-009
   2.241602685966e-010             -5.61824636760e-009
   2.280251008137e-010             -5.85711454667e-009
   2.318899330309e-010             -6.00436291461e-009
   2.357547652481e-010             -6.02582548962e-009
   2.396195974653e-010             -5.94452666346e-009
