# Atom Manipulation               
# 
# Sample                          Ag(111)
# Data set                        -
# Creation Comment                
# Gap voltage                     -2.500e+000 V
# Gap voltage range in Volt       -10;10
# Feedback loop enabled           No
# Regulator setpoint              1.000e-009 A
# Pre-amplifier range             0;3.33e-007
# Loop gain                       7.000e+000 %
# Z-axis offset                   3.000e-010 m
# Parameter mode                  Z before V
# Raster time                     5.000e-003 seconds
# Channel name and data unit      I(r) [A]
# Manipulation vector: start      5.648e-001, 1.169e+001 [nm]
#                      end        1.130e+000, 1.130e+001 [nm]
# 
# 
#              Position                                I(r)
# ---------------------             -----------------------
   6.7325931510183e-011              3.622974460760750e-011
   6.8012930811308e-011              3.743661709748949e-011
   6.8699930112432e-011              3.519763060366884e-011
   6.9386929413556e-011              3.578517266510568e-011
   7.0073928714681e-011              3.353564173735056e-011
   7.0760928015805e-011              3.338212718448108e-011
   7.1447927316929e-011              3.755307106638341e-011
   7.2134926618054e-011              3.625626075764859e-011
   7.2821925919178e-011              3.356215788739165e-011
   7.3508925220302e-011              3.458899967436307e-011
   7.4195924521427e-011              3.700258958892214e-011
   7.4882923822551e-011              3.709252740777497e-011
   7.5569923123675e-011              3.744188931445673e-011
   7.6256922424800e-011              3.692846842097102e-011
   7.6943921725924e-011              3.511823721875049e-011
   7.7630921027048e-011              3.566871869621176e-011
   7.8317920328173e-011              3.655259036424816e-011
   7.9004919629297e-011              3.292701080804478e-011
   7.9691918930421e-011              3.533532850563662e-011
   8.0378918231545e-011              3.747894989843229e-011
   8.1065917532670e-011              3.761122051822792e-011
   8.1752916833794e-011              3.797112685884415e-011
   8.2439916134918e-011              3.604986896990185e-011
   8.3126915436043e-011              3.755307106638341e-011
   8.3813914737167e-011              3.576935601420398e-011
   8.4500914038291e-011              3.431375893563244e-011
   8.5187913339416e-011              3.720370915970165e-011
   8.5874912640540e-011              3.605514118686908e-011
   8.6561911941664e-011              3.667974383228148e-011
   8.7248911242789e-011              3.540402239141560e-011
   8.7935910543913e-011              3.433484780350137e-011
   8.8622909845037e-011              3.676968165113430e-011
   8.9309909146162e-011              3.795531020794244e-011
   8.9996908447286e-011              3.652095706244476e-011
   9.0683907748410e-011              3.515002558575881e-011
   9.1370907049535e-011              3.746297818232567e-011
   9.2057906350659e-011              3.549411527547334e-011
   9.2744905651783e-011              3.567926313014623e-011
   9.3431904952907e-011              3.690722448789716e-011
   9.4118904254032e-011              3.633038192559972e-011
   9.4805903555156e-011              3.766409775310518e-011
   9.5492902856280e-011              3.556823644342447e-011
   9.6179902157405e-011              3.563165811223619e-011
