# Atom Manipulation               
# 
# Sample                          Ag(111)
# Data set                        -
# Creation Comment                
# Gap voltage                     -1.000e-004 V
# Gap voltage range in Volt       -1;1
# Feedback loop enabled           No
# Regulator setpoint              9.901e-012 A
# Pre-amplifier range             0;3.29703e-009
# Loop gain                       7.000e+000 %
# Z-axis offset                   -7.000e-010 m
# Parameter mode                  V before Z
# Raster time                     1.000e-002 seconds
# Channel name and data unit      I(r) [A]
# Manipulation vector: start      4.905e+000, 1.307e+000 [nm]
#                      end        4.724e+000, -8.785e+000 [nm]
# 
# 
#             Position                                I(r)
# --------------------             -----------------------
   0.000000000000e+000             -3.288759828408836e-009
   1.009302650941e-010             -3.297029623134746e-009
   2.018605301882e-010             -3.297029623134746e-009
   3.027907952823e-010             -3.297029623134746e-009
   4.037210603764e-010             -3.297029623134746e-009
   5.046513254705e-010             -3.297029623134746e-009
   6.055815905646e-010             -3.297029623134746e-009
   7.065118556587e-010             -3.297029623134746e-009
   8.074421207528e-010             -3.297029623134746e-009
   9.083723858469e-010             -3.297029623134746e-009
   1.009302650941e-009             -3.297029623134746e-009
   1.110232916035e-009             -3.297029623134746e-009
   1.211163181129e-009             -3.297029623134746e-009
   1.312093446223e-009             -3.297029623134746e-009
   1.413023711317e-009             -3.297029623134746e-009
   1.513953976412e-009             -3.297029623134746e-009
   1.614884241506e-009             -3.297029623134746e-009
   1.715814506600e-009             -3.297029623134746e-009
   1.816744771694e-009             -3.297029623134746e-009
   1.917675036788e-009             -3.297029623134746e-009
   2.018605301882e-009             -3.297029623134746e-009
   2.119535566976e-009             -3.297029623134746e-009
   2.220465832070e-009             -3.297029623134746e-009
   2.321396097164e-009             -3.297029623134746e-009
   2.422326362258e-009             -3.297029623134746e-009
   2.523256627353e-009             -3.297029623134746e-009
   2.624186892447e-009             -3.297029623134746e-009
   2.725117157541e-009             -3.297029623134746e-009
   2.826047422635e-009             -3.297029623134746e-009
   2.926977687729e-009             -3.297029623134746e-009
   3.027907952823e-009             -3.297029623134746e-009
   3.128838217917e-009             -3.297029623134746e-009
   3.229768483011e-009             -3.297029623134746e-009
   3.330698748105e-009             -3.297029623134746e-009
   3.431629013199e-009             -3.297029623134746e-009
   3.532559278293e-009             -3.296626264760173e-009
   3.633489543388e-009             -3.297029623134746e-009
   3.734419808482e-009             -3.297029623134746e-009
   3.835350073576e-009             -3.297029623134746e-009
   3.936280338670e-009             -3.297029623134746e-009
   4.037210603764e-009             -3.297029623134746e-009
   4.138140868858e-009             -3.297029623134746e-009
   4.239071133952e-009             -3.297029623134746e-009
   4.340001399046e-009             -3.297029623134746e-009
   4.440931664140e-009             -3.297029623134746e-009
   4.541861929235e-009             -3.297029623134746e-009
   4.642792194329e-009             -3.297029623134746e-009
   4.743722459423e-009             -3.297029623134746e-009
   4.844652724517e-009             -3.297029623134746e-009
   4.945582989611e-009             -3.297029623134746e-009
   5.046513254705e-009             -3.297029623134746e-009
   5.147443519799e-009             -3.297029623134746e-009
   5.248373784893e-009             -3.297029623134746e-009
   5.349304049987e-009             -3.297029623134746e-009
   5.450234315081e-009             -3.297029623134746e-009
   5.551164580176e-009             -3.297029623134746e-009
   5.652094845270e-009             -3.297029623134746e-009
   5.753025110364e-009             -3.297029623134746e-009
   5.853955375458e-009             -3.297029623134746e-009
   5.954885640552e-009             -3.297029623134746e-009
   6.055815905646e-009             -3.297029623134746e-009
   6.156746170740e-009             -3.297029623134746e-009
   6.257676435834e-009             -3.297029623134746e-009
   6.358606700928e-009             -3.297029623134746e-009
   6.459536966022e-009             -3.297029623134746e-009
   6.560467231117e-009             -3.297029623134746e-009
   6.661397496211e-009             -3.297029623134746e-009
   6.762327761305e-009             -3.297029623134746e-009
   6.863258026399e-009             -3.297029623134746e-009
   6.964188291493e-009             -3.297029623134746e-009
   7.065118556587e-009             -3.297029623134746e-009
   7.166048821681e-009             -3.297029623134746e-009
   7.266979086775e-009             -3.297029623134746e-009
   7.367909351869e-009             -3.297029623134746e-009
   7.468839616963e-009             -3.297029623134746e-009
   7.569769882058e-009             -3.297029623134746e-009
   7.670700147152e-009             -3.297029623134746e-009
   7.771630412246e-009             -3.297029623134746e-009
   7.872560677340e-009             -3.297029623134746e-009
   7.973490942434e-009             -3.297029623134746e-009
   8.074421207528e-009             -3.297029623134746e-009
   8.175351472622e-009             -3.297029623134746e-009
   8.276281737716e-009             -3.297029623134746e-009
   8.377212002810e-009             -3.297029623134746e-009
   8.478142267904e-009             -3.297029623134746e-009
   8.579072532999e-009             -3.297029623134746e-009
   8.680002798093e-009             -3.297029623134746e-009
   8.780933063187e-009             -3.297029623134746e-009
   8.881863328281e-009             -3.297029623134746e-009
   8.982793593375e-009             -3.297029623134746e-009
   9.083723858469e-009             -3.297029623134746e-009
   9.184654123563e-009             -3.297029623134746e-009
   9.285584388657e-009             -3.297029623134746e-009
   9.386514653751e-009             -3.297029623134746e-009
   9.487444918845e-009             -3.297029623134746e-009
   9.588375183939e-009             -3.297029623134746e-009
   9.689305449034e-009             -3.297029623134746e-009
   9.790235714128e-009             -3.297029623134746e-009
   9.891165979222e-009             -3.297029623134746e-009
   9.992096244316e-009             -3.297029623134746e-009
