# Atom Manipulation               
# 
# Sample                          Ag(111)
# Data set                        -
# Creation Comment                
# Gap voltage                     -2.600e+000 V
# Gap voltage range in Volt       -10;10
# Feedback loop enabled           No
# Regulator setpoint              9.901e-012 A
# Pre-amplifier range             0;3.29703e-009
# Loop gain                       7.000e+000 %
# Z-axis offset                   -2.000e-011 m
# Parameter mode                  Z before V
# Raster time                     1.000e-002 seconds
# Channel name and data unit      I(r) [A]
# Manipulation vector: start      1.373e+001, -8.125e+000 [nm]
#                      end        1.421e+001, -7.300e+000 [nm]
# 
# 
#              Position                              I(r)
# ---------------------             ---------------------
   0.0000000000000e+000             -1.7357270876958e-009
   9.5391529006980e-013             -1.6339681477646e-009
   1.9078305801396e-012             -1.6581413915244e-009
   2.8617458702094e-012             -1.8063437374921e-009
   3.8156611602792e-012             -1.7056771091056e-009
   4.7695764503490e-012             -1.6400663003545e-009
   5.7234917404188e-012             -1.6882368349257e-009
   6.6774070304886e-012             -1.7672823441069e-009
   7.6313223205584e-012             -1.6490629317549e-009
   8.5852376106282e-012             -1.6708491508798e-009
   9.5391529006980e-012             -1.7463824608050e-009
   1.0493068190768e-011             -1.7453190558709e-009
   1.1446983480838e-011             -1.6097766201282e-009
   1.2400898770907e-011             -1.6970085496199e-009
   1.3354814060977e-011             -1.7580791520359e-009
   1.4308729351047e-011             -1.6957649558471e-009
   1.5262644641117e-011             -1.6213145000245e-009
   1.6216559931187e-011             -1.7598900111754e-009
   1.7170475221256e-011             -1.7874933249035e-009
   1.8124390511326e-011             -1.6603955713377e-009
   1.9078305801396e-011             -1.6355154682148e-009
   2.0032221091466e-011             -1.7865347210185e-009
   2.0986136381536e-011             -1.7351322836698e-009
   2.1940051671606e-011             -1.6163343215030e-009
   2.2893966961675e-011             -1.6730450845174e-009
   2.3847882251745e-011             -1.8208163829920e-009
   2.4801797541815e-011             -1.7017949995003e-009
   2.5755712831885e-011             -1.6148354320616e-009
   2.6709628121955e-011             -1.7095626439631e-009
   2.7663543412024e-011             -1.8060360036841e-009
   2.8617458702094e-011             -1.6544358935110e-009
   2.9571373992164e-011             -1.6688869097178e-009
   3.0525289282234e-011             -1.7813504674755e-009
   3.1479204572304e-011             -1.7591885299650e-009
   3.2433119862373e-011             -1.7474309042497e-009
   3.3387035152443e-011             -1.7636533239455e-009
   3.4340950442513e-011             -1.7577505489078e-009
   3.5294865732583e-011             -1.6959876432991e-009
   3.6248781022653e-011             -1.6192405858148e-009
   3.7202696312722e-011             -1.7543019954742e-009
   3.8156611602792e-011             -1.7559400950872e-009
   3.9110526892862e-011             -1.6571363847607e-009
   4.0064442182932e-011             -1.6411384273226e-009
   4.1018357473002e-011             -1.7708027602835e-009
   4.1972272763071e-011             -1.7104882066770e-009
   4.2926188053141e-011             -1.6322393948834e-009
   4.3880103343211e-011             -1.7000779870510e-009
   4.4834018633281e-011             -1.7988785791851e-009
   4.5787933923351e-011             -1.6686688373748e-009
   4.6741849213420e-011             -1.6129663282816e-009
   4.7695764503490e-011             -1.7132799330732e-009
   4.8649679793560e-011             -1.7692690303005e-009
