# Atom Manipulation               
# 
# Sample                          Ag(111)
# Data set                        -
# Creation Comment                
# Gap voltage                     -2.600e+000 V
# Gap voltage range in Volt       -10;10
# Feedback loop enabled           No
# Regulator setpoint              9.901e-012 A
# Pre-amplifier range             0;3.29703e-009
# Loop gain                       7.000e+000 %
# Z-axis offset                   -2.000e-011 m
# Parameter mode                  Z before V
# Raster time                     1.000e-002 seconds
# Channel name and data unit      I(r) [A]
# Manipulation vector: start      1.686e+001, -1.273e+001 [nm]
#                      end        1.582e+001, -1.208e+001 [nm]
# 
# 
#             Position                              I(r)
# --------------------             ---------------------
   0.000000000000e+000             -9.3090206803248e-010
   1.229709558938e-012             -9.2877817523259e-010
   2.459419117876e-012             -1.0175635356648e-009
   3.689128676815e-012             -9.6580962383791e-010
   4.918838235753e-012             -9.2886700149492e-010
   6.148547794691e-012             -9.5221322110502e-010
   7.378257353629e-012             -1.0101817778732e-009
   8.607966912567e-012             -9.3016967664606e-010
   9.837676471506e-012             -9.3824685735797e-010
   1.106738603044e-011             -9.8577030175842e-010
   1.229709558938e-011             -9.9062678891127e-010
   1.352680514832e-011             -9.1196016543769e-010
   1.475651470726e-011             -9.5572022183843e-010
   1.598622426620e-011             -9.9280448933727e-010
   1.721593382513e-011             -9.7711429334253e-010
   1.844564338407e-011             -9.0360727725613e-010
   1.967535294301e-011             -9.9752108003990e-010
   2.090506250195e-011             -1.0058135695565e-009
   2.213477206089e-011             -9.5920866234152e-010
   2.336448161983e-011             -9.2623089301130e-010
   2.459419117876e-011             -1.0139038340870e-009
   2.582390073770e-011             -9.9321874987046e-010
   2.705361029664e-011             -9.3732803921277e-010
   2.828331985558e-011             -9.3635985045573e-010
   2.951302941452e-011             -1.0305553975050e-009
   3.074273897345e-011             -9.6843072016734e-010
   3.197244853239e-011             -9.3421724389561e-010
   3.320215809133e-011             -9.5814589148598e-010
   3.443186765027e-011             -1.0134364491358e-009
   3.566157720921e-011             -9.3127377928756e-010
   3.689128676815e-011             -9.2780572602066e-010
   3.812099632708e-011             -9.7161330299787e-010
   3.935070588602e-011             -1.0019719027990e-009
   4.058041544496e-011             -9.1510737497791e-010
   4.181012500390e-011             -9.5426236172905e-010
   4.303983456284e-011             -9.9328680967773e-010
   4.426954412177e-011             -9.6651523807345e-010
   4.549925368071e-011             -9.0914130723652e-010
   4.672896323965e-011             -9.7890103753975e-010
   4.795867279859e-011             -9.9522191749948e-010
   4.918838235753e-011             -9.3859551763299e-010
   5.041809191647e-011             -9.1303186252195e-010
   5.164780147540e-011             -1.0025774078594e-009
   5.287751103434e-011             -9.8234662324022e-010
   5.410722059328e-011             -9.3396265753512e-010
   5.533693015222e-011             -9.4047509522309e-010
   5.656663971116e-011             -1.0074984789025e-009
   5.779634927009e-011             -9.4905741542536e-010
   5.902605882903e-011             -9.2027684512625e-010
   6.025576838797e-011             -9.6955003762250e-010
   6.148547794691e-011             -1.0010603880714e-009
   6.271518750585e-011             -9.3197908953388e-010
   6.394489706479e-011             -9.2932429339012e-010
   6.517460662372e-011             -9.9361914051195e-010
   6.640431618266e-011             -1.0020489886294e-009
   6.763402574160e-011             -9.1653762119843e-010
   6.886373530054e-011             -9.5209789558093e-010
   7.009344485948e-011             -9.9792608579036e-010
   7.132315441842e-011             -9.6747919247568e-010
   7.255286397735e-011             -9.2401239047752e-010
   7.378257353629e-011             -9.7254659901320e-010
   7.501228309523e-011             -1.0015154476418e-009
   7.624199265417e-011             -9.4811909898211e-010
   7.747170221311e-011             -9.3240742415354e-010
   7.870141177204e-011             -1.0004956820482e-009
   7.993112133098e-011             -9.8301511547982e-010
