# Atom Manipulation               
# 
# Sample                          Ag(111)
# Data set                        -
# Creation Comment                
# Gap voltage                     -1.000e-004 V
# Gap voltage range in Volt       -1;1
# Feedback loop enabled           No
# Regulator setpoint              1.000e-009 A
# Pre-amplifier range             0;3.33e-007
# Loop gain                       7.000e+000 %
# Z-axis offset                   -5.000e-010 m
# Parameter mode                  V before Z
# Raster time                     1.000e-002 seconds
# Channel name and data unit      I(r) [A]
# Manipulation vector: start      -9.924e-001, -2.350e+000 [nm]
#                      end        -1.724e+000, -2.429e+000 [nm]
# 
# 
#              Position                             I(r)
# ---------------------             --------------------
   0.0000000000000e+000             -5.569056583293e-009
   7.3541888409764e-012             -5.625812619206e-009
   1.4708377681953e-011             -5.299216455520e-009
   2.2062566522929e-011             -5.566738823675e-009
   2.9416755363906e-011             -5.850703375770e-009
   3.6770944204882e-011             -5.691870551567e-009
   4.4125133045858e-011             -5.416155158244e-009
   5.1479321886835e-011             -5.799809579928e-009
   5.8833510727811e-011             -5.967022282870e-009
   6.6187699568788e-011             -5.590154755075e-009
   7.3541888409764e-011             -5.557188512770e-009
   8.0896077250740e-011             -5.981231217727e-009
   8.8250266091717e-011             -5.943071221449e-009
   9.5604454932693e-011             -5.575871543984e-009
   1.0295864377367e-010             -5.792884522942e-009
   1.1031283261465e-010             -6.177489029137e-009
   1.1766702145562e-010             -5.864079920607e-009
   1.2502121029660e-010             -5.576309603188e-009
   1.3237539913758e-010             -5.958711718278e-009
   1.3972958797855e-010             -6.215382778458e-009
   1.4708377681953e-010             -5.764041619501e-009
   1.5443796566050e-010             -5.680171502117e-009
   1.6179215450148e-010             -6.195424335933e-009
   1.6914634334246e-010             -6.089014095427e-009
   1.7650053218343e-010             -5.737887856844e-009
   1.8385472102441e-010             -5.805605297027e-009
   1.9120890986539e-010             -6.339233822822e-009
   1.9856309870636e-010             -6.017683015708e-009
   2.0591728754734e-010             -5.753661554684e-009
   2.1327147638832e-010             -6.053781420087e-009
   2.2062566522929e-010             -6.372594551009e-009
   2.2797985407027e-010             -5.920497759308e-009
   2.3533404291124e-010             -5.909190714696e-009
   2.4268823175222e-010             -6.229919521159e-009
   2.5004242059320e-010             -6.273145342617e-009
   2.5739660943417e-010             -5.874713517034e-009
   2.6475079827515e-010             -6.048585030005e-009
   2.7210498711613e-010             -6.367577261238e-009
   2.7945917595710e-010             -6.227317371955e-009
   2.8681336479808e-010             -5.883917877467e-009
   2.9416755363906e-010             -6.283054164276e-009
   3.0152174248003e-010             -6.366785963498e-009
   3.0887593132101e-010             -6.118530602118e-009
   3.1623012016199e-010             -5.987956550730e-009
   3.2358430900296e-010             -6.458769557599e-009
   3.3093849784394e-010             -6.353552853975e-009
   3.3829268668491e-010             -6.013126889857e-009
   3.4564687552589e-010             -6.179432926546e-009
   3.5300106436687e-010             -6.605647319698e-009
   3.6035525320784e-010             -6.192325357813e-009
   3.6770944204882e-010             -6.027130828513e-009
   3.7506363088980e-010             -6.378362046240e-009
   3.8241781973077e-010             -6.659732202391e-009
   3.8977200857175e-010             -6.141449549536e-009
   3.9712619741273e-010             -6.192806835274e-009
   4.0448038625370e-010             -6.562044999922e-009
   4.1183457509468e-010             -6.602456232846e-009
   4.1918876393566e-010             -6.128073159764e-009
   4.2654295277663e-010             -6.392330164834e-009
   4.3389714161761e-010             -6.762352029028e-009
   4.4125133045858e-010             -6.548361115849e-009
   4.4860551929956e-010             -6.215820682597e-009
   4.5595970814054e-010             -6.625434260106e-009
   4.6331389698151e-010             -6.801541503202e-009
   4.7066808582249e-010             -6.523767154088e-009
   4.7802227466347e-010             -6.444970460078e-009
   4.8537646350444e-010             -6.916690133201e-009
   4.9273065234542e-010             -6.859672967483e-009
   5.0008484118640e-010             -6.610198328397e-009
   5.0743903002737e-010             -6.776286808603e-009
   5.1479321886835e-010             -7.235418753586e-009
   5.2214740770933e-010             -6.998429499605e-009
   5.2950159655030e-010             -6.895105366807e-009
   5.3685578539128e-010             -1.173309758253e-008
   5.4420997423225e-010             -1.346294623889e-008
   5.5156416307323e-010             -1.368798554792e-008
   5.5891835191421e-010             -1.370613329405e-008
   5.6627254075518e-010             -1.385902448480e-008
   5.7362672959616e-010             -1.379404735691e-008
   5.8098091843714e-010             -1.352765184760e-008
   5.8833510727811e-010             -1.365639209788e-008
   5.9568929611909e-010             -1.374933601079e-008
   6.0304348496007e-010             -1.357824838345e-008
   6.1039767380104e-010             -1.337985982105e-008
   6.1775186264202e-010             -1.356258741801e-008
   6.2510605148299e-010             -1.358337065236e-008
   6.3246024032397e-010             -1.335109367489e-008
   6.3981442916495e-010             -1.323467226969e-008
   6.4716861800592e-010             -1.341955139636e-008
   6.5452280684690e-010             -1.332689931616e-008
   6.6187699568788e-010             -1.311998728465e-008
   6.6923118452885e-010             -1.315059731117e-008
   6.7658537336983e-010             -1.326152010420e-008
   6.8393956221081e-010             -1.310283319636e-008
   6.9129375105178e-010             -1.297544526974e-008
   6.9864793989276e-010             -1.307784226767e-008
   7.0600212873373e-010             -1.312289661803e-008
   7.1335631757471e-010             -1.293124874010e-008
   7.2071050641569e-010             -1.289311432958e-008
   7.2806469525666e-010             -1.305315340601e-008
